sequence,v115@vhHT1IZkBtpBmlBfsB0nB6tBWwB,v115@vhHT5I5oBOpB8pBCmBXnBdtB2wB,v115@vhHT5I5oBikBGmBOsBdtB3pBUrB,v115@vhHT5I5oBOpB8pBfrB6rBOsBdtB,v115@vhHu6I8kB6oBznB2uBlqB3rBxxB,v115@vhHOEJzgB+pBKqBUnB/tBFrBRxB,v115@vhHT/IulBypBlmB3nBctB2wBxuB,v115@vhH8EJWmB6oBznB2uBlqB3rBxxB,v115@vhHz/IOoBKpBUmB/sB+tBFqBRwB,v115@vhH3/I6oBllBRnBTpB2vBmrBUtB,v115@vhHT/I8lBWnB+tBipBlrB3sBRvB,v115@vhHz/I8lBWnB+tBipBlrB3sBRvB,v115@vhHu7ITfB8lB+tBipBlrB3sBRvB,v115@vhHu7IzfB8lB+tBipBlrB3sBRvB,v115@vhHx7IfnBKpBdrBznB+tBUqBWxB,v115@vhHx8I8lBmkBtrB+tBTpByvB3sB,v115@vhHx8IylB0kBtrB+tB2uBzqB3sB,v115@vhHO6I+fBKqBUnB/tBTpBFrBRxB,v115@vhHT1IOkB+pBKqBUnB/tBFrBRxB,v115@vhHO+I+jBKpBUmB/sBFqBTtBRwB,v115@vhHT5IOoBKpBUmB/sB+tBFqBRwB,v115@vhH++IWoBKpBUmB/sBFqBTtBRwB,v115@vhH/6I2kB8lBStBTpB2vBlrBxxB,v115@vhHZ6IqfB8lB+tBTpB2vBlrB3sB,v115@vhHu9IejBKpBUmB/sBFqBTtBRwB,v115@vhHu6I8kBzmBftB6tB2uBlqBxwB,v115@vhHWAJ8mB3kBzlB+tByuBlsBRwB,v115@vhHeCJ8kBziBStB2uBlqB3rBxxB,v115@vhH2CJ8kBzmBftB6tB2uBlqBxwB,v115@vhHq7IxcBcqBerBtrB+tBTpB3sB,v115@vhHeGJ8mBziB3kB+tByuBlsBRwB,v115@vhH8EJzgBZnB+rBXoB2uBlqBSyB,v115@vhHe+IWlBKpBTnB/tBUqBFrBRxB,v115@vhHe+IckBXlBesBznBFrBSyBxuB,v115@vhHq6I/oBGlB0nBTpB2vBlrBxxB,v115@vhH+DJ0fBfmBKpBFqBGsBTtBRwB,v115@vhH26IZkB8nBtpB+rBKsB3qBTtB,v115@vhH8CJ+jBfmBKpBFqBGsBTtBRwB,v115@vhH++I8kBzmBftB6tB2uBlqBxwB,v115@vhH28IamBcpBTlBtrB+tB3sBRvB,v115@vhH26IZkB8mBtpBusB3qBywBTtB,v115@vhHS+IfmB5oBzkBdtB2uBWwBUsB,v115@vhHS8IfnB8nB2pBdrBWxBTtBxuB,v115@vhH28I8kBZmBKpBtrB+tBTqB3sB,v115@vhH2CJ5oBOpBXlBlmBatBUrBTsB,v115@vhH/CJTjBxkBlmBipBUrB2xBGtB,v115@vhH/CJOoBxkBlmB+tBipBUrBTsB,v115@vhHO6I+jBKpBUmB/sBFqBTtBRwB,v115@vhHO6IejBKpBUmB/sBFqBTtBRwB,v115@vhH/6I2kB8mB+tBTpBiqBlsBRwB,v115@vhH/6IZkB8mBzkB+tBSvB2wBlsB,v115@vhH8EJzgB5oB+rB3nB2uBlqByxB,v115@vhH++IzfB8lB+tBipBlrB3sBRvB,v115@vhHX5I+jBikBRmB9sBGqB0rBTtB,v115@vhHu6I8kBzgBStB2uBlqB3rBxxB,v115@vhHu6IXgB8lBStBTpB2vBlrBxxB,v115@vhHu6IKlBzgBcpB+tBlrB3sBRvB,v115@vhHO7I+fBKqBUnB/tBTpBFrBRxB,v115@vhHG5IdoB5oBikBuqB3mBzpB0sB,v115@vhHi1IZkBtkBUmBGnBToBXqB2xB,v115@vhH++I8kB6nBToB2uBlqB3rBxxB,v115@vhH++ITfB8lB+tBipBlrB3sBRvB,v115@vhH6+IejBcqB3mB+tBTpBlsBRwB,v115@vhH+/I8mBXjB+tBTpBiqBlsBRwB,v115@vhH5/I8mBXjBKpB+tBTqB2wBlsB,v115@vhH+DJ8lBXiB+sBipBlrBTtBRvB,v115@vhH5DJ8lBXiB+sBKtBTpB2vBlrB,v115@vhHuCJfnBTjBKpBUqBFrBGtBRxB,v115@vhHz6I2kB8lB+tBipBlrB3sBRvB,v115@vhHU+IfnBWoB2pBFrBSxBTtBxuB,v115@vhHz9IWnB5oBKpBetBUqBFrBXsB,v115@vhHz9IWnBcoB2pBFrBXsBSyBxuB,v115@vhHZEJ8mBziBqpB/qB+tB2wBlsB,v115@vhH+AJ/kB0mBCoB2uBlqBTtBxwB,v115@vhHT8I/kB8mByqB+tB2uBlsBRwB,v115@vhHS+I8kBTjBWtB2uBlqB3rBxxB,v115@vhH5+IajB8kB+sB2uBlqB3rBTtB,v115@vhH26IOkBfoBzkBUrBFsBSyBxuB,v115@vhH5+I/kBylB+sB2uB0qBlrBTtB,v115@vhHZ6I/lBymB+tBTpB2vB0rBlsB
IJZTLSO,X,O,X,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
IJZTLOS,X,O,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IJZTSLO,X,O,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IJZTSOL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IJZTOLS,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IJZTOSL,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IJZLTSO,X,O,X,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
IJZLTOS,X,O,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IJZLSTO,O,O,O,O,X,O,O,X,O,X,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
IJZLSOT,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,X,O,O,O,X,O,X,O,X,O,O,O,O,O,X,O,X,O,X,O,X,X,X,O,X,O,O,X,O,O,O
IJZLOTS,X,O,X,X,O,X,O,X,X,O,X,X,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,O,X,O,O,X,O,O,X,O,X,O,O,X,O,O,O,O,X,O,X,X,X,X,X,O,O,X,O,O,O
IJZLOST,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,O,X,O,X,O,X,X,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,O,O,X,O,O,O
IJZSTLO,O,O,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IJZSTOL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IJZSLTO,O,O,O,O,X,O,O,X,O,X,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
IJZSLOT,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,O,O,O,X,O,X,O,X,O,O,O,O,O,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,O,O
IJZSOTL,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O
IJZSOLT,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,X,O,X,O,X,O,X,X,O,X,O,X,O,O,O,X,X,X,X,O,X,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X,O,X,O,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,O,O
IJZOTLS,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,O,O,O,O
IJZOTSL,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O
IJZOLTS,X,O,X,X,O,X,O,X,X,O,X,X,O,O,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X,O,X,O,O,O,O,X,X,O,O,X,O,O,X,O,O,X,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X,O,O,O,O,O,O
IJZOLST,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,X,O,X,O,X,O,X,O,O,X,O,O,X,X,O,O,O,X,X,O,X,O,X,X,O,X,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,X,X,X,X,O,O,O,O,O,O,O,O
IJZOSTL,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O
IJZOSLT,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,X,O,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,O,X,O,O,X,O,O,O,O,O,O,X,X,O,X,X,O,O,O,O,O,X,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,O,O,O,O,O,O
IJOTLSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O,O,X,X
IJOTLZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,O,O,O,X,X
IJOTSLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X
IJOTSZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O
IJOTZLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,O,O
IJOTZSL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O
IJOLTSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O,O,O,O,X,O,O,O,X,O,X,O,O,X,X,O,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,O,O,O,O,X,X
IJOLTZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,O,O,X,O,O,O,X,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,X,O,O,X,O,O,O,O,O,X,O,X,X,X,X,O,O,O,O,X,X
IJOLSTZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O,X,O,O,X,X,O,X,X,O,X,X,X,X,O,O,O,O,X,O,O,O,O,O,X,O,O,X,X,O,O,X,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,O,O,O,O,X,X
IJOLSZT,O,O,X,O,O,O,O,O,O,X,X,X,X,X,O,X,O,X,O,X,O,X,O,O,X,X,O,X,X,O,O,O,X,X,O,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,X,O,X,X,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O
IJOLZTS,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,O,O,X,O,O,O,X,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,O,X,O,O,X,O,O,O,O,O,X,O,X,X,X,X,O,O,O,O,O,O
IJOLZST,O,O,X,O,O,O,O,O,O,X,X,X,X,X,O,X,O,X,O,X,O,X,O,O,X,X,O,X,X,O,O,O,X,X,O,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,X,O,X,X,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O
IJOSTLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X
IJOSTZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O
IJOSLTZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,O,X,X,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,O,O,O,O,X,X
IJOSLZT,O,O,O,O,O,O,X,O,O,X,X,X,X,X,O,X,O,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,O,X,X,O,O,X,O,X,X,O,O,O,O,O,O,X,O,X,O,X,O,O,X,X,O,O,O,O,O,O,O
IJOSZTL,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O
IJOSZLT,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,O,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,O,X,X,O,O,X,O,X,X,O,O,O,O,O,O,X,O,X,O,X,O,O,X,X,O,O,O,O,O,O,O
IJOZTLS,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,O,O,O,O,O,O
IJOZTSL,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O
IJOZLTS,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,O,O,X,O,O,O,X,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,O,X,O,O,X,O,O,O,O,O,X,O,X,X,X,X,O,O,O,O,O,O
IJOZLST,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,O,X,O,X,O,O,X,O,O,X,X,O,O,O,X,X,O,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,X,O,X,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,O,O,O
IJOZSTL,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O
IJOZSLT,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,O,O,X,O,X,X,O,O,O,O,O,O,X,O,X,O,X,O,X,X,X,O,O,O,O,O,O,O
ISTLJZO,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
ISTLJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
ISTLZJO,O,O,O,O,X,O,X,X,O,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X,X,X
ISTLZOJ,O,O,O,O,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,O,O,O,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X,X,X
ISTLOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
ISTLOZJ,O,O,O,O,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,O,X,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
ISTJLZO,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
ISTJLOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ISTJZLO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ISTJZOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ISTJOLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ISTJOZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISTZLJO,O,O,O,O,X,O,X,X,O,X,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ISTZLOJ,O,O,O,O,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ISTZJLO,O,O,O,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ISTZJOL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ISTZOLJ,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ISTZOJL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISTOLJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ISTOLZJ,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
