sequence,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFulBRiBSoBN?rBUnBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeRAJvhFfnB0iB6oBG?lBNrBzsB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFtlB0hBxiBW?tBirBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFtlBmhBCjBc?rBxsBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeWFJvhFxgBXjBdrBz?mBStB0sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFRhBGjBfrB0?mB6sBNtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeRAJvhFzhBfoB6oBG?lBNrB0sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeWFJvhFxgBXjBdrBz?mBctB6sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JefHJvhF0iB6oBRlBG?lBNrBzsB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeRAJvhF3hB9oBGlB0?nBirBzsB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFChB8mBWoBd?rBxsBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFRhB9nB6oBf?rB0mBetB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JezBJvhFfoB6oBRlBG?lBNrB0sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JezBJvhFRlB3nBctBG?lBNrBCtB
LIJOTSZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X
LIJOTZS,X,O,O,O,X,O,X,X,X,O,O,O,X,X
LIJOSTZ,X,O,O,X,X,X,X,X,X,O,X,O,X,X
LIJOSZT,X,X,X,X,X,X,X,X,O,O,X,O,X,X
LIJOZTS,X,O,O,O,X,X,X,X,X,O,O,X,X,X
LIJOZST,X,X,X,X,X,X,X,X,O,O,X,X,X,X
LISTJZO,X,O,X,X,X,O,X,X,X,O,X,X,X,X
LISTJOZ,X,O,X,X,O,O,X,X,X,O,X,X,X,X
LISTZJO,X,O,X,O,X,O,X,X,O,O,X,X,X,X
LISTZOJ,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LISTOJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LISTOZJ,X,O,X,O,O,O,X,X,X,X,X,X,X,X
LISJTZO,X,X,X,X,X,O,X,X,X,O,X,O,X,X
LISJTOZ,X,X,X,X,O,O,X,X,X,O,X,O,X,X
LISJZTO,X,X,X,O,X,X,X,X,O,O,X,O,X,X
LISJZOT,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LISJOTZ,X,X,X,X,X,O,X,X,X,O,X,O,X,X
LISJOZT,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LISZTJO,X,O,X,O,X,O,X,X,O,O,X,X,X,X
LISZTOJ,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LISZJTO,X,X,X,O,X,O,X,X,O,O,X,X,X,X
LISZJOT,X,X,X,X,X,O,X,X,X,O,X,X,X,X
LISZOTJ,X,X,X,O,X,O,X,X,O,X,X,X,X,X
LISZOJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LISOTJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LISOTZJ,X,X,X,O,O,O,X,X,O,X,X,X,X,X
LISOJTZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LISOJZT,X,X,X,X,X,X,X,X,O,X,X,O,X,X
LISOZTJ,X,X,X,O,X,O,X,X,O,X,X,X,X,X
LISOZJT,X,X,X,X,X,O,X,X,O,X,X,X,X,X
LIZTJSO,X,X,O,O,X,X,X,X,X,O,O,X,X,X
LIZTJOS,X,X,O,O,X,O,X,X,X,O,O,X,X,X
LIZTSJO,X,X,X,O,X,X,X,X,X,O,O,X,X,X
LIZTSOJ,X,X,O,O,X,X,X,X,X,X,O,X,X,X
LIZTOJS,X,X,O,O,X,O,X,X,X,X,O,X,X,X
LIZTOSJ,X,X,O,O,X,X,X,X,X,X,O,X,X,X
LIZJTSO,X,X,O,O,X,X,X,X,X,O,O,X,X,X
LIZJTOS,X,X,O,O,X,X,X,X,X,O,O,X,X,X
LIZJSTO,X,X,O,O,X,X,X,X,X,O,X,X,X,X
LIZJSOT,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LIZJOTS,X,X,O,O,X,X,X,X,X,O,O,X,X,X
LIZJOST,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LIZSTJO,X,X,X,O,X,X,X,X,O,O,X,X,X,X
LIZSTOJ,X,X,O,O,X,X,X,X,O,X,X,X,O,X
LIZSJTO,X,X,X,O,X,X,X,X,O,O,X,X,X,X
LIZSJOT,X,X,X,X,X,X,X,X,X,O,X,X,O,X
LIZSOTJ,X,X,X,O,X,X,X,X,O,X,X,X,O,O
LIZSOJT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LIZOTJS,X,X,O,O,X,O,X,X,X,X,O,X,X,X
LIZOTSJ,X,X,O,O,X,X,X,X,O,X,O,X,X,X
LIZOJTS,X,X,X,O,X,X,X,X,X,X,O,X,X,X
LIZOJST,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIZOSTJ,X,X,X,O,X,X,X,X,O,X,X,X,O,X
LIZOSJT,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LIOTJSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LIOTJZS,X,O,O,O,O,O,X,X,X,X,O,X,X,X
LIOTSJZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
LIOTSZJ,X,O,X,O,O,O,X,X,O,X,X,X,X,X
LIOTZJS,X,X,O,O,O,O,X,X,X,X,O,X,X,X
LIOTZSJ,X,O,O,O,O,X,X,X,O,X,O,X,X,X
LIOJTSZ,X,O,O,X,X,O,X,X,X,X,X,O,X,X
LIOJTZS,X,O,O,O,X,O,X,X,X,X,O,O,X,X
LIOJSTZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X
LIOJSZT,X,X,X,X,X,X,X,X,O,X,X,O,X,X
LIOJZTS,X,O,O,O,X,X,X,X,X,X,O,X,X,X
LIOJZST,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIOSTJZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
LIOSTZJ,X,O,X,O,O,O,X,X,O,X,X,X,X,X
LIOSJTZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LIOSJZT,X,X,X,X,X,X,X,X,O,X,X,O,X,X
LIOSZTJ,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LIOSZJT,X,X,X,X,X,O,X,X,O,X,X,X,X,X
LIOZTJS,X,X,X,O,X,O,X,X,X,X,O,X,X,X
LIOZTSJ,X,X,X,O,X,X,X,X,O,X,O,X,X,X
LIOZJTS,X,X,X,O,X,X,X,X,X,X,O,X,X,X
LIOZJST,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIOZSTJ,X,O,X,O,X,X,X,X,O,X,X,X,X,X
LIOZSJT,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LJTISZO,X,O,O,X,X,O,X,X,X,O,X,O,X,X
LJTISOZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
LJTIZSO,X,O,O,X,X,X,O,X,X,O,X,X,X,X
LJTIZOS,X,O,O,X,X,O,O,O,X,O,X,O,X,X
LJTIOSZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
LJTIOZS,X,O,O,X,O,O,O,O,X,O,X,O,X,X
LJTSIZO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LJTSIOZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LJTSZIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LJTSZOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LJTSOIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LJTSOZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LJTZISO,O,O,O,X,X,X,O,X,X,O,X,X,X,X
LJTZIOS,O,O,O,X,X,O,O,O,X,O,X,O,X,X
LJTZSIO,O,O,O,X,X,O,O,X,X,O,X,O,X,X
LJTZSOI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
LJTZOIS,O,O,O,X,O,O,O,O,X,O,X,O,X,X
LJTZOSI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
LJTOISZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
LJTOIZS,X,O,O,X,O,O,O,O,X,O,X,O,X,X
LJTOSIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LJTOSZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LJTOZIS,O,O,O,X,O,O,O,O,X,O,X,O,X,X
LJTOZSI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
LJITSZO,X,O,O,X,X,X,X,X,X,O,X,O,X,X
LJITSOZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
LJITZSO,X,O,O,X,X,X,O,X,X,O,X,X,X,X
LJITZOS,X,O,O,X,X,O,O,O,X,O,X,O,X,X
LJITOSZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
LJITOZS,X,O,O,X,O,O,O,O,X,O,X,O,X,X
LJISTZO,X,O,O,X,X,X,X,X,X,O,X,O,X,X
LJISTOZ,X,O,O,X,O,X,X,X,X,O,X,O,X,X
LJISZTO,X,X,O,X,X,X,X,X,O,O,X,O,X,X
LJISZOT,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LJISOTZ,X,O,O,X,X,X,X,X,X,O,X,O,X,X
LJISOZT,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LJIZTSO,X,O,O,X,X,X,X,X,X,O,X,X,X,X
LJIZTOS,X,O,O,X,X,X,X,O,X,O,X,X,X,X
LJIZSTO,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LJIZSOT,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LJIZOTS,X,O,O,X,X,X,X,X,X,O,X,X,X,X
LJIZOST,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LJIOTSZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X
LJIOTZS,X,O,O,X,X,O,X,X,X,O,X,O,X,X
LJIOSTZ,X,O,O,X,X,X,X,X,X,O,X,O,X,X
LJIOSZT,X,X,X,X,X,X,X,X,O,O,X,O,X,X
LJIOZTS,X,O,O,X,X,X,X,X,X,O,X,X,X,X
LJIOZST,X,X,X,X,X,X,X,X,O,O,X,X,X,X
LJSTIZO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LJSTIOZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LJSTZIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LJSTZOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LJSTOIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LJSTOZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LJSITZO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LJSITOZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LJSIZTO,X,X,O,X,X,X,X,X,O,O,X,O,X,X
LJSIZOT,O,X,X,X,X,X,X,X,X,O,X,O,X,X
LJSIOTZ,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LJSIOZT,O,X,X,X,X,X,X,X,X,O,X,O,X,X
LJSZTIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LJSZTOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LJSZITO,X,X,O,X,X,O,X,X,O,O,X,O,X,X
LJSZIOT,O,X,X,X,X,O,X,X,X,O,X,O,X,X
LJSZOTI,O,X,X,X,X,O,X,X,X,O,X,O,X,X
LJSZOIT,O,X,X,X,X,O,X,X,X,O,X,O,X,X
LJSOTIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LJSOTZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LJSOITZ,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LJSOIZT,O,X,X,X,X,X,X,X,X,O,X,O,X,X
LJSOZTI,O,X,X,X,X,O,X,X,X,O,X,O,X,X
LJSOZIT,O,X,X,X,X,O,X,X,X,O,X,O,X,X
LJZTISO,X,O,O,X,X,X,O,X,X,O,X,X,X,X
LJZTIOS,X,O,O,X,X,X,O,O,X,O,X,O,X,X
LJZTSIO,X,O,O,X,X,X,O,X,X,O,X,O,X,X
LJZTSOI,X,O,O,X,O,X,O,O,X,O,X,O,X,X
LJZTOIS,X,O,O,X,O,X,O,O,X,O,X,O,X,X
LJZTOSI,X,O,O,X,O,X,O,O,X,O,X,O,X,X
LJZITSO,X,O,O,X,X,X,X,X,X,O,X,X,X,X
LJZITOS,X,O,O,X,X,X,X,O,X,O,X,X,X,X
LJZISTO,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LJZISOT,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LJZIOTS,X,O,O,X,X,X,X,X,X,O,X,X,X,X
LJZIOST,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LJZSTIO,X,X,O,X,X,X,O,X,X,O,X,O,X,X
LJZSTOI,X,X,O,X,O,X,O,O,X,O,X,O,X,X
LJZSITO,X,X,O,X,X,X,O,X,X,O,X,O,X,X
LJZSIOT,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LJZSOTI,X,X,X,X,X,X,O,X,X,O,X,O,X,X
LJZSOIT,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LJZOTIS,X,O,O,X,X,X,X,X,X,O,X,O,X,X
LJZOTSI,X,O,O,X,X,X,X,X,X,O,X,O,X,X
LJZOITS,X,O,O,X,X,X,X,X,X,O,X,X,X,X
LJZOIST,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LJZOSTI,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LJZOSIT,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LJOTISZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
LJOTIZS,X,O,O,X,O,O,X,X,X,O,X,O,X,X
LJOTSIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LJOTSZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LJOTZIS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LJOTZSI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LJOITSZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X
LJOITZS,X,O,O,X,X,O,X,X,X,O,X,O,X,X
LJOISTZ,X,O,O,X,X,X,X,X,X,O,X,O,X,X
LJOISZT,X,X,X,X,X,X,X,X,O,O,X,O,X,X
LJOIZTS,X,O,O,X,X,X,X,X,X,O,X,X,X,X
LJOIZST,X,X,X,X,X,X,X,X,O,O,X,X,X,X
LJOSTIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LJOSTZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LJOSITZ,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LJOSIZT,O,X,X,X,X,X,X,X,O,O,X,O,X,X
LJOSZTI,O,O,X,X,X,O,X,X,X,O,X,O,X,X
LJOSZIT,O,X,X,X,X,O,X,X,O,O,X,O,X,X
LJOZTIS,X,O,O,X,X,X,X,X,X,O,X,O,X,X
LJOZTSI,X,O,O,X,X,X,X,X,X,O,X,O,X,X
LJOZITS,X,O,O,X,X,X,X,X,X,O,X,X,X,X
LJOZIST,X,X,X,X,X,X,X,X,O,O,X,X,X,X
LJOZSTI,X,O,X,X,X,X,X,X,X,O,X,O,X,X
LJOZSIT,X,X,X,X,X,X,X,X,O,O,X,O,X,X
LSTIJZO,O,O,X,X,X,O,X,X,X,O,X,X,X,X
LSTIJOZ,O,O,X,X,O,O,X,X,X,O,X,X,X,X
LSTIZJO,O,O,X,X,X,O,X,X,O,O,X,X,X,X
LSTIZOJ,O,O,X,X,X,O,X,X,O,X,X,X,X,X
LSTIOJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LSTIOZJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LSTJIZO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LSTJIOZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LSTJZIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LSTJZOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LSTJOIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LSTJOZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LSTZIJO,O,O,X,X,X,O,X,X,O,O,X,X,X,X
LSTZIOJ,O,O,O,X,X,O,X,X,O,X,X,X,X,X
LSTZJIO,O,O,O,X,X,O,X,X,X,O,X,X,X,X
LSTZJOI,O,O,O,X,O,O,X,X,X,O,X,X,X,X
LSTZOIJ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
LSTZOJI,O,O,O,X,O,O,X,X,X,O,X,X,X,X
LSTOIJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LSTOIZJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LSTOJIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LSTOJZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LSTOZIJ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
LSTOZJI,O,O,O,X,O,O,X,X,X,O,X,X,X,X
LSITJZO,O,O,X,X,X,O,X,X,X,O,X,X,X,X
LSITJOZ,O,O,X,X,O,O,X,X,X,O,X,X,X,X
LSITZJO,O,O,X,X,X,O,X,X,O,O,X,X,X,X
LSITZOJ,O,O,X,X,X,O,X,X,O,X,X,X,X,X
LSITOJZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LSITOZJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LSIJTZO,O,X,X,X,X,O,X,X,X,O,X,O,X,X
LSIJTOZ,O,X,X,X,O,O,X,X,X,O,X,O,X,X
LSIJZTO,O,X,X,X,X,X,X,X,O,O,X,O,X,X
LSIJZOT,O,X,X,X,X,X,X,X,X,O,X,O,X,X
LSIJOTZ,O,X,X,X,X,O,X,X,X,O,X,O,X,X
LSIJOZT,O,X,X,X,X,X,X,X,X,O,X,O,X,X
LSIZTJO,O,O,X,X,X,O,X,X,O,O,X,O,X,X
LSIZTOJ,O,O,X,X,X,O,X,X,O,X,X,O,X,X
LSIZJTO,O,X,X,X,X,O,X,X,O,O,X,X,X,X
LSIZJOT,O,X,X,X,X,O,X,X,X,O,X,X,X,X
LSIZOTJ,O,X,X,X,X,O,X,X,O,X,X,O,X,X
LSIZOJT,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LSIOTJZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LSIOTZJ,O,X,X,X,O,O,X,X,O,X,X,X,X,X
LSIOJTZ,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LSIOJZT,O,X,X,X,X,X,X,X,O,X,X,O,X,X
LSIOZTJ,O,X,X,X,X,O,X,X,O,X,X,O,X,X
LSIOZJT,O,X,X,X,X,O,X,X,O,X,X,X,X,X
LSJTIZO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LSJTIOZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LSJTZIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LSJTZOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LSJTOIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LSJTOZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LSJITZO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LSJITOZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LSJIZTO,O,X,O,X,X,X,X,X,O,O,X,O,X,X
LSJIZOT,O,X,X,X,X,X,X,X,X,O,X,O,X,X
LSJIOTZ,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LSJIOZT,O,X,X,X,X,X,X,X,X,O,X,O,X,X
LSJZTIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LSJZTOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LSJZITO,O,X,O,X,X,O,X,X,O,O,X,O,X,X
LSJZIOT,O,X,X,X,X,O,X,X,X,O,X,O,X,X
LSJZOTI,O,X,X,X,X,O,X,X,X,O,X,O,X,X
LSJZOIT,O,X,X,X,X,O,X,X,X,O,X,O,X,X
LSJOTIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LSJOTZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LSJOITZ,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LSJOIZT,O,X,X,X,X,X,X,X,X,O,X,O,X,X
LSJOZTI,O,X,X,X,X,O,X,X,X,O,X,O,X,X
LSJOZIT,O,X,X,X,X,O,X,X,X,O,X,O,X,X
LSZTIJO,O,O,X,X,X,O,X,X,O,O,X,O,X,X
LSZTIOJ,O,O,O,X,X,O,X,X,O,X,X,O,X,X
LSZTJIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LSZTJOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LSZTOIJ,O,O,O,X,O,O,X,X,X,X,X,O,X,X
LSZTOJI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LSZITJO,O,O,X,X,X,O,X,X,O,O,X,O,X,X
LSZITOJ,O,O,O,X,X,O,X,X,O,X,X,O,X,X
LSZIJTO,O,X,X,X,X,O,X,X,O,O,X,X,X,X
LSZIJOT,O,X,X,X,X,O,X,X,X,O,X,X,X,X
LSZIOTJ,O,X,X,X,X,O,X,X,O,X,X,O,X,X
LSZIOJT,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LSZJTIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LSZJTOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LSZJITO,O,X,O,X,X,O,X,X,O,O,X,O,X,X
LSZJIOT,O,X,X,X,X,O,X,X,X,O,X,O,X,X
LSZJOTI,O,X,X,X,X,O,X,X,X,O,X,O,X,X
LSZJOIT,O,X,X,X,X,O,X,X,X,O,X,O,X,X
LSZOTIJ,O,O,X,X,O,O,X,X,X,X,X,O,X,X
LSZOTJI,O,O,X,X,O,O,X,X,X,O,X,O,X,X
LSZOITJ,O,X,X,X,X,O,X,X,O,X,X,O,X,X
LSZOIJT,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LSZOJTI,O,X,X,X,X,O,X,X,X,O,X,O,X,X
LSZOJIT,O,X,X,X,X,O,X,X,X,O,X,O,X,X
LSOTIJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LSOTIZJ,O,O,X,X,O,O,X,X,O,X,X,X,X,X
LSOTJIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LSOTJZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LSOTZIJ,O,O,O,X,O,O,X,X,O,X,X,X,X,X
LSOTZJI,O,O,O,X,O,O,X,X,X,O,X,X,X,X
LSOITJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LSOITZJ,O,O,X,X,O,O,X,X,O,X,X,X,X,X
LSOIJTZ,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LSOIJZT,O,X,X,X,X,X,X,X,O,X,X,O,X,X
LSOIZTJ,O,O,X,X,X,O,X,X,O,X,X,O,X,X
LSOIZJT,O,X,X,X,X,O,X,X,O,X,X,X,X,X
LSOJTIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LSOJTZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LSOJITZ,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LSOJIZT,O,X,X,X,X,X,X,X,O,O,X,O,X,X
LSOJZTI,O,O,X,X,X,O,X,X,X,O,X,O,X,X
LSOJZIT,O,X,X,X,X,O,X,X,O,O,X,O,X,X
LSOZTIJ,O,O,X,X,O,O,X,X,O,X,X,O,X,X
LSOZTJI,O,O,X,X,O,O,X,X,X,O,X,O,X,X
LSOZITJ,O,O,X,X,X,O,X,X,O,X,X,O,X,X
LSOZIJT,O,X,X,X,X,O,X,X,O,X,X,X,X,X
LSOZJTI,O,O,X,X,X,O,X,X,X,O,X,O,X,X
LSOZJIT,O,X,X,X,X,O,X,X,O,O,X,O,X,X
LZTIJSO,O,X,O,O,X,X,X,X,X,O,O,X,X,X
LZTIJOS,O,X,O,O,X,O,X,O,X,O,O,X,X,X
LZTISJO,O,O,X,O,X,X,O,X,X,O,O,X,X,X
LZTISOJ,O,O,O,O,X,X,O,X,X,X,O,X,X,X
LZTIOJS,O,X,O,O,X,O,X,O,X,X,O,X,X,X
LZTIOSJ,O,O,O,O,X,X,O,O,X,X,O,X,X,X
LZTJISO,O,O,O,O,X,X,O,X,X,O,O,X,X,X
LZTJIOS,O,O,O,O,X,O,O,O,X,O,O,X,X,X
LZTJSIO,O,O,O,X,X,O,O,X,X,O,X,X,X,X
LZTJSOI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
LZTJOIS,O,O,O,O,O,O,O,O,X,O,O,X,X,X
LZTJOSI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
LZTSIJO,O,O,X,X,X,O,O,X,X,O,O,X,X,X
LZTSIOJ,O,O,O,X,X,O,O,X,X,X,O,X,X,X
LZTSJIO,O,O,O,X,X,O,O,X,X,O,X,X,X,X
LZTSJOI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
LZTSOIJ,O,O,O,X,O,O,O,O,X,X,O,X,X,X
LZTSOJI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
LZTOIJS,O,X,O,O,O,O,X,O,X,X,O,X,X,X
LZTOISJ,O,O,O,O,O,X,O,O,X,X,O,X,X,X
LZTOJIS,O,O,O,O,O,O,O,O,X,O,O,X,X,X
LZTOJSI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
LZTOSIJ,O,O,O,X,O,O,O,O,X,X,O,X,X,X
LZTOSJI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
LZITJSO,O,X,O,O,X,X,X,X,X,O,O,X,X,X
LZITJOS,O,X,O,O,X,O,X,X,X,O,O,X,X,X
LZITSJO,O,X,X,O,X,X,X,X,X,O,O,X,X,X
LZITSOJ,O,X,O,O,X,X,X,X,X,X,O,X,X,X
LZITOJS,O,X,O,O,X,O,X,X,X,X,O,X,X,X
LZITOSJ,O,X,O,O,X,X,X,X,X,X,O,X,X,X
LZIJTSO,O,X,O,O,X,X,X,X,X,O,O,X,X,X
LZIJTOS,O,X,O,O,X,X,X,X,X,O,O,X,X,X
LZIJSTO,X,X,O,O,X,X,X,X,X,O,X,X,X,X
LZIJSOT,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LZIJOTS,O,X,O,O,X,X,X,X,X,O,O,X,X,X
LZIJOST,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LZISTJO,O,X,X,O,X,X,X,X,O,O,X,X,X,X
LZISTOJ,O,X,O,O,X,X,X,X,O,X,X,X,O,X
LZISJTO,X,X,X,O,X,X,X,X,O,O,X,X,X,X
LZISJOT,X,X,X,X,X,X,X,X,X,O,X,X,O,X
LZISOTJ,O,X,X,O,X,X,X,X,O,X,X,X,O,O
LZISOJT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LZIOTJS,O,X,O,O,X,O,X,X,X,X,O,X,X,X
LZIOTSJ,O,X,O,O,X,X,X,X,O,X,O,X,X,X
LZIOJTS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
LZIOJST,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LZIOSTJ,O,X,X,O,X,X,X,X,O,X,X,X,O,X
LZIOSJT,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LZJTISO,O,O,O,O,X,X,O,X,X,O,X,X,X,X
