sequence,v115@RhD8FeH8LeT/IvhFigBfnBxiBUmBFtBGtB,v115@RhD8FeH8LeT/IvhFigBfnBxiBUmBGtBFtB,v115@RhD8FeH8Lei/IvhF8mBGjBRlB3nBFmBTtB,v115@RhD8FeH8LeT/IvhFigBRiBFmBXnBGtBctB,v115@RhD8FeH8LeT/IvhF2lB8mB5oBatBFrB3sB,v115@RhD8FeH8LeT/IvhF2lB8mB5oB3nBFmBatB
OJZTLSI,O,O,X,O,X,X
OJZTSIL,O,O,X,O,X,O
OJZTSLI,O,O,X,O,X,X
OJZITLS,X,X,X,X,O,X
OJZITSL,X,X,X,X,X,O
OJZILTS,X,X,X,X,O,X
OJZILST,X,O,O,X,O,O
OJZISTL,X,O,O,X,X,O
OJZISLT,X,O,O,X,O,O
OJZLTIS,X,X,X,X,O,X
OJZLTSI,O,O,X,O,X,X
OJZLITS,X,X,X,X,O,X
OJZLIST,X,O,O,X,O,O
OJZLSTI,O,O,O,X,X,X
OJZLSIT,O,O,O,X,O,O
OJZSTIL,O,O,O,O,X,O
OJZSTLI,O,O,O,O,X,X
OJZSITL,X,O,O,X,X,O
OJZSILT,O,O,O,X,O,O
OJZSLTI,O,O,O,X,X,X
OJZSLIT,O,O,O,X,O,O
OSTILJZ,O,O,O,O,X,X
OSTILZJ,O,O,O,X,X,X
OSTIJLZ,O,X,O,O,X,X
OSTIJZL,X,X,O,O,X,O
OSTIZLJ,O,X,O,X,X,X
OSTIZJL,X,X,O,X,X,O
OSTLIJZ,O,O,O,O,X,X
OSTLIZJ,O,O,O,X,X,X
OSTLJIZ,O,O,O,O,X,X
OSTLJZI,X,X,O,O,X,X
OSTLZIJ,O,X,O,X,X,X
OSTLZJI,O,X,O,O,X,X
OSTJILZ,O,O,O,O,X,X
OSTJIZL,X,X,O,O,X,O
OSTJLIZ,O,O,O,O,X,X
OSTJLZI,X,X,O,O,X,X
OSTJZIL,X,X,O,O,X,O
OSTJZLI,X,X,O,O,X,X
OSTZILJ,O,X,O,X,X,X
OSTZIJL,O,X,O,X,X,O
OSTZLIJ,O,X,O,X,X,X
OSTZLJI,O,X,O,O,X,X
OSTZJIL,O,X,O,O,X,O
OSTZJLI,O,X,O,O,X,X
OSITLJZ,O,O,O,O,X,X
OSITLZJ,O,O,O,X,X,X
OSITJLZ,O,X,O,O,X,X
OSITJZL,X,X,O,O,X,O
OSITZLJ,O,X,O,X,X,X
OSITZJL,X,X,O,X,X,O
OSILTJZ,O,O,O,X,X,X
OSILTZJ,O,O,O,X,X,X
OSILJTZ,O,O,O,X,X,X
OSILJZT,O,O,O,X,O,O
OSILZTJ,O,O,O,X,X,X
OSILZJT,O,O,O,X,O,O
OSIJTLZ,X,O,O,O,X,X
OSIJTZL,X,X,O,O,X,O
OSIJLTZ,O,O,O,X,X,X
OSIJLZT,O,O,O,X,O,O
OSIJZTL,X,X,O,X,X,O
OSIJZLT,X,O,O,X,O,O
OSIZTLJ,X,X,O,X,X,X
OSIZTJL,X,X,O,X,X,O
OSIZLTJ,O,O,O,X,X,X
OSIZLJT,O,O,O,X,O,O
OSIZJTL,X,X,O,X,X,O
OSIZJLT,X,X,O,X,O,O
OSLTIJZ,O,O,O,O,X,X
OSLTIZJ,O,O,O,X,X,X
OSLTJIZ,O,O,O,O,X,X
OSLTJZI,X,X,O,O,X,X
OSLTZIJ,O,X,O,X,X,X
OSLTZJI,O,X,O,O,X,X
OSLITJZ,O,O,O,X,X,X
OSLITZJ,O,O,O,X,X,X
OSLIJTZ,O,O,O,X,X,X
OSLIJZT,O,O,O,X,O,O
OSLIZTJ,O,O,O,X,X,X
OSLIZJT,O,O,O,X,O,O
OSLJTIZ,O,O,O,O,X,X
OSLJTZI,X,X,O,O,X,X
OSLJITZ,O,O,O,X,X,X
OSLJIZT,O,O,O,X,O,O
OSLJZTI,X,O,O,X,X,X
OSLJZIT,X,O,O,X,O,O
OSLZTIJ,O,O,O,X,X,X
OSLZTJI,O,O,O,X,X,X
OSLZITJ,O,O,O,X,X,X
OSLZIJT,O,O,O,X,O,O
OSLZJTI,O,O,O,X,X,X
OSLZJIT,O,O,O,X,O,O
OSJTILZ,O,O,O,O,X,X
OSJTIZL,X,X,O,O,X,O
OSJTLIZ,O,O,O,O,X,X
OSJTLZI,X,X,O,O,X,X
OSJTZIL,X,X,O,O,X,O
OSJTZLI,X,X,O,O,X,X
OSJITLZ,X,O,O,O,X,X
OSJITZL,X,X,O,O,X,O
OSJILTZ,O,O,O,X,X,X
OSJILZT,O,O,O,X,O,O
OSJIZTL,X,X,O,X,X,O
OSJIZLT,X,O,O,X,O,O
OSJLTIZ,O,O,O,O,X,X
OSJLTZI,X,X,O,O,X,X
OSJLITZ,O,O,O,X,X,X
OSJLIZT,O,O,O,X,O,O
OSJLZTI,X,O,O,X,X,X
OSJLZIT,X,O,O,X,O,O
OSJZTIL,X,O,O,O,X,O
OSJZTLI,X,O,O,O,X,X
OSJZITL,X,O,O,X,X,O
OSJZILT,X,O,O,X,O,O
OSJZLTI,X,O,O,X,X,X
OSJZLIT,X,O,O,X,O,O
OSZTILJ,O,O,O,X,X,X
OSZTIJL,O,X,O,X,X,O
OSZTLIJ,O,O,O,X,X,X
OSZTLJI,O,O,O,O,X,X
OSZTJIL,O,O,O,O,X,O
OSZTJLI,O,O,O,O,X,X
OSZITLJ,O,O,O,X,X,X
OSZITJL,O,X,O,X,X,O
OSZILTJ,O,O,O,X,X,X
OSZILJT,O,O,O,X,O,O
OSZIJTL,X,O,O,X,X,O
OSZIJLT,O,O,O,X,O,O
OSZLTIJ,O,O,O,X,X,X
OSZLTJI,O,O,O,X,X,X
OSZLITJ,O,O,O,X,X,X
OSZLIJT,O,O,O,X,O,O
OSZLJTI,O,O,O,X,X,X
OSZLJIT,O,O,O,X,O,O
OSZJTIL,O,O,O,O,X,O
OSZJTLI,O,O,O,O,X,X
OSZJITL,X,O,O,X,X,O
OSZJILT,O,O,O,X,O,O
OSZJLTI,O,O,O,X,X,X
OSZJLIT,O,O,O,X,O,O
OZTILJS,X,X,X,X,O,X
OZTILSJ,O,X,X,X,X,X
OZTIJLS,X,X,X,X,O,X
OZTIJSL,X,X,X,X,X,O
OZTISLJ,O,X,X,X,X,X
OZTISJL,O,X,X,X,X,O
OZTLIJS,X,X,X,X,O,X
OZTLISJ,O,X,X,X,X,X
OZTLJIS,X,X,X,X,O,X
OZTLJSI,O,O,X,O,X,X
OZTLSIJ,O,O,X,X,X,X
OZTLSJI,O,O,X,O,X,X
OZTJILS,X,X,X,X,O,X
OZTJISL,X,X,X,X,X,O
OZTJLIS,X,X,X,X,O,X
OZTJLSI,O,O,X,O,X,X
OZTJSIL,O,O,X,O,X,O
OZTJSLI,O,O,X,O,X,X
OZTSILJ,O,O,X,X,X,X
OZTSIJL,O,X,X,X,X,O
OZTSLIJ,O,O,X,X,X,X
OZTSLJI,O,O,X,O,X,X
OZTSJIL,O,O,X,O,X,O
OZTSJLI,O,O,X,O,X,X
OZITLJS,X,X,X,X,O,X
OZITLSJ,O,X,X,X,X,X
OZITJLS,X,X,X,X,O,X
OZITJSL,X,X,X,X,X,O
OZITSLJ,O,X,X,X,X,X
OZITSJL,O,X,X,X,X,O
OZILTJS,X,X,X,X,O,X
OZILTSJ,O,X,X,X,X,X
OZILJTS,X,X,X,X,O,X
OZILJST,X,O,O,X,O,O
OZILSTJ,O,O,O,X,X,X
OZILSJT,O,O,O,X,O,O
OZIJTLS,X,X,X,X,O,X
OZIJTSL,X,X,X,X,X,O
OZIJLTS,X,X,X,X,O,X
OZIJLST,X,O,O,X,O,O
OZIJSTL,X,O,O,X,X,O
OZIJSLT,X,O,O,X,O,O
OZISTLJ,O,O,O,X,X,X
OZISTJL,O,X,O,X,X,O
OZISLTJ,O,O,O,X,X,X
OZISLJT,O,O,O,X,O,O
OZISJTL,X,O,O,X,X,O
OZISJLT,O,O,O,X,O,O
OZLTIJS,X,X,X,X,O,X
OZLTISJ,O,X,X,X,X,X
OZLTJIS,X,X,X,X,O,X
OZLTJSI,O,O,X,O,X,X
OZLTSIJ,O,O,X,X,X,X
OZLTSJI,O,O,X,O,X,X
OZLITJS,X,X,X,X,O,X
OZLITSJ,O,X,X,X,X,X
OZLIJTS,X,X,X,X,O,X
OZLIJST,X,O,O,X,O,O
OZLISTJ,O,O,O,X,X,X
OZLISJT,O,O,O,X,O,O
OZLJTIS,X,X,X,X,O,X
OZLJTSI,O,O,X,O,X,X
OZLJITS,X,X,X,X,O,X
OZLJIST,X,O,O,X,O,O
OZLJSTI,O,O,O,X,X,X
OZLJSIT,O,O,O,X,O,O
OZLSTIJ,O,O,O,X,X,X
OZLSTJI,O,O,O,X,X,X
OZLSITJ,O,O,O,X,X,X
OZLSIJT,O,O,O,X,O,O
OZLSJTI,O,O,O,X,X,X
OZLSJIT,O,O,O,X,O,O
OZJTILS,X,X,X,X,O,X
OZJTISL,X,X,X,X,X,O
OZJTLIS,X,X,X,X,O,X
OZJTLSI,O,O,X,O,X,X
OZJTSIL,O,O,X,O,X,O
OZJTSLI,O,O,X,O,X,X
OZJITLS,X,X,X,X,O,X
OZJITSL,X,X,X,X,X,O
OZJILTS,X,X,X,X,O,X
OZJILST,X,O,O,X,O,O
OZJISTL,X,O,O,X,X,O
OZJISLT,X,O,O,X,O,O
OZJLTIS,X,X,X,X,O,X
OZJLTSI,O,O,X,O,X,X
OZJLITS,X,X,X,X,O,X
OZJLIST,X,O,O,X,O,O
OZJLSTI,O,O,O,X,X,X
OZJLSIT,O,O,O,X,O,O
OZJSTIL,O,O,O,O,X,O
OZJSTLI,O,O,O,O,X,X
OZJSITL,X,O,O,X,X,O
OZJSILT,O,O,O,X,O,O
OZJSLTI,O,O,O,X,X,X
OZJSLIT,O,O,O,X,O,O
OZSTILJ,O,O,O,X,X,X
OZSTIJL,O,X,O,X,X,O
OZSTLIJ,O,O,O,X,X,X
OZSTLJI,O,O,O,O,X,X
OZSTJIL,O,O,O,O,X,O
OZSTJLI,O,O,O,O,X,X
OZSITLJ,O,O,O,X,X,X
OZSITJL,O,X,O,X,X,O
OZSILTJ,O,O,O,X,X,X
OZSILJT,O,O,O,X,O,O
OZSIJTL,X,O,O,X,X,O
OZSIJLT,O,O,O,X,O,O
OZSLTIJ,O,O,O,X,X,X
OZSLTJI,O,O,O,X,X,X
OZSLITJ,O,O,O,X,X,X
OZSLIJT,O,O,O,X,O,O
OZSLJTI,O,O,O,X,X,X
OZSLJIT,O,O,O,X,O,O
OZSJTIL,O,O,O,O,X,O
OZSJTLI,O,O,O,O,X,X
OZSJITL,X,O,O,X,X,O
OZSJILT,O,O,O,X,O,O
OZSJLTI,O,O,O,X,X,X
OZSJLIT,O,O,O,X,O,O
