sequence,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeT/IvhFlhB3iB5oBy?sB0pBWxB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeOEJvhFlhB3iB5oBq?pB8sBzrB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeOEJvhFlhBziB5oBq?pB8rB3sB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KelBJvhF3iB5oBTkBy?sBWxB0pB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KexBJvhFTkBFnBXoB6?tBWxB0pB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeT/IvhFlhBeoB5oBX?nB0pBSxB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KemCJvhF5oBTkBFnB6?rB3sB0pB
SIZTJLO,O,O,O,X,X,X,X
SIZTJOL,O,X,O,X,X,X,O
SIZTOLJ,O,O,O,X,X,X,X
SIZTOJL,O,X,O,X,X,X,O
SIZLTJO,O,O,O,X,X,X,X
SIZLTOJ,O,O,O,X,X,X,X
SIZLJTO,O,O,O,X,X,X,X
SIZLJOT,O,O,O,X,X,X,X
SIZLOTJ,O,O,O,X,X,X,X
SIZLOJT,O,O,O,X,X,X,X
SIZJTLO,O,O,O,X,X,O,X
SIZJTOL,O,X,O,X,X,O,X
SIZJLTO,O,O,O,X,X,O,X
SIZJLOT,O,O,O,X,X,O,X
SIZJOTL,O,X,O,X,X,O,X
SIZJOLT,O,X,O,X,X,O,X
SIZOTLJ,O,O,O,X,X,X,X
SIZOTJL,O,O,O,X,X,X,O
SIZOLTJ,O,O,O,X,X,X,X
SIZOLJT,O,O,O,X,X,X,X
SIZOJTL,O,O,O,X,X,O,X
SIZOJLT,O,O,O,X,X,O,X
SIOTLJZ,X,O,O,X,O,X,O
SIOTLZJ,X,O,O,X,X,X,X
SIOTJLZ,X,X,X,O,O,X,O
SIOTJZL,X,X,X,X,O,X,O
SIOTZLJ,X,O,O,X,X,X,X
SIOTZJL,X,O,O,X,X,X,O
SIOLTJZ,X,O,O,X,X,X,O
SIOLTZJ,X,O,O,X,X,X,X
SIOLJTZ,X,O,O,O,X,X,X
SIOLJZT,X,O,O,O,X,X,X
SIOLZTJ,X,O,O,X,X,X,X
SIOLZJT,X,O,O,X,X,X,X
SIOJTLZ,X,X,X,O,O,X,O
SIOJTZL,X,X,X,X,O,X,O
SIOJLTZ,X,X,O,O,X,X,X
SIOJLZT,X,X,O,O,X,X,X
SIOJZTL,X,X,O,X,X,X,X
SIOJZLT,X,X,O,X,X,X,X
SIOZTLJ,X,O,O,X,X,X,X
SIOZTJL,X,O,O,X,X,X,O
SIOZLTJ,X,O,O,X,X,X,X
SIOZLJT,X,O,O,X,X,X,X
SIOZJTL,X,O,O,X,X,X,X
SIOZJLT,X,O,O,X,X,X,X
SLTIJZO,O,O,O,X,X,X,X
SLTIJOZ,X,O,O,X,X,X,O
SLTIZJO,O,O,O,X,X,X,X
SLTIZOJ,O,O,O,X,X,X,X
SLTIOJZ,X,O,O,X,X,X,O
SLTIOZJ,O,O,O,X,X,X,X
SLTJIZO,O,O,O,X,X,X,X
SLTJIOZ,X,O,O,X,X,X,O
SLTJZIO,O,O,O,X,X,X,X
SLTJZOI,O,O,O,X,X,X,X
SLTJOIZ,X,O,O,X,X,X,O
SLTJOZI,X,O,O,X,X,X,X
SLTZIJO,O,O,O,X,X,X,X
SLTZIOJ,O,O,O,X,X,X,X
SLTZJIO,O,O,O,X,X,X,X
SLTZJOI,O,O,O,X,X,X,X
SLTZOIJ,O,O,O,X,X,X,X
SLTZOJI,O,O,O,X,X,X,X
SLTOIJZ,X,O,O,X,O,X,O
SLTOIZJ,O,O,O,X,X,X,X
SLTOJIZ,X,O,O,X,O,X,O
SLTOJZI,X,O,O,X,O,X,X
SLTOZIJ,O,O,O,X,X,X,X
SLTOZJI,O,O,O,X,O,X,X
SLITJZO,O,O,O,X,X,X,X
SLITJOZ,X,O,O,X,X,X,O
SLITZJO,O,O,O,X,X,X,X
SLITZOJ,O,O,O,X,X,X,X
SLITOJZ,X,O,O,X,X,X,O
SLITOZJ,O,O,O,X,X,X,X
SLIJTZO,O,O,O,O,X,X,X
SLIJTOZ,O,O,O,O,X,X,X
SLIJZTO,O,O,O,O,X,X,X
SLIJZOT,O,O,O,O,X,X,X
SLIJOTZ,O,O,O,O,X,X,X
SLIJOZT,O,O,O,O,X,X,X
SLIZTJO,O,O,O,X,X,X,X
SLIZTOJ,O,O,O,X,X,X,X
SLIZJTO,O,O,O,X,X,X,X
SLIZJOT,O,O,O,X,X,X,X
SLIZOTJ,O,O,O,X,X,X,X
SLIZOJT,O,O,O,X,X,X,X
SLIOTJZ,X,O,O,X,X,X,O
SLIOTZJ,O,O,O,X,X,X,X
SLIOJTZ,X,O,O,O,X,X,X
SLIOJZT,X,O,O,O,X,X,X
SLIOZTJ,O,O,O,X,X,X,X
SLIOZJT,O,O,O,X,X,X,X
SLJTIZO,O,O,O,O,X,X,X
SLJTIOZ,O,O,O,O,O,X,X
SLJTZIO,O,O,O,O,X,X,X
SLJTZOI,O,O,O,O,X,X,X
SLJTOIZ,O,O,O,O,O,X,X
SLJTOZI,O,O,O,O,O,X,X
SLJITZO,O,O,O,O,X,X,X
SLJITOZ,O,O,O,O,X,X,X
SLJIZTO,O,O,O,O,X,X,X
SLJIZOT,O,O,O,O,X,X,X
SLJIOTZ,O,O,O,O,X,X,X
SLJIOZT,O,O,O,O,X,X,X
SLJZTIO,O,O,O,O,X,X,X
SLJZTOI,O,O,O,O,X,X,X
SLJZITO,O,O,O,O,X,X,X
SLJZIOT,O,O,O,O,X,X,X
SLJZOTI,O,O,O,O,X,X,X
SLJZOIT,O,O,O,O,X,X,X
SLJOTIZ,O,O,O,O,O,X,X
SLJOTZI,O,O,O,O,O,X,X
SLJOITZ,O,O,O,O,X,X,X
SLJOIZT,O,O,O,O,X,X,X
SLJOZTI,O,O,O,O,X,X,X
SLJOZIT,O,O,O,O,X,X,X
SLZTIJO,O,O,O,X,X,X,X
SLZTIOJ,O,O,O,X,X,X,X
SLZTJIO,O,O,O,X,X,X,X
SLZTJOI,O,O,O,X,X,X,X
SLZTOIJ,O,O,O,X,X,X,X
SLZTOJI,O,O,O,X,X,X,X
SLZITJO,O,O,O,X,X,X,X
SLZITOJ,O,O,O,X,X,X,X
SLZIJTO,O,O,O,X,X,X,X
SLZIJOT,O,O,O,X,X,X,X
SLZIOTJ,O,O,O,X,X,X,X
SLZIOJT,O,O,O,X,X,X,X
SLZJTIO,O,O,O,X,X,X,X
SLZJTOI,O,O,O,X,X,X,X
SLZJITO,O,O,O,X,X,X,X
SLZJIOT,O,O,O,X,X,X,X
SLZJOTI,O,O,O,X,X,X,X
SLZJOIT,O,O,O,X,X,X,X
SLZOTIJ,O,O,O,X,X,X,X
SLZOTJI,O,O,O,X,X,X,X
SLZOITJ,O,O,O,X,X,X,X
SLZOIJT,O,O,O,X,X,X,X
SLZOJTI,O,O,O,X,X,X,X
SLZOJIT,O,O,O,X,X,X,X
SLOTIJZ,X,O,O,X,O,X,O
SLOTIZJ,O,O,O,X,X,X,X
SLOTJIZ,X,O,O,X,O,X,O
SLOTJZI,X,O,O,X,O,X,X
SLOTZIJ,O,O,O,X,X,X,X
SLOTZJI,O,O,O,X,O,X,X
SLOITJZ,X,O,O,X,X,X,O
SLOITZJ,O,O,O,X,X,X,X
SLOIJTZ,X,O,O,O,X,X,X
SLOIJZT,X,O,O,O,X,X,X
SLOIZTJ,O,O,O,X,X,X,X
SLOIZJT,O,O,O,X,X,X,X
SLOJTIZ,X,O,O,O,O,X,X
SLOJTZI,X,O,O,O,O,X,X
SLOJITZ,X,O,O,O,X,X,X
SLOJIZT,X,O,O,O,X,X,X
SLOJZTI,X,O,O,O,X,X,X
SLOJZIT,X,O,O,O,X,X,X
SLOZTIJ,O,O,O,X,X,X,X
SLOZTJI,O,O,O,X,X,X,X
SLOZITJ,O,O,O,X,X,X,X
SLOZIJT,O,O,O,X,X,X,X
SLOZJTI,O,O,O,X,X,X,X
SLOZJIT,O,O,O,X,X,X,X
SJTILZO,O,X,X,O,X,O,X
SJTILOZ,O,X,X,O,O,X,O
SJTIZLO,O,X,X,X,X,O,X
SJTIZOL,O,X,X,X,O,O,O
SJTIOLZ,X,X,X,O,O,X,O
SJTIOZL,X,X,X,X,O,O,O
SJTLIZO,O,X,X,O,X,O,X
SJTLIOZ,O,X,X,O,O,X,O
SJTLZIO,O,X,X,O,X,O,X
SJTLZOI,O,X,X,O,X,O,X
SJTLOIZ,O,X,X,O,O,X,O
SJTLOZI,O,X,X,O,O,X,X
SJTZILO,O,X,X,X,X,O,X
SJTZIOL,O,X,X,X,O,O,O
SJTZLIO,O,X,X,X,X,O,X
SJTZLOI,O,X,X,X,X,O,X
SJTZOIL,O,X,X,X,O,O,O
SJTZOLI,O,X,X,X,O,O,X
SJTOILZ,X,X,X,O,O,X,O
SJTOIZL,X,X,X,X,O,O,O
SJTOLIZ,X,X,X,O,O,X,O
SJTOLZI,X,X,X,O,O,X,X
SJTOZIL,X,X,X,X,O,O,O
SJTOZLI,X,X,X,X,O,O,X
SJITLZO,O,X,X,O,X,O,X
SJITLOZ,O,X,X,O,O,X,O
SJITZLO,O,X,X,X,X,O,X
SJITZOL,O,X,X,X,O,O,O
SJITOLZ,X,X,X,O,O,X,O
SJITOZL,X,X,X,X,O,O,O
SJILTZO,O,X,O,O,X,O,X
SJILTOZ,O,X,O,O,X,X,X
SJILZTO,O,X,O,O,X,O,X
SJILZOT,O,X,O,O,X,O,X
SJILOTZ,O,X,O,O,X,X,X
SJILOZT,O,X,O,O,X,X,X
SJIZTLO,O,X,O,X,X,O,X
SJIZTOL,O,X,O,X,X,O,X
SJIZLTO,O,X,O,X,X,O,X
SJIZLOT,O,X,O,X,X,O,X
SJIZOTL,O,X,O,X,X,O,X
SJIZOLT,O,X,O,X,X,O,X
SJIOTLZ,X,X,X,O,O,X,O
SJIOTZL,X,X,X,X,O,O,O
SJIOLTZ,X,X,O,O,X,X,X
SJIOLZT,X,X,O,O,X,X,X
SJIOZTL,X,X,O,X,X,O,X
SJIOZLT,X,X,O,X,X,O,X
SJLTIZO,O,X,O,O,X,O,X
SJLTIOZ,O,X,O,O,O,X,X
SJLTZIO,O,X,O,O,X,O,X
SJLTZOI,O,X,O,O,X,O,X
SJLTOIZ,O,X,O,O,O,X,X
SJLTOZI,O,X,O,O,O,X,X
SJLITZO,O,X,O,O,X,O,X
SJLITOZ,O,X,O,O,X,X,X
SJLIZTO,O,X,O,O,X,O,X
SJLIZOT,O,X,O,O,X,O,X
SJLIOTZ,O,X,O,O,X,X,X
SJLIOZT,O,X,O,O,X,X,X
SJLZTIO,O,X,O,O,X,O,X
SJLZTOI,O,X,O,O,X,O,X
SJLZITO,O,X,O,O,X,O,X
SJLZIOT,O,X,O,O,X,O,X
SJLZOTI,O,X,O,O,X,O,X
SJLZOIT,O,X,O,O,X,O,X
SJLOTIZ,O,X,O,O,O,X,X
SJLOTZI,O,X,O,O,O,X,X
SJLOITZ,O,X,O,O,X,X,X
SJLOIZT,O,X,O,O,X,X,X
SJLOZTI,O,X,O,O,X,X,X
SJLOZIT,O,X,O,O,X,X,X
SJZTILO,O,X,O,X,X,O,X
SJZTIOL,O,X,O,X,O,O,X
SJZTLIO,O,X,O,X,X,O,X
SJZTLOI,O,X,O,X,X,O,X
SJZTOIL,O,X,O,X,O,O,X
SJZTOLI,O,X,O,X,O,O,X
SJZITLO,O,X,O,X,X,O,X
SJZITOL,O,X,O,X,X,O,X
SJZILTO,O,X,O,X,X,O,X
SJZILOT,O,X,O,X,X,O,X
SJZIOTL,O,X,O,X,X,O,X
SJZIOLT,O,X,O,X,X,O,X
SJZLTIO,O,X,O,X,X,O,X
SJZLTOI,O,X,O,X,X,O,X
SJZLITO,O,X,O,X,X,O,X
SJZLIOT,O,X,O,X,X,O,X
SJZLOTI,O,X,O,X,X,O,X
SJZLOIT,O,X,O,X,X,O,X
SJZOTIL,O,X,O,X,O,O,X
SJZOTLI,O,X,O,X,O,O,X
SJZOITL,O,X,O,X,X,O,X
SJZOILT,O,X,O,X,X,O,X
SJZOLTI,O,X,O,X,X,O,X
SJZOLIT,O,X,O,X,X,O,X
SJOTILZ,X,X,X,O,O,X,O
SJOTIZL,X,X,X,X,O,O,O
SJOTLIZ,X,X,X,O,O,X,O
SJOTLZI,X,X,X,O,O,X,X
SJOTZIL,X,X,X,X,O,O,O
SJOTZLI,X,X,X,X,O,O,X
SJOITLZ,X,X,X,O,O,X,O
SJOITZL,X,X,X,X,O,O,O
SJOILTZ,X,X,O,O,X,X,X
SJOILZT,X,X,O,O,X,X,X
SJOIZTL,X,X,O,X,X,O,X
SJOIZLT,X,X,O,X,X,O,X
SJOLTIZ,X,X,O,O,O,X,X
SJOLTZI,X,X,O,O,O,X,X
SJOLITZ,X,X,O,O,X,X,X
SJOLIZT,X,X,O,O,X,X,X
SJOLZTI,X,X,O,O,X,X,X
SJOLZIT,X,X,O,O,X,X,X
SJOZTIL,X,X,O,X,O,O,X
SJOZTLI,X,X,O,X,O,O,X
SJOZITL,X,X,O,X,X,O,X
SJOZILT,X,X,O,X,X,O,X
SJOZLTI,X,X,O,X,X,O,X
SJOZLIT,X,X,O,X,X,O,X
SZTILJO,O,O,O,X,X,X,X
SZTILOJ,O,O,O,X,X,X,X
SZTIJLO,O,O,O,X,X,X,X
SZTIJOL,O,X,O,X,X,X,O
SZTIOLJ,O,O,O,X,X,X,X
SZTIOJL,O,X,O,X,X,X,O
SZTLIJO,O,O,O,X,X,X,X
SZTLIOJ,O,O,O,X,X,X,X
SZTLJIO,O,O,O,X,X,X,X
SZTLJOI,O,O,O,X,X,X,X
SZTLOIJ,O,O,O,X,X,X,X
SZTLOJI,O,O,O,X,X,X,X
SZTJILO,O,O,O,X,X,X,X
SZTJIOL,O,X,O,X,X,X,O
SZTJLIO,O,O,O,X,X,X,X
SZTJLOI,O,O,O,X,X,X,X
SZTJOIL,O,X,O,X,X,X,O
SZTJOLI,O,X,O,X,X,X,X
SZTOILJ,O,O,O,X,X,X,X
SZTOIJL,O,X,O,X,X,X,O
SZTOLIJ,O,O,O,X,X,X,X
SZTOLJI,O,O,O,X,O,X,X
SZTOJIL,O,X,O,X,O,X,O
SZTOJLI,O,X,O,X,O,X,X
SZITLJO,O,O,O,X,X,X,X
SZITLOJ,O,O,O,X,X,X,X
SZITJLO,O,O,O,X,X,X,X
SZITJOL,O,X,O,X,X,X,O
SZITOLJ,O,O,O,X,X,X,X
SZITOJL,O,X,O,X,X,X,O
SZILTJO,O,O,O,X,X,X,X
SZILTOJ,O,O,O,X,X,X,X
SZILJTO,O,O,O,X,X,X,X
SZILJOT,O,O,O,X,X,X,X
SZILOTJ,O,O,O,X,X,X,X
SZILOJT,O,O,O,X,X,X,X
SZIJTLO,O,O,O,X,X,O,X
SZIJTOL,O,X,O,X,X,O,X
SZIJLTO,O,O,O,X,X,O,X
SZIJLOT,O,O,O,X,X,O,X
SZIJOTL,O,X,O,X,X,O,X
SZIJOLT,O,X,O,X,X,O,X
SZIOTLJ,O,O,O,X,X,X,X
SZIOTJL,O,O,O,X,X,X,O
SZIOLTJ,O,O,O,X,X,X,X
SZIOLJT,O,O,O,X,X,X,X
SZIOJTL,O,O,O,X,X,O,X
SZIOJLT,O,O,O,X,X,O,X
SZLTIJO,O,O,O,X,X,X,X
SZLTIOJ,O,O,O,X,X,X,X
SZLTJIO,O,O,O,X,X,X,X
SZLTJOI,O,O,O,X,X,X,X
SZLTOIJ,O,O,O,X,X,X,X
SZLTOJI,O,O,O,X,X,X,X
SZLITJO,O,O,O,X,X,X,X
SZLITOJ,O,O,O,X,X,X,X
SZLIJTO,O,O,O,X,X,X,X
SZLIJOT,O,O,O,X,X,X,X
SZLIOTJ,O,O,O,X,X,X,X
SZLIOJT,O,O,O,X,X,X,X
SZLJTIO,O,O,O,X,X,X,X
SZLJTOI,O,O,O,X,X,X,X
SZLJITO,O,O,O,X,X,X,X
SZLJIOT,O,O,O,X,X,X,X
SZLJOTI,O,O,O,X,X,X,X
SZLJOIT,O,O,O,X,X,X,X
SZLOTIJ,O,O,O,X,X,X,X
SZLOTJI,O,O,O,X,X,X,X
SZLOITJ,O,O,O,X,X,X,X
SZLOIJT,O,O,O,X,X,X,X
SZLOJTI,O,O,O,X,X,X,X
SZLOJIT,O,O,O,X,X,X,X
SZJTILO,O,O,O,X,X,O,X
SZJTIOL,O,X,O,X,O,O,X
SZJTLIO,O,O,O,X,X,O,X
SZJTLOI,O,O,O,X,X,O,X
SZJTOIL,O,X,O,X,O,O,X
SZJTOLI,O,X,O,X,O,O,X
SZJITLO,O,O,O,X,X,O,X
SZJITOL,O,X,O,X,X,O,X
SZJILTO,O,O,O,X,X,O,X
SZJILOT,O,O,O,X,X,O,X
SZJIOTL,O,X,O,X,X,O,X
SZJIOLT,O,X,O,X,X,O,X
SZJLTIO,O,O,O,X,X,O,X
SZJLTOI,O,O,O,X,X,O,X
SZJLITO,O,O,O,X,X,O,X
SZJLIOT,O,O,O,X,X,O,X
SZJLOTI,O,O,O,X,X,O,X
SZJLOIT,O,O,O,X,X,O,X
SZJOTIL,O,X,O,X,O,O,X
SZJOTLI,O,X,O,X,O,O,X
SZJOITL,O,X,O,X,X,O,X
SZJOILT,O,X,O,X,X,O,X
SZJOLTI,O,X,O,X,X,O,X
SZJOLIT,O,X,O,X,X,O,X
SZOTILJ,O,O,O,X,X,X,X
SZOTIJL,O,O,O,X,X,X,O
SZOTLIJ,O,O,O,X,X,X,X
SZOTLJI,O,O,O,X,O,X,X
SZOTJIL,O,O,O,X,O,X,O
SZOTJLI,O,O,O,X,O,X,X
SZOITLJ,O,O,O,X,X,X,X
SZOITJL,O,O,O,X,X,X,O
SZOILTJ,O,O,O,X,X,X,X
SZOILJT,O,O,O,X,X,X,X
SZOIJTL,O,O,O,X,X,O,X
SZOIJLT,O,O,O,X,X,O,X
SZOLTIJ,O,O,O,X,X,X,X
SZOLTJI,O,O,O,X,X,X,X
SZOLITJ,O,O,O,X,X,X,X
SZOLIJT,O,O,O,X,X,X,X
SZOLJTI,O,O,O,X,X,X,X
SZOLJIT,O,O,O,X,X,X,X
SZOJTIL,O,O,O,X,O,O,X
SZOJTLI,O,O,O,X,O,O,X
SZOJITL,O,O,O,X,X,O,X
SZOJILT,O,O,O,X,X,O,X
SZOJLTI,O,O,O,X,X,O,X
SZOJLIT,O,O,O,X,X,O,X
SOTILJZ,X,O,O,X,O,X,O
SOTILZJ,X,O,O,X,X,X,X
SOTIJLZ,X,X,X,O,O,X,O
SOTIJZL,X,X,X,X,O,X,O
SOTIZLJ,X,O,O,X,X,X,X
SOTIZJL,X,O,O,X,X,X,O
SOTLIJZ,X,O,O,X,O,X,O
SOTLIZJ,X,O,O,X,X,X,X
SOTLJIZ,X,O,O,X,O,X,O
SOTLJZI,X,O,O,X,O,X,X
SOTLZIJ,X,O,O,X,X,X,X
SOTLZJI,X,O,O,X,O,X,X
SOTJILZ,X,X,X,O,O,X,O
SOTJIZL,X,X,X,X,O,X,O
SOTJLIZ,X,X,X,O,O,X,O
SOTJLZI,X,X,X,O,O,X,X
SOTJZIL,X,X,X,X,O,X,O
SOTJZLI,X,X,X,X,O,X,X
SOTZILJ,X,O,O,X,X,X,X
SOTZIJL,X,O,O,X,X,X,O
SOTZLIJ,X,O,O,X,X,X,X
SOTZLJI,X,O,O,X,O,X,X
SOTZJIL,X,O,O,X,O,X,O
SOTZJLI,X,O,O,X,O,X,X
SOITLJZ,X,O,O,X,O,X,O
SOITLZJ,X,O,O,X,X,X,X
SOITJLZ,X,X,X,O,O,X,O
SOITJZL,X,X,X,X,O,X,O
SOITZLJ,X,O,O,X,X,X,X
SOITZJL,X,O,O,X,X,X,O
SOILTJZ,X,O,O,X,X,X,O
SOILTZJ,X,O,O,X,X,X,X
SOILJTZ,X,O,O,O,X,X,X
SOILJZT,X,O,O,O,X,X,X
SOILZTJ,X,O,O,X,X,X,X
SOILZJT,X,O,O,X,X,X,X
SOIJTLZ,X,X,X,O,O,X,O
SOIJTZL,X,X,X,X,O,X,O
SOIJLTZ,X,X,O,O,X,X,X
SOIJLZT,X,X,O,O,X,X,X
SOIJZTL,X,X,O,X,X,X,X
SOIJZLT,X,X,O,X,X,X,X
SOIZTLJ,X,O,O,X,X,X,X
SOIZTJL,X,O,O,X,X,X,O
SOIZLTJ,X,O,O,X,X,X,X
SOIZLJT,X,O,O,X,X,X,X
SOIZJTL,X,O,O,X,X,X,X
SOIZJLT,X,O,O,X,X,X,X
SOLTIJZ,X,O,O,X,O,X,O
SOLTIZJ,X,O,O,X,X,X,X
SOLTJIZ,X,O,O,X,O,X,O
SOLTJZI,X,O,O,X,O,X,X
SOLTZIJ,X,O,O,X,X,X,X
SOLTZJI,X,O,O,X,O,X,X
SOLITJZ,X,O,O,X,X,X,O
SOLITZJ,X,O,O,X,X,X,X
SOLIJTZ,X,O,O,O,X,X,X
SOLIJZT,X,O,O,O,X,X,X
SOLIZTJ,X,O,O,X,X,X,X
SOLIZJT,X,O,O,X,X,X,X
SOLJTIZ,X,O,O,O,O,X,X
SOLJTZI,X,O,O,O,O,X,X
SOLJITZ,X,O,O,O,X,X,X
SOLJIZT,X,O,O,O,X,X,X
SOLJZTI,X,O,O,O,X,X,X
SOLJZIT,X,O,O,O,X,X,X
SOLZTIJ,X,O,O,X,X,X,X
SOLZTJI,X,O,O,X,X,X,X
SOLZITJ,X,O,O,X,X,X,X
SOLZIJT,X,O,O,X,X,X,X
SOLZJTI,X,O,O,X,X,X,X
SOLZJIT,X,O,O,X,X,X,X
SOJTILZ,X,X,X,O,O,X,O
SOJTIZL,X,X,X,X,O,X,O
SOJTLIZ,X,X,X,O,O,X,O
SOJTLZI,X,X,X,O,O,X,X
SOJTZIL,X,X,X,X,O,X,O
SOJTZLI,X,X,X,X,O,X,X
SOJITLZ,X,X,X,O,O,X,O
SOJITZL,X,X,X,X,O,X,O
SOJILTZ,X,X,O,O,X,X,X
SOJILZT,X,X,O,O,X,X,X
SOJIZTL,X,X,O,X,X,X,X
SOJIZLT,X,X,O,X,X,X,X
SOJLTIZ,X,X,O,O,O,X,X
SOJLTZI,X,X,O,O,O,X,X
SOJLITZ,X,X,O,O,X,X,X
SOJLIZT,X,X,O,O,X,X,X
SOJLZTI,X,X,O,O,X,X,X
SOJLZIT,X,X,O,O,X,X,X
SOJZTIL,X,X,O,X,O,X,X
SOJZTLI,X,X,O,X,O,X,X
SOJZITL,X,X,O,X,X,X,X
SOJZILT,X,X,O,X,X,X,X
SOJZLTI,X,X,O,X,X,X,X
SOJZLIT,X,X,O,X,X,X,X
SOZTILJ,X,O,O,X,X,X,X
SOZTIJL,X,O,O,X,X,X,O
SOZTLIJ,X,O,O,X,X,X,X
SOZTLJI,X,O,O,X,O,X,X
SOZTJIL,X,O,O,X,O,X,O
SOZTJLI,X,O,O,X,O,X,X
SOZITLJ,X,O,O,X,X,X,X
SOZITJL,X,O,O,X,X,X,O
SOZILTJ,X,O,O,X,X,X,X
SOZILJT,X,O,O,X,X,X,X
SOZIJTL,X,O,O,X,X,X,X
SOZIJLT,X,O,O,X,X,X,X
SOZLTIJ,X,O,O,X,X,X,X
SOZLTJI,X,O,O,X,X,X,X
SOZLITJ,X,O,O,X,X,X,X
SOZLIJT,X,O,O,X,X,X,X
SOZLJTI,X,O,O,X,X,X,X
SOZLJIT,X,O,O,X,X,X,X
SOZJTIL,X,O,O,X,O,X,X
SOZJTLI,X,O,O,X,O,X,X
SOZJITL,X,O,O,X,X,X,X
SOZJILT,X,O,O,X,X,X,X
SOZJLTI,X,O,O,X,X,X,X
SOZJLIT,X,O,O,X,X,X,X
ZTILJSO,O,O,O,X,X,X,X
ZTILJOS,O,O,O,X,X,X,X
ZTILSJO,O,O,O,X,X,X,X
ZTILSOJ,O,O,O,X,X,X,X
ZTILOJS,O,O,O,X,X,X,X
ZTILOSJ,O,O,O,X,X,X,X
ZTIJLSO,O,O,O,O,X,X,X
ZTIJLOS,O,O,O,O,X,X,X
ZTIJSLO,O,O,O,X,X,O,X
ZTIJSOL,O,X,O,X,X,O,X
ZTIJOLS,O,X,X,O,X,X,X
ZTIJOSL,O,X,X,X,X,O,X
ZTISLJO,O,O,O,X,X,X,X
ZTISLOJ,O,O,O,X,X,X,X
ZTISJLO,O,O,O,X,X,X,X
ZTISJOL,O,X,O,X,X,X,X
ZTISOLJ,O,O,O,X,X,X,X
ZTISOJL,O,X,O,X,X,X,X
ZTIOLJS,O,O,O,X,X,X,X
ZTIOLSJ,O,O,O,X,X,X,X
ZTIOJLS,O,O,X,O,X,X,X
ZTIOJSL,O,O,X,X,X,O,X
ZTIOSLJ,O,O,O,X,X,X,X
ZTIOSJL,O,O,O,X,X,X,X
ZTLIJSO,O,O,O,X,X,X,X
ZTLIJOS,O,O,O,X,X,X,X
ZTLISJO,O,O,O,X,X,X,X
ZTLISOJ,O,O,O,X,X,X,X
ZTLIOJS,O,O,O,X,X,X,X
ZTLIOSJ,O,O,O,X,X,X,X
ZTLJISO,O,O,O,X,X,X,X
ZTLJIOS,O,O,O,X,X,X,X
ZTLJSIO,O,O,O,X,X,X,X
ZTLJSOI,O,O,X,X,X,X,X
ZTLJOIS,O,O,O,X,X,X,X
ZTLJOSI,O,O,X,X,X,X,X
ZTLSIJO,O,O,O,X,X,X,X
ZTLSIOJ,O,O,O,X,X,X,X
ZTLSJIO,O,O,O,X,X,X,X
ZTLSJOI,O,O,X,X,X,X,X
ZTLSOIJ,O,O,X,X,X,X,X
ZTLSOJI,O,O,X,X,X,X,X
ZTLOIJS,O,O,O,X,X,X,X
ZTLOISJ,O,O,O,X,X,X,X
ZTLOJIS,O,O,O,X,X,X,X
ZTLOJSI,O,O,X,X,X,X,X
ZTLOSIJ,O,O,X,X,X,X,X
ZTLOSJI,O,O,X,X,X,X,X
ZTJILSO,O,O,O,O,X,X,X
ZTJILOS,O,O,O,O,X,X,X
ZTJISLO,O,O,O,X,X,O,X
ZTJISOL,O,X,O,X,X,O,X
ZTJIOLS,O,X,X,O,X,X,X
ZTJIOSL,O,X,X,X,X,O,X
ZTJLISO,O,O,O,O,X,X,X
ZTJLIOS,O,O,O,O,X,X,X
ZTJLSIO,O,O,O,O,X,X,X
ZTJLSOI,O,O,X,O,X,X,X
ZTJLOIS,O,O,O,O,X,X,X
ZTJLOSI,O,O,X,O,X,X,X
ZTJSILO,O,O,X,X,X,O,X
ZTJSIOL,O,X,X,X,X,O,X
ZTJSLIO,O,O,X,X,X,O,X
ZTJSLOI,O,O,X,X,X,O,X
ZTJSOIL,O,X,X,X,X,O,X
ZTJSOLI,O,X,X,X,X,O,X
ZTJOILS,O,X,X,O,X,X,X
ZTJOISL,O,X,X,X,X,O,X
ZTJOLIS,O,X,X,O,X,X,X
ZTJOLSI,O,X,X,O,X,X,X
ZTJOSIL,O,X,X,X,X,O,X
ZTJOSLI,O,X,X,X,X,O,X
ZTSILJO,O,O,O,X,X,X,X
ZTSILOJ,O,O,O,X,X,X,X
ZTSIJLO,O,O,O,X,X,X,X
ZTSIJOL,O,X,O,X,X,X,X
ZTSIOLJ,O,O,O,X,X,X,X
ZTSIOJL,O,X,O,X,X,X,X
ZTSLIJO,O,O,O,X,X,X,X
ZTSLIOJ,O,O,O,X,X,X,X
ZTSLJIO,O,O,O,X,X,X,X
ZTSLJOI,O,O,X,X,X,X,X
ZTSLOIJ,O,O,X,X,X,X,X
ZTSLOJI,O,O,X,X,X,X,X
ZTSJILO,O,O,X,X,X,X,X
ZTSJIOL,O,X,X,X,X,X,X
ZTSJLIO,O,O,X,X,X,X,X
