sequence,v115@9gB8HeC8GeA8IeE8CeA8KelAJvhFUiBGjB6rB/tBRq?BTsB,v115@9gB8HeC8GeA8IeE8CeA8Ke0AJvhFlhBGjB6sB/tBRq?BzrB,v115@9gB8HeC8GeA8IeE8CeA8Ke8FJvhFzhBaoB5oB+sBXl?BlrB,v115@9gB8HeC8GeA8IeE8CeA8Ke0AJvhFVnBGjB/tB6rBRq?BTsB,v115@9gB8HeC8GeA8IeE8CeA8Ke0BJvhFliB5oBzlBysBXl?BWxB
TZOLSIJ,X,O,X,X,X
TZOLSJI,O,O,X,O,X
TZOJILS,X,X,O,X,X
TZOJISL,X,X,O,X,X
TZOJLIS,X,X,O,X,X
TZOJLSI,X,X,O,X,X
TZOJSIL,O,O,O,O,X
TZOJSLI,O,O,O,O,X
TZOSILJ,O,X,X,O,X
TZOSIJL,O,O,O,O,X
TZOSLIJ,X,O,X,X,X
TZOSLJI,O,O,X,O,X
TZOSJIL,O,O,O,O,X
TZOSJLI,O,O,O,O,X
TOILJSZ,O,X,O,X,O
TOILJZS,O,X,O,X,O
TOILSJZ,O,X,X,O,X
TOILSZJ,O,X,X,O,O
TOILZJS,O,X,O,X,O
TOILZSJ,O,X,X,O,O
TOIJLSZ,X,X,O,X,O
TOIJLZS,X,X,O,X,O
TOIJSLZ,O,X,O,O,X
TOIJSZL,O,X,O,O,X
TOIJZLS,X,X,O,X,O
TOIJZSL,O,X,O,O,X
TOISLJZ,O,X,X,O,X
TOISLZJ,O,X,X,O,X
TOISJLZ,O,X,O,O,X
TOISJZL,O,O,O,O,X
TOISZLJ,O,X,X,O,X
TOISZJL,O,O,O,O,X
TOIZLJS,X,X,O,X,O
TOIZLSJ,O,X,X,O,O
TOIZJLS,X,X,O,X,O
TOIZJSL,O,X,O,O,X
TOIZSLJ,O,X,X,O,X
TOIZSJL,O,O,O,O,X
TOLIJSZ,X,X,O,X,O
TOLIJZS,X,X,O,X,O
TOLISJZ,O,O,X,X,X
TOLISZJ,O,O,X,X,O
TOLIZJS,X,X,O,X,O
TOLIZSJ,O,O,X,X,O
TOLJISZ,X,X,O,X,O
TOLJIZS,X,X,O,X,O
TOLJSIZ,O,O,O,X,O
TOLJSZI,O,O,O,X,O
TOLJZIS,X,X,O,X,O
TOLJZSI,O,O,O,X,O
TOLSIJZ,O,O,X,X,X
TOLSIZJ,O,O,X,X,O
TOLSJIZ,O,O,X,X,X
TOLSJZI,O,O,X,O,X
TOLSZIJ,O,O,X,X,O
TOLSZJI,O,O,X,O,X
TOLZIJS,X,X,O,X,O
TOLZISJ,O,O,X,X,O
TOLZJIS,X,X,O,X,O
