sequence,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFmdB5jB9nB0?mBKtBzrB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFeiBfjB6jBc?sB5mBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFCdBXiB8nB5?oBOtBzrB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFdiBzdB6rBc?sBOtB5oB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFCdBejB5jBX?iBzrBUtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFCdB8mBziB5?oBOtBXsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF5jBziBurBf?nBUtBisB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF5hB0dB6jB2?nBXsBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhF0dB9mBSoBx?sBesBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeT9IvhFOjBUhB5oBd?sBftB6rB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFXeBSoBUnB5?mBTtBOsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFzdB5jBUiBu?mBKtBXsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF5hBKiBGeBU?jBXsBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFqhBxdBXjB+?tB0nBzrB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF/iBTjBasB5?mBGoBUtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF+jBRiB3iBq?rBUnBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFRdB+jB3iBq?rBUnBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFajB5jBTiBf?sBUtBurB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF/iBcjBasB+?tB5mBzsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFRdB+jBUiBq?rB3nBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF0dBSoBurBx?sBfsBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF6jBXiB8nB5?mBOsBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFdiBqiBTeB+?tBRsB0rB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFcjBxmB+tBN?nBqrBzsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFGeBUjBxmBC?sBTtBdsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFzcB3iBqrBx?sBctBGtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFzcB+jB3iBq?rBxsBUtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFdiBCeBGoBR?sB0rBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF3dBWnB6tBR?sBctBzrB,v115@zgD8FeC8GeD8FeE8EeE8BeA8Le+DJvhFUhBRiB3iB6?rBNsBTtB
LTSZJOI,O,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSZOIJ,O,X,X,X,X,O,X,X,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSZOJI,O,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSOIJZ,O,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOIZJ,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOJIZ,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOJZI,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTSOZIJ,X,X,X,X,X,O,X,O,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSOZJI,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZIJSO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
LTZIJOS,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTZISJO,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
LTZISOJ,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
LTZIOJS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZIOSJ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTZJISO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZJIOS,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJSIO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTZJSOI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZJOIS,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZJOSI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTZSIJO,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZSIOJ,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTZSJIO,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTZSJOI,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZSOIJ,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTZSOJI,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZOIJS,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZOISJ,O,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOJIS,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZOJSI,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZOSIJ,O,O,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZOSJI,O,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTOIJSZ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOIJZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
LTOISJZ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOISZJ,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOIZJS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
LTOIZSJ,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
LTOJISZ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJIZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTOJSIZ,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJSZI,X,O,X,X,X,X,X,O,X,X,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTOJZIS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTOJZSI,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTOSIJZ,O,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSIZJ,X,O,O,X,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSJIZ,O,X,X,X,X,X,X,O,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSJZI,X,O,O,X,O,X,X,O,X,X,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTOSZIJ,X,O,O,X,O,X,X,O,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOSZJI,X,O,O,X,O,X,X,O,X,X,O,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTOZIJS,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
LTOZISJ,O,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
LTOZJIS,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
LTOZJSI,O,O,X,X,O,X,X,X,X,X,O,X,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTOZSIJ,O,O,O,X,O,X,X,O,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOZSJI,O,O,O,X,O,X,X,O,X,X,O,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LITJSZO,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X
LITJSOZ,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LITJZSO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X
LITJZOS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITJOSZ,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LITJOZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITSJZO,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X
LITSJOZ,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LITSZJO,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LITSZOJ,O,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LITSOJZ,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITSOZJ,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITZJSO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
LITZJOS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITZSJO,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LITZSOJ,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LITZOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LITZOSJ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LITOJSZ,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LITOJZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
LITOSJZ,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITOSZJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITOZJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
LITOZSJ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
LIJTSZO,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X
LIJTSOZ,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
LIJTZSO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O,O,O,X
LIJTZOS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X
LIJTOSZ,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
LIJTOZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
LIJSTZO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
LIJSTOZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
LIJSZTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,O,X,X
LIJSZOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LIJSOTZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LIJSOZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJZTSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,O,X,X
LIJZTOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X
LIJZSTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,O,O,X,X
LIJZSOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LIJZOTS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
LIJZOST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LIJOTSZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
LIJOTZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LIJOSTZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LIJOSZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJOZTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
LIJOZST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LISTJZO,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X
LISTJOZ,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LISTZJO,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LISTZOJ,O,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LISTOJZ,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LISTOZJ,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LISJTZO,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LISJTOZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LISJZTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X
LISJZOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LISJOTZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LISJOZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LISZTJO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LISZTOJ,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LISZJTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LISZJOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LISZOTJ,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LISZOJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LISOTJZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LISOTZJ,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LISOJTZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LISOJZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LISOZTJ,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LISOZJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIZTJSO,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
LIZTJOS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LIZTSJO,O,X,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LIZTSOJ,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LIZTOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIZTOSJ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LIZJTSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LIZJTOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIZJSTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LIZJSOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIZJOTS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIZJOST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIZSTJO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LIZSTOJ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LIZSJTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LIZSJOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIZSOTJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LIZSOJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIZOTJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIZOTSJ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
LIZOJTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIZOJST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIZOSTJ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
LIZOSJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIOTJSZ,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LIOTJZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
LIOTSJZ,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIOTSZJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIOTZJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
LIOTZSJ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
LIOJTSZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LIOJTZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIOJSTZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LIOJSZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIOJZTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIOJZST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIOSTJZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIOSTZJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIOSJTZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIOSJZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIOSZTJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIOSZJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIOZTJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIOZTSJ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
LIOZJTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIOZJST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIOZSTJ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
LIOZSJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LJTISZO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X
LJTISOZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJTIZSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X
LJTIZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
