sequence,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeaBJvhFzcBGeBUjBF?nB3sBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeF8IvhF0dB6jB3hBm?nBTsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JecBJvhFTdB6jBeoBF?nB3qBxwB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeU8IvhFFdB6jBziBm?mB3sBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeaBJvhFGdBTeBFnBX?oBUsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeaBJvhFFdBXeBWnBc?oBTsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeU8IvhFGeBiiB3hBF?oBTsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeG9IvhFTeBihBUnBF?oB3qBxwB,v115@zgC8GeD8FeD8FeF8CeC8FeB8Jex9IvhFlhBcnBTjB3?sByvBGrB,v115@zgC8GeD8FeD8FeF8CeC8FeB8Jex9IvhFlhB3iBcoBT?sByvBGrB
JIZOLTS,O,O,O,O,X,O,O,X,X,X
JIZOLST,O,O,X,O,X,O,O,X,X,X
JIZOSTL,O,O,X,X,X,O,X,X,X,X
JIZOSLT,O,O,X,X,X,O,X,X,X,X
JIOTLSZ,X,O,O,X,X,O,O,X,X,X
JIOTLZS,X,O,O,O,X,O,O,X,X,X
JIOTSLZ,X,O,O,X,X,O,O,X,X,X
JIOTSZL,X,O,O,X,X,O,O,X,X,X
JIOTZLS,X,O,O,O,X,O,O,X,X,X
JIOTZSL,X,O,O,X,X,O,O,X,X,X
JIOLTSZ,X,O,O,X,X,O,X,X,X,X
JIOLTZS,X,O,O,O,X,O,O,X,X,X
JIOLSTZ,X,O,X,O,X,O,X,X,X,X
JIOLSZT,X,O,X,O,X,O,O,X,X,X
JIOLZTS,X,O,O,O,X,O,O,X,X,X
JIOLZST,X,O,X,O,X,O,O,X,X,X
JIOSTLZ,X,O,X,X,X,O,X,X,X,X
JIOSTZL,X,O,X,X,X,O,X,X,X,X
JIOSLTZ,X,O,X,X,X,O,X,X,X,X
JIOSLZT,X,O,X,X,X,O,X,X,X,X
JIOSZTL,X,O,X,X,X,O,X,X,X,X
JIOSZLT,X,O,X,X,X,O,X,X,X,X
JIOZTLS,X,O,O,O,X,O,O,X,X,X
JIOZTSL,X,O,O,X,X,O,O,X,X,X
JIOZLTS,X,O,O,O,X,O,O,X,X,X
JIOZLST,X,O,X,O,X,O,O,X,X,X
JIOZSTL,X,O,X,X,X,O,X,X,X,X
JIOZSLT,X,O,X,X,X,O,X,X,X,X
JLTISZO,X,O,O,O,X,X,X,X,X,X
JLTISOZ,X,X,O,O,O,X,X,X,X,X
JLTIZSO,X,O,O,O,X,O,X,X,X,X
JLTIZOS,X,O,O,O,X,X,X,X,X,X
JLTIOSZ,X,O,O,X,X,X,X,X,X,X
JLTIOZS,X,O,O,O,X,X,X,X,X,X
JLTSIZO,X,O,O,O,X,X,X,X,X,X
JLTSIOZ,X,O,O,X,O,X,X,X,X,X
JLTSZIO,X,O,O,O,O,O,X,X,X,X
JLTSZOI,X,O,X,O,O,O,X,X,X,X
JLTSOIZ,X,O,O,X,O,X,X,X,X,X
JLTSOZI,X,O,O,O,O,X,X,X,X,X
JLTZISO,X,O,O,O,X,O,X,X,X,X
JLTZIOS,O,X,O,O,X,O,X,O,X,X
JLTZSIO,X,O,O,O,X,O,X,X,X,X
JLTZSOI,O,O,X,O,O,O,X,O,X,X
JLTZOIS,O,X,O,O,X,O,X,O,X,X
JLTZOSI,O,O,O,O,X,O,X,O,X,X
JLTOISZ,X,X,O,X,X,X,X,X,X,X
JLTOIZS,X,O,O,X,X,X,X,X,X,X
JLTOSIZ,X,X,O,X,O,X,X,X,X,X
JLTOSZI,X,O,O,X,O,X,X,X,X,X
JLTOZIS,O,O,O,O,X,X,X,X,X,X
JLTOZSI,O,O,O,O,X,O,X,X,X,X
JLITSZO,X,O,O,O,O,O,X,X,X,X
JLITSOZ,X,O,O,O,O,X,X,X,X,X
JLITZSO,O,O,O,O,O,O,X,O,X,X
JLITZOS,O,O,O,O,X,O,X,O,X,X
JLITOSZ,X,O,O,X,O,X,X,X,X,X
JLITOZS,O,O,O,O,X,O,X,X,X,X
JLISTZO,O,O,O,O,O,O,X,X,X,X
JLISTOZ,O,O,O,O,O,X,X,X,X,X
JLISZTO,O,O,O,O,X,O,X,O,X,X
JLISZOT,O,O,X,O,X,O,X,X,X,X
JLISOTZ,X,O,X,O,O,X,X,X,X,X
JLISOZT,X,O,X,O,X,X,X,X,X,X
JLIZTSO,O,O,O,O,X,O,X,O,X,X
JLIZTOS,O,O,O,O,X,O,X,O,X,X
JLIZSTO,O,O,O,O,X,O,X,O,X,X
JLIZSOT,O,O,X,O,X,O,X,X,X,X
JLIZOTS,O,O,O,O,X,O,X,O,X,X
JLIZOST,O,O,X,O,X,O,X,X,X,X
JLIOTSZ,X,O,O,X,X,O,X,X,X,X
JLIOTZS,X,O,O,O,X,O,X,X,X,X
JLIOSTZ,X,O,X,O,X,O,X,X,X,X
JLIOSZT,X,O,X,O,X,O,X,X,X,X
JLIOZTS,X,O,O,O,X,O,X,O,X,X
JLIOZST,X,O,X,O,X,O,X,X,X,X
JLSTIZO,X,O,O,O,X,X,X,X,X,X
JLSTIOZ,X,O,O,X,X,X,X,X,X,X
JLSTZIO,O,O,O,O,O,O,X,X,X,X
JLSTZOI,O,O,X,O,O,O,X,X,X,X
JLSTOIZ,X,O,O,X,O,X,X,X,X,X
JLSTOZI,O,O,O,O,O,X,X,X,X,X
JLSITZO,X,O,O,O,O,X,X,X,X,X
JLSITOZ,X,O,O,O,O,X,X,X,X,X
JLSIZTO,X,O,O,O,X,X,X,X,X,X
JLSIZOT,X,O,X,O,X,X,X,X,X,X
JLSIOTZ,X,O,X,O,O,X,X,X,X,X
JLSIOZT,X,O,X,O,X,X,X,X,X,X
JLSZTIO,O,O,O,O,X,O,X,X,X,X
JLSZTOI,O,O,X,O,X,O,X,O,X,X
JLSZITO,O,O,O,O,X,O,X,X,X,X
JLSZIOT,X,O,X,O,X,O,X,X,X,X
JLSZOTI,O,O,X,O,X,O,X,X,X,X
JLSZOIT,X,X,X,O,X,O,X,X,X,X
JLSOTIZ,X,O,X,O,O,X,X,X,X,X
JLSOTZI,X,O,X,O,O,X,X,X,X,X
JLSOITZ,X,O,X,O,O,X,X,X,X,X
JLSOIZT,X,O,X,O,X,X,X,X,X,X
JLSOZTI,X,O,X,O,X,X,X,X,X,X
JLSOZIT,X,X,X,O,X,X,X,X,X,X
JLZTISO,O,O,O,O,X,O,X,O,X,X
JLZTIOS,O,X,O,O,X,O,X,O,X,X
JLZTSIO,O,O,O,O,X,O,X,X,X,X
JLZTSOI,O,O,X,O,X,O,X,O,X,X
JLZTOIS,O,X,O,O,X,O,X,O,X,X
JLZTOSI,O,O,O,O,X,O,X,O,X,X
JLZITSO,O,O,O,O,X,O,X,X,X,X
JLZITOS,O,X,O,O,X,O,X,O,X,X
JLZISTO,O,O,O,O,X,O,X,X,X,X
JLZISOT,O,X,X,O,X,O,X,X,X,X
JLZIOTS,O,X,O,O,X,O,X,X,X,X
JLZIOST,O,X,X,O,X,O,X,X,X,X
JLZSTIO,O,O,O,O,X,O,X,X,X,X
JLZSTOI,O,O,X,O,X,O,X,O,X,X
JLZSITO,O,O,O,O,X,O,X,X,X,X
JLZSIOT,O,O,X,O,X,O,X,X,X,X
JLZSOTI,O,O,X,O,X,O,X,X,X,X
JLZSOIT,X,X,X,O,X,O,X,X,X,X
JLZOTIS,O,X,O,O,X,O,X,O,X,X
JLZOTSI,O,O,X,O,X,O,X,O,X,X
JLZOITS,O,X,O,O,X,O,X,X,X,X
JLZOIST,O,X,X,O,X,O,X,X,X,X
JLZOSTI,O,O,X,O,X,O,X,X,X,X
JLZOSIT,X,X,X,X,X,O,X,X,X,X
JLOTISZ,X,O,O,X,X,X,X,X,X,X
JLOTIZS,X,O,O,X,X,O,X,X,X,X
JLOTSIZ,X,O,O,X,X,X,X,X,X,X
JLOTSZI,X,O,O,X,X,O,X,X,X,X
JLOTZIS,X,O,O,O,X,O,X,X,X,X
JLOTZSI,X,O,O,O,X,O,X,X,X,X
JLOITSZ,X,O,O,X,X,X,X,X,X,X
JLOITZS,X,O,O,O,X,O,X,X,X,X
JLOISTZ,X,O,X,O,X,X,X,X,X,X
JLOISZT,X,O,X,O,X,X,X,X,X,X
JLOIZTS,X,O,O,O,X,O,X,X,X,X
JLOIZST,X,O,X,O,X,O,X,X,X,X
JLOSTIZ,X,O,X,X,X,X,X,X,X,X
JLOSTZI,X,O,X,O,X,O,X,X,X,X
JLOSITZ,X,O,X,X,X,X,X,X,X,X
JLOSIZT,X,O,X,X,X,X,X,X,X,X
JLOSZTI,X,O,X,O,X,O,X,X,X,X
JLOSZIT,X,O,X,X,X,O,X,X,X,X
JLOZTIS,X,O,O,O,X,O,X,O,X,X
JLOZTSI,X,O,X,O,X,O,X,O,X,X
JLOZITS,X,O,O,O,X,O,X,X,X,X
JLOZIST,X,O,X,O,X,O,X,X,X,X
JLOZSTI,X,O,X,O,X,O,X,X,X,X
JLOZSIT,X,O,X,X,X,O,X,X,X,X
JSTILZO,X,O,O,O,O,X,X,X,X,X
JSTILOZ,X,O,O,X,O,X,X,X,X,X
JSTIZLO,X,O,O,O,O,X,X,X,X,X
JSTIZOL,X,O,O,O,O,X,X,X,X,X
JSTIOLZ,X,O,O,O,O,X,X,X,X,X
JSTIOZL,X,O,O,O,O,X,X,X,X,X
JSTLIZO,X,O,O,O,O,X,X,X,X,X
JSTLIOZ,X,O,O,X,O,X,X,X,X,X
JSTLZIO,O,O,O,O,O,O,X,X,X,X
JSTLZOI,O,O,X,O,O,O,X,X,X,X
JSTLOIZ,X,O,O,O,O,X,X,X,X,X
JSTLOZI,O,O,O,O,O,X,X,X,X,X
JSTZILO,O,O,X,O,O,O,X,X,X,X
JSTZIOL,O,X,X,O,O,X,X,X,X,X
JSTZLIO,O,O,O,O,X,O,X,X,X,X
JSTZLOI,O,O,X,O,O,O,X,X,X,X
JSTZOIL,O,X,X,O,O,X,X,X,X,X
JSTZOLI,O,O,O,O,O,O,X,X,X,X
JSTOILZ,X,X,O,O,O,X,X,X,X,X
JSTOIZL,X,X,O,O,O,X,X,X,X,X
JSTOLIZ,X,O,O,O,O,X,X,X,X,X
JSTOLZI,O,O,O,O,O,X,X,X,X,X
JSTOZIL,O,X,X,O,O,X,X,X,X,X
JSTOZLI,O,O,O,O,O,X,X,X,X,X
JSITLZO,X,O,O,O,X,X,X,X,X,X
JSITLOZ,X,O,O,X,X,X,X,X,X,X
JSITZLO,X,O,O,O,X,X,X,X,X,X
JSITZOL,X,O,O,O,X,X,X,X,X,X
JSITOLZ,X,O,O,O,X,X,X,X,X,X
JSITOZL,X,O,O,O,X,X,X,X,X,X
JSILTZO,X,O,O,O,X,X,X,X,X,X
JSILTOZ,X,O,O,O,X,X,X,X,X,X
JSILZTO,X,O,O,O,X,X,X,X,X,X
JSILZOT,X,O,X,O,X,X,X,X,X,X
JSILOTZ,X,O,X,O,X,X,X,X,X,X
JSILOZT,X,O,X,O,X,X,X,X,X,X
JSIZTLO,X,O,O,O,X,X,X,X,X,X
JSIZTOL,X,O,O,O,X,X,X,X,X,X
JSIZLTO,X,O,O,O,X,X,X,X,X,X
JSIZLOT,X,O,X,O,X,X,X,X,X,X
JSIZOTL,X,O,X,O,X,X,X,X,X,X
JSIZOLT,X,O,X,O,X,X,X,X,X,X
JSIOTLZ,X,O,X,O,X,X,X,X,X,X
JSIOTZL,X,O,X,O,X,X,X,X,X,X
JSIOLTZ,X,O,X,O,X,X,X,X,X,X
JSIOLZT,X,O,X,O,X,X,X,X,X,X
JSIOZTL,X,O,X,O,X,X,X,X,X,X
JSIOZLT,X,O,X,O,X,X,X,X,X,X
JSLTIZO,X,O,O,O,X,X,X,X,X,X
JSLTIOZ,X,O,O,X,X,X,X,X,X,X
JSLTZIO,O,O,O,O,O,O,X,X,X,X
JSLTZOI,O,O,X,O,O,O,X,X,X,X
JSLTOIZ,X,O,O,O,O,X,X,X,X,X
JSLTOZI,O,O,O,O,O,X,X,X,X,X
JSLITZO,X,O,O,O,O,X,X,X,X,X
JSLITOZ,X,O,O,O,O,X,X,X,X,X
JSLIZTO,X,O,O,O,X,X,X,X,X,X
JSLIZOT,X,O,X,O,X,X,X,X,X,X
JSLIOTZ,X,O,X,O,O,X,X,X,X,X
JSLIOZT,X,O,X,O,X,X,X,X,X,X
JSLZTIO,O,O,O,O,X,O,X,X,X,X
JSLZTOI,O,O,X,O,X,O,X,X,X,X
JSLZITO,O,O,O,O,X,O,X,X,X,X
JSLZIOT,X,O,X,O,X,O,X,X,X,X
JSLZOTI,O,O,X,O,X,O,X,X,X,X
JSLZOIT,X,X,X,O,X,O,X,X,X,X
JSLOTIZ,X,O,X,O,O,X,X,X,X,X
JSLOTZI,X,O,X,O,O,X,X,X,X,X
JSLOITZ,X,O,X,O,O,X,X,X,X,X
JSLOIZT,X,O,X,O,X,X,X,X,X,X
JSLOZTI,X,O,X,O,X,X,X,X,X,X
JSLOZIT,X,X,X,O,X,X,X,X,X,X
JSZTILO,O,O,X,O,X,O,X,X,X,X
JSZTIOL,O,X,X,O,X,X,X,X,X,X
JSZTLIO,O,O,O,O,X,O,X,X,X,X
JSZTLOI,O,O,X,O,X,O,X,X,X,X
JSZTOIL,O,X,X,O,X,X,X,X,O,X
JSZTOLI,O,O,O,O,X,O,X,X,O,X
JSZITLO,O,O,O,O,X,O,X,X,X,X
JSZITOL,O,X,O,O,X,X,X,X,X,X
JSZILTO,O,O,O,O,X,O,X,X,X,X
JSZILOT,X,X,X,O,X,O,X,X,X,X
JSZIOTL,X,X,X,O,X,X,X,X,X,X
JSZIOLT,X,X,X,O,X,X,X,X,X,X
JSZLTIO,O,O,O,O,X,O,X,X,X,X
JSZLTOI,O,O,X,O,X,O,X,X,O,X
JSZLITO,O,O,O,O,X,O,X,X,X,X
JSZLIOT,X,O,X,O,X,O,X,X,X,X
JSZLOTI,O,O,X,O,X,O,X,X,O,X
JSZLOIT,X,X,X,O,X,O,X,X,O,X
JSZOTIL,O,X,X,O,X,X,X,X,O,X
JSZOTLI,O,O,X,O,X,O,X,X,O,X
JSZOITL,X,X,X,O,X,X,X,X,O,X
JSZOILT,X,X,X,O,X,X,X,X,O,X
JSZOLTI,O,O,X,O,X,O,X,X,O,X
JSZOLIT,X,X,X,O,X,O,X,X,O,X
JSOTILZ,X,X,X,O,O,X,X,X,X,X
JSOTIZL,X,X,X,O,O,X,X,X,X,X
JSOTLIZ,X,O,X,O,O,X,X,X,X,X
JSOTLZI,X,O,X,O,O,X,X,X,X,X
JSOTZIL,X,X,X,O,O,X,X,X,X,X
JSOTZLI,X,O,X,O,O,X,X,X,X,X
JSOITLZ,X,X,X,O,O,X,X,X,X,X
JSOITZL,X,X,X,O,O,X,X,X,X,X
JSOILTZ,X,X,X,O,O,X,X,X,X,X
JSOILZT,X,X,X,O,X,X,X,X,X,X
JSOIZTL,X,X,X,O,X,X,X,X,O,X
JSOIZLT,X,X,X,O,X,X,X,X,O,X
JSOLTIZ,X,O,X,O,O,X,X,X,X,X
JSOLTZI,X,O,X,O,O,X,X,X,X,X
JSOLITZ,X,O,X,O,O,X,X,X,X,X
JSOLIZT,X,O,X,O,X,X,X,X,X,X
JSOLZTI,X,O,X,O,X,X,X,X,X,X
JSOLZIT,X,X,X,O,X,X,X,X,X,X
JSOZTIL,X,X,X,O,X,X,X,X,O,X
JSOZTLI,X,O,X,O,X,X,X,X,O,X
JSOZITL,X,X,X,O,X,X,X,X,O,X
JSOZILT,X,X,X,O,X,X,X,X,O,X
JSOZLTI,X,O,X,O,X,X,X,X,O,X
JSOZLIT,X,X,X,O,X,X,X,X,O,X
JZTILSO,O,O,O,O,X,O,O,O,X,X
JZTILOS,O,X,O,O,X,X,O,O,X,X
JZTISLO,O,X,O,O,X,O,O,O,X,X
JZTISOL,O,X,O,O,X,X,X,O,X,X
JZTIOLS,O,X,O,O,X,X,O,O,X,X
JZTIOSL,O,X,O,X,X,X,X,O,X,X
JZTLISO,O,O,O,O,X,O,O,O,X,X
JZTLIOS,O,X,O,O,X,O,O,O,X,X
JZTLSIO,O,O,O,O,X,O,O,X,X,X
JZTLSOI,O,O,X,O,X,O,O,O,X,X
JZTLOIS,O,X,O,O,X,O,X,O,X,X
JZTLOSI,O,O,O,O,X,O,O,O,X,X
JZTSILO,O,O,X,X,X,O,O,O,X,X
JZTSIOL,O,X,X,X,X,X,X,O,X,X
JZTSLIO,O,O,O,O,X,O,O,X,X,X
JZTSLOI,O,O,X,O,X,O,O,O,X,X
JZTSOIL,O,X,X,X,X,X,X,O,X,X
JZTSOLI,O,O,O,O,X,O,X,O,X,X
JZTOILS,O,X,O,X,X,X,O,O,X,X
JZTOISL,X,X,O,X,X,X,X,O,X,X
JZTOLIS,O,X,O,O,X,X,X,O,X,X
JZTOLSI,O,O,O,O,X,O,O,O,X,X
JZTOSIL,X,X,X,X,X,X,X,O,X,X
JZTOSLI,O,X,O,X,X,O,X,O,X,X
JZITLSO,O,O,O,O,X,O,O,X,X,X
JZITLOS,O,X,O,O,X,O,O,X,X,X
JZITSLO,O,X,O,O,X,O,O,X,X,X
JZITSOL,O,X,O,O,X,O,X,X,X,X
JZITOLS,O,X,O,O,X,O,O,X,X,X
JZITOSL,O,X,O,X,X,O,X,X,X,X
JZILTSO,O,O,O,O,X,O,X,X,X,X
JZILTOS,O,X,O,O,X,O,X,X,X,X
JZILSTO,O,O,O,O,X,O,X,X,X,X
JZILSOT,O,X,X,O,X,O,X,X,X,X
JZILOTS,O,X,O,O,X,O,X,X,X,X
JZILOST,O,X,X,O,X,O,X,X,X,X
JZISTLO,O,O,O,O,X,O,X,X,X,X
JZISTOL,O,X,O,O,X,O,X,X,X,X
JZISLTO,O,O,O,O,X,O,X,X,X,X
JZISLOT,O,X,X,O,X,O,X,X,X,X
JZISOTL,O,X,X,O,X,O,X,X,X,X
JZISOLT,O,X,X,O,X,O,X,X,X,X
JZIOTLS,O,X,O,O,X,O,O,X,X,X
JZIOTSL,O,X,O,X,X,O,O,X,X,X
JZIOLTS,O,X,O,O,X,O,O,X,X,X
JZIOLST,O,X,X,O,X,O,O,X,X,X
JZIOSTL,O,X,X,X,X,O,X,X,X,O
JZIOSLT,O,X,X,X,X,O,X,X,X,O
JZLTISO,O,O,O,O,X,O,X,O,X,X
JZLTIOS,O,X,O,O,X,O,X,O,X,X
JZLTSIO,O,O,O,O,X,O,X,X,X,X
JZLTSOI,O,O,X,O,X,O,X,O,X,X
JZLTOIS,O,X,O,O,X,O,X,O,X,X
JZLTOSI,O,O,O,O,X,O,X,O,X,X
JZLITSO,O,O,O,O,X,O,X,X,X,X
JZLITOS,O,X,O,O,X,O,X,O,X,X
JZLISTO,O,O,O,O,X,O,X,X,X,X
JZLISOT,O,X,X,O,X,O,X,X,X,X
JZLIOTS,O,X,O,O,X,O,X,X,X,X
JZLIOST,O,X,X,O,X,O,X,X,X,X
JZLSTIO,O,O,O,O,X,O,X,X,X,X
JZLSTOI,O,O,X,O,X,O,X,O,X,X
JZLSITO,O,O,O,O,X,O,X,X,X,X
JZLSIOT,O,O,X,O,X,O,X,X,X,X
JZLSOTI,O,O,X,O,X,O,X,X,X,X
JZLSOIT,X,X,X,O,X,O,X,X,X,X
JZLOTIS,O,X,O,O,X,O,X,O,X,X
JZLOTSI,O,O,X,O,X,O,X,O,X,X
JZLOITS,O,X,O,O,X,O,X,X,X,X
JZLOIST,O,X,X,O,X,O,X,X,X,X
JZLOSTI,O,O,X,O,X,O,X,X,X,X
JZLOSIT,X,X,X,X,X,O,X,X,X,X
JZSTILO,O,O,X,O,X,O,X,X,X,X
JZSTIOL,O,X,X,O,X,X,X,X,X,X
JZSTLIO,O,O,O,O,X,O,X,X,X,X
JZSTLOI,O,O,X,O,X,O,X,X,X,X
JZSTOIL,O,X,X,O,X,X,X,X,X,X
JZSTOLI,O,O,O,O,X,O,X,X,X,X
JZSITLO,O,O,O,O,X,O,X,X,X,X
JZSITOL,O,X,O,O,X,O,X,X,X,X
JZSILTO,O,O,O,O,X,O,X,X,X,X
JZSILOT,O,X,X,O,X,O,X,X,X,X
JZSIOTL,O,X,X,O,X,O,X,X,X,X
JZSIOLT,O,X,X,O,X,O,X,X,X,X
JZSLTIO,O,O,O,O,X,O,X,X,X,X
JZSLTOI,O,O,X,O,X,O,X,X,X,X
JZSLITO,O,O,O,O,X,O,X,X,X,X
JZSLIOT,O,O,X,O,X,O,X,X,X,X
JZSLOTI,O,O,X,O,X,O,X,X,X,X
JZSLOIT,X,X,X,O,X,O,X,X,X,X
JZSOTIL,O,X,X,O,X,X,X,X,X,X
JZSOTLI,O,O,X,O,X,O,X,X,X,X
JZSOITL,X,X,X,O,X,X,X,X,X,X
JZSOILT,X,X,X,O,X,X,X,X,X,X
JZSOLTI,O,O,X,O,X,O,X,X,X,X
JZSOLIT,X,X,X,O,X,O,X,X,X,X
JZOTILS,O,X,O,X,X,O,O,X,X,X
JZOTISL,X,X,X,X,X,O,X,X,X,X
JZOTLIS,O,X,O,O,X,O,O,X,X,X
JZOTLSI,O,O,O,O,X,O,O,X,X,X
JZOTSIL,X,X,X,X,X,O,X,X,X,X
JZOTSLI,O,X,O,X,X,O,O,X,X,X
JZOITLS,O,X,O,O,X,O,X,X,X,X
JZOITSL,O,X,O,X,X,O,X,X,X,X
JZOILTS,O,X,O,O,X,O,X,X,X,X
JZOILST,O,X,X,O,X,O,X,X,X,X
JZOISTL,O,X,X,X,X,O,X,X,X,O
JZOISLT,O,X,X,X,X,O,X,X,X,O
JZOLTIS,O,X,O,O,X,O,X,X,X,X
JZOLTSI,O,O,X,O,X,O,O,X,X,X
JZOLITS,O,X,O,O,X,O,X,X,X,X
JZOLIST,O,X,X,O,X,O,O,X,X,X
JZOLSTI,O,O,X,O,X,O,O,X,X,X
JZOLSIT,X,X,X,X,X,O,O,X,X,X
JZOSTIL,O,X,X,X,X,O,X,X,X,O
JZOSTLI,O,O,X,X,X,O,X,X,X,O
JZOSITL,X,X,X,X,X,O,X,X,X,O
JZOSILT,X,X,X,X,X,O,X,X,X,O
JZOSLTI,O,O,X,X,X,O,X,X,X,O
JZOSLIT,X,X,X,X,X,O,X,X,X,O
JOTILSZ,X,X,O,X,X,X,O,X,X,X
JOTILZS,X,O,O,X,X,O,O,X,X,X
JOTISLZ,X,X,O,X,X,X,O,X,X,X
JOTISZL,X,X,O,X,X,X,O,X,X,X
JOTIZLS,X,O,O,X,X,O,O,X,X,X
JOTIZSL,X,X,O,X,X,O,O,X,X,X
JOTLISZ,X,O,O,X,X,X,O,X,X,X
JOTLIZS,X,O,O,X,X,O,O,X,X,X
JOTLSIZ,X,O,O,X,X,X,O,X,X,X
JOTLSZI,X,O,O,X,X,O,O,X,X,X
JOTLZIS,X,O,O,O,X,O,O,X,X,X
JOTLZSI,X,O,O,O,X,O,O,X,X,X
JOTSILZ,X,O,O,X,X,X,O,X,X,X
JOTSIZL,X,O,O,X,X,X,O,X,X,X
JOTSLIZ,X,O,O,X,X,X,O,X,X,X
JOTSLZI,X,O,O,X,X,O,O,X,X,X
JOTSZIL,X,O,X,X,X,O,X,X,X,X
JOTSZLI,X,O,O,X,X,O,O,X,X,X
JOTZILS,X,O,O,X,X,O,O,X,X,X
JOTZISL,X,O,O,X,X,O,O,X,X,X
JOTZLIS,X,O,O,O,X,O,O,X,X,X
JOTZLSI,X,O,O,O,X,O,O,X,X,X
JOTZSIL,X,O,X,X,X,O,X,X,X,O
JOTZSLI,X,O,O,X,X,O,O,X,X,O
JOITLSZ,X,X,O,X,X,X,X,X,X,X
JOITLZS,X,O,O,O,X,O,X,X,X,X
JOITSLZ,X,X,O,X,X,X,X,X,X,X
JOITSZL,X,X,O,X,X,X,X,X,X,X
JOITZLS,X,O,O,O,X,O,X,X,X,X
JOITZSL,X,X,O,X,X,O,X,X,X,X
JOILTSZ,X,O,O,X,X,X,X,X,X,X
JOILTZS,X,O,O,O,X,O,X,X,X,X
JOILSTZ,X,O,X,O,X,X,X,X,X,X
JOILSZT,X,O,X,O,X,X,X,X,X,X
JOILZTS,X,O,O,O,X,O,X,X,X,X
JOILZST,X,O,X,O,X,O,X,X,X,X
JOISTLZ,X,O,X,X,X,X,X,X,X,X
JOISTZL,X,O,X,X,X,X,X,X,X,X
JOISLTZ,X,O,X,X,X,X,X,X,X,X
JOISLZT,X,O,X,X,X,X,X,X,X,X
JOISZTL,X,O,X,X,X,X,X,X,O,X
JOISZLT,X,O,X,X,X,X,X,X,O,X
JOIZTLS,X,O,O,O,X,O,X,X,X,X
JOIZTSL,X,O,O,X,X,O,X,X,X,X
JOIZLTS,X,O,O,O,X,O,X,X,X,X
JOIZLST,X,O,X,O,X,O,X,X,X,X
JOIZSTL,X,O,X,X,X,O,X,X,X,X
JOIZSLT,X,O,X,X,X,O,X,X,X,X
JOLTISZ,X,O,O,X,X,X,X,X,X,X
JOLTIZS,X,O,O,X,X,O,X,X,X,X
JOLTSIZ,X,O,O,X,X,X,X,X,X,X
JOLTSZI,X,O,O,X,X,O,X,X,X,X
JOLTZIS,X,O,O,O,X,O,X,X,X,X
JOLTZSI,X,O,O,O,X,O,O,X,X,X
JOLITSZ,X,O,O,X,X,X,X,X,X,X
JOLITZS,X,O,O,O,X,O,X,X,X,X
JOLISTZ,X,O,X,O,X,X,X,X,X,X
JOLISZT,X,O,X,O,X,X,X,X,X,X
JOLIZTS,X,O,O,O,X,O,X,X,X,X
JOLIZST,X,O,X,O,X,O,O,X,X,X
JOLSTIZ,X,O,X,X,X,X,X,X,X,X
JOLSTZI,X,O,X,O,X,O,X,X,X,X
JOLSITZ,X,O,X,X,X,X,X,X,X,X
JOLSIZT,X,O,X,X,X,X,X,X,X,X
JOLSZTI,X,O,X,O,X,O,O,X,X,X
JOLSZIT,X,O,X,X,X,O,O,X,X,X
JOLZTIS,X,O,O,O,X,O,X,X,X,X
JOLZTSI,X,O,X,O,X,O,O,X,X,X
JOLZITS,X,O,O,O,X,O,X,X,X,X
JOLZIST,X,O,X,O,X,O,O,X,X,X
JOLZSTI,X,O,X,O,X,O,O,X,X,X
JOLZSIT,X,O,X,X,X,O,O,X,X,X
JOSTILZ,X,O,X,X,X,X,X,X,X,X
JOSTIZL,X,O,X,X,X,X,X,X,X,X
JOSTLIZ,X,O,X,X,X,X,X,X,X,X
JOSTLZI,X,O,X,X,X,O,X,X,X,X
JOSTZIL,X,O,X,X,X,O,X,X,X,X
JOSTZLI,X,O,X,X,X,O,X,X,X,X
JOSITLZ,X,O,X,X,X,X,X,X,X,X
JOSITZL,X,O,X,X,X,X,X,X,X,X
JOSILTZ,X,O,X,X,X,X,X,X,X,X
JOSILZT,X,O,X,X,X,X,X,X,X,X
JOSIZTL,X,O,X,X,X,X,X,X,O,X
JOSIZLT,X,O,X,X,X,X,X,X,O,X
JOSLTIZ,X,O,X,X,X,X,X,X,X,X
JOSLTZI,X,O,X,X,X,O,X,X,X,X
JOSLITZ,X,O,X,X,X,X,X,X,X,X
JOSLIZT,X,O,X,X,X,X,X,X,X,X
JOSLZTI,X,O,X,X,X,O,X,X,X,X
JOSLZIT,X,O,X,X,X,O,X,X,X,X
JOSZTIL,X,O,X,X,X,O,X,X,O,X
JOSZTLI,X,O,X,X,X,O,X,X,O,X
JOSZITL,X,O,X,X,X,O,X,X,O,X
JOSZILT,X,O,X,X,X,O,X,X,O,X
JOSZLTI,X,O,X,X,X,O,X,X,O,X
JOSZLIT,X,O,X,X,X,O,X,X,O,X
