sequence,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFxcBTeBGiBl?mBXoBSyB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFxcBTeBlmBf?tB6tBGsB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Mel7IvhFCdBTeB/mBx?nBGtB0sB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Mel7IvhFWiBTeB/mBx?nB0nBSyB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Mel7IvhFzcBGeB/mBx?nBCtBUtB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFxcBGiB/oBl?mBzsB6tB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Mel7IvhFGeB/mBRiBU?iB6tBzsB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFxcBGiBTjBl?mBXoBSyB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFumB3iB5oBi?hBFjBzsB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFzdBumBlnBX?tB5oBirB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhF+iBKjB3hB5?oBlmBzsB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFSiBTjBxmBl?mBGtBXtB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFSjB3hBxnBl?mBusBTtB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFTjBxmB6mB/?nBGoBVyB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhF6jBRiB/mBF?iBusBTtB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFTjBxmB6mBG?tB/sBFtB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhF6jBRiB/mBl?nBTtBGsB
LTSJOZI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTSZIJO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LTSZIOJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSZJIO,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
LTSZJOI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTSZOIJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSZOJI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTSOIJZ,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSOIZJ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSOJIZ,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LTSOJZI,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTSOZIJ,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSOZJI,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTZIJSO,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTZIJOS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTZISJO,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LTZISOJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZIOJS,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
LTZIOSJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTZJISO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTZJIOS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTZJSIO,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTZJSOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTZJOIS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTZJOSI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTZSIJO,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LTZSIOJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZSJIO,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
LTZSJOI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTZSOIJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZSOJI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTZOIJS,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
LTZOISJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTZOJIS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTZOJSI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTZOSIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOSJI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTOIJSZ,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X
LTOIJZS,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
LTOISJZ,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X
LTOISZJ,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X
LTOIZJS,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
LTOIZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOJISZ,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LTOJIZS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTOJSIZ,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LTOJSZI,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LTOJZIS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTOJZSI,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LTOSIJZ,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOSIZJ,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOSJIZ,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LTOSJZI,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LTOSZIJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOSZJI,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LTOZIJS,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
LTOZISJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOZJIS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTOZJSI,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LTOZSIJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTOZSJI,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LITJSZO,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LITJSOZ,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LITJZSO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LITJZOS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LITJOSZ,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LITJOZS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LITSJZO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LITSJOZ,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LITSZJO,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
LITSZOJ,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LITSOJZ,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LITSOZJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LITZJSO,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LITZJOS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LITZSJO,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
LITZSOJ,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LITZOJS,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
LITZOSJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LITOJSZ,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
LITOJZS,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
LITOSJZ,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LITOSZJ,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LITOZJS,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
LITOZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LIJTSZO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LIJTSOZ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LIJTZSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJTZOS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIJTOSZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJTOZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIJSTZO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LIJSTOZ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LIJSZTO,X,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X
LIJSZOT,X,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X
LIJSOTZ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LIJSOZT,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
LIJZTSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJZTOS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIJZSTO,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
LIJZSOT,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
LIJZOTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LIJZOST,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
LIJOTSZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X
LIJOTZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LIJOSTZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X
LIJOSZT,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,O,X
LIJOZTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LIJOZST,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
LISTJZO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LISTJOZ,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LISTZJO,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
LISTZOJ,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LISTOJZ,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LISTOZJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LISJTZO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LISJTOZ,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LISJZTO,O,X,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X
LISJZOT,O,X,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X
LISJOTZ,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LISJOZT,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
LISZTJO,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
LISZTOJ,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LISZJTO,O,X,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X
LISZJOT,O,X,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X
LISZOTJ,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LISZOJT,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LISOTJZ,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LISOTZJ,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LISOJTZ,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LISOJZT,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LISOZTJ,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LISOZJT,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LIZTJSO,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LIZTJOS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LIZTSJO,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
LIZTSOJ,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LIZTOJS,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
LIZTOSJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LIZJTSO,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LIZJTOS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LIZJSTO,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
LIZJSOT,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
LIZJOTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LIZJOST,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
LIZSTJO,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
LIZSTOJ,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LIZSJTO,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X
LIZSJOT,O,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X
LIZSOTJ,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LIZSOJT,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LIZOTJS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LIZOTSJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LIZOJTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIZOJST,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
LIZOSTJ,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LIZOSJT,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
LIOTJSZ,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LIOTJZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LIOTSJZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LIOTSZJ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LIOTZJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LIOTZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LIOJTSZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LIOJTZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIOJSTZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LIOJSZT,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
LIOJZTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIOJZST,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
LIOSTJZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LIOSTZJ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LIOSJTZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LIOSJZT,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LIOSZTJ,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LIOSZJT,X,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X
LIOZTJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LIOZTSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LIOZJTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIOZJST,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
LIOZSTJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LIOZSJT,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
LJTISZO,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LJTISOZ,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LJTIZSO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LJTIZOS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJTIOSZ,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LJTIOZS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJTSIZO,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LJTSIOZ,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LJTSZIO,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
LJTSZOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJTSOIZ,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LJTSOZI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJTZISO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJTZIOS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJTZSIO,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LJTZSOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJTZOIS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJTZOSI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJTOISZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJTOIZS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJTOSIZ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LJTOSZI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJTOZIS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJTOZSI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJITSZO,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJITSOZ,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJITZSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LJITZOS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LJITOSZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LJITOZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LJISTZO,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJISTOZ,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJISZTO,X,X,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
LJISZOT,X,X,O,O,O,X,X,X,O,X,X,O,X,X,O,X,X
LJISOTZ,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJISOZT,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
LJIZTSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LJIZTOS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LJIZSTO,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
LJIZSOT,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X
LJIZOTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LJIZOST,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X
LJIOTSZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
LJIOTZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LJIOSTZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
LJIOSZT,X,X,O,O,O,X,X,X,O,X,X,O,X,X,X,O,X
LJIOZTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LJIOZST,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X
LJSTIZO,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LJSTIOZ,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LJSTZIO,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
LJSTZOI,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LJSTOIZ,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LJSTOZI,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LJSITZO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJSITOZ,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJSIZTO,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LJSIZOT,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LJSIOTZ,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJSIOZT,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LJSZTIO,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
LJSZTOI,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LJSZITO,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LJSZIOT,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LJSZOTI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LJSZOIT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LJSOTIZ,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
LJSOTZI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LJSOITZ,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
LJSOIZT,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LJSOZTI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LJSOZIT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LJZTISO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJZTIOS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJZTSIO,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LJZTSOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJZTOIS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJZTOSI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJZITSO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
LJZITOS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LJZISTO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LJZISOT,O,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X
LJZIOTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LJZIOST,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X
LJZSTIO,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LJZSTOI,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LJZSITO,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LJZSIOT,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LJZSOTI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LJZSOIT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LJZOTIS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJZOTSI,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LJZOITS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LJZOIST,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
LJZOSTI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LJZOSIT,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LJOTISZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJOTIZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJOTSIZ,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
LJOTSZI,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LJOTZIS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJOTZSI,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LJOITSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LJOITZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LJOISTZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
LJOISZT,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
LJOIZTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LJOIZST,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
LJOSTIZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LJOSTZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LJOSITZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LJOSIZT,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LJOSZTI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LJOSZIT,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LJOZTIS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJOZTSI,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LJOZITS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LJOZIST,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
LJOZSTI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LJOZSIT,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LSTIJZO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LSTIJOZ,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LSTIZJO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LSTIZOJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LSTIOJZ,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LSTIOZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LSTJIZO,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X
LSTJIOZ,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X
LSTJZIO,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
LSTJZOI,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
