sequence,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFxcBXeB?TfBFnB0rBirB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeK/IvhFzaBxdB?lhB3iB0mB2wB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeO/IvhF8fBxdB?lhB3iBTmBywB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFxdBTfB?lhB3iBirB0rB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeO/IvhF8fBTcB?xdBliB3mBywB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeK/IvhFzaBxcB?XeBVnB0mB2wB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFxcBXeB?TfBVnBirB0rB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Je2/IvhFxdB0hB?liB3fBTmBywB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jei6IvhFxdB3fB?0hBliBmrBTrB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFXeBTfB?UiBqrBZmBFsB
JIZLOST,X,O,O,X,O,X,X,X,X,X
JIZSTLO,O,O,O,X,O,X,X,X,O,X
JIZSTOL,O,X,O,X,O,X,X,X,O,X
JIZSLTO,O,O,O,X,O,X,X,X,O,X
JIZSLOT,O,O,O,X,O,X,X,X,X,X
JIZSOTL,O,X,O,X,O,X,X,X,X,X
JIZSOLT,O,X,O,X,X,X,X,X,X,X
JIZOTLS,X,X,X,X,O,X,X,X,X,X
JIZOTSL,X,X,X,X,O,X,X,X,X,X
JIZOLTS,X,X,X,X,O,X,X,X,X,X
JIZOLST,X,X,O,X,O,X,X,X,X,X
JIZOSTL,X,X,O,X,O,X,X,X,X,X
JIZOSLT,X,X,O,X,X,X,X,X,X,X
JIOTLSZ,X,X,X,O,X,X,X,X,X,X
JIOTLZS,X,X,X,X,X,X,X,O,X,X
JIOTSLZ,X,X,X,O,X,X,X,X,O,X
JIOTSZL,X,X,X,O,X,X,X,X,O,X
JIOTZLS,X,X,X,X,X,X,X,X,X,X
JIOTZSL,X,X,X,X,X,X,X,O,O,X
JIOLTSZ,X,O,X,O,X,X,X,X,X,X
JIOLTZS,X,X,X,X,X,X,X,O,X,X
JIOLSTZ,X,O,X,O,X,X,X,X,X,X
JIOLSZT,X,O,X,O,X,X,X,X,X,X
JIOLZTS,X,X,X,X,X,X,X,X,X,X
JIOLZST,X,O,X,O,X,X,X,X,X,X
JIOSTLZ,X,O,X,O,X,X,X,X,O,X
JIOSTZL,X,X,X,O,X,X,X,X,O,X
JIOSLTZ,X,O,X,O,X,X,X,X,O,X
JIOSLZT,X,O,X,O,X,X,X,X,X,X
JIOSZTL,X,X,X,O,X,X,X,X,X,X
JIOSZLT,X,X,X,O,X,X,X,X,X,X
JIOZTLS,X,X,X,X,O,X,X,X,X,X
JIOZTSL,X,X,X,X,O,X,X,X,X,X
JIOZLTS,X,X,X,X,O,X,X,X,X,X
JIOZLST,X,X,X,O,X,X,X,X,X,X
JIOZSTL,X,X,X,O,O,X,X,X,X,X
JIOZSLT,X,X,X,O,X,X,X,X,X,X
JLTISZO,X,O,X,X,O,O,O,O,O,X
JLTISOZ,X,O,X,X,O,O,O,X,O,X
JLTIZSO,X,X,X,X,O,O,O,O,O,X
JLTIZOS,X,X,X,X,O,O,X,O,X,X
JLTIOSZ,X,O,X,X,X,O,O,X,X,X
JLTIOZS,X,X,X,X,O,O,O,O,X,X
JLTSIZO,X,O,O,X,O,O,O,O,O,X
JLTSIOZ,O,O,X,O,O,O,O,X,O,X
JLTSZIO,X,O,O,X,O,O,O,O,O,X
JLTSZOI,X,O,O,X,O,O,X,O,O,X
JLTSOIZ,X,O,X,O,O,O,O,X,O,X
JLTSOZI,X,O,X,O,O,O,O,X,O,X
JLTZISO,X,X,O,X,O,O,O,O,O,X
JLTZIOS,X,X,X,X,O,O,X,O,X,X
JLTZSIO,X,O,O,X,O,O,O,O,O,X
JLTZSOI,X,O,O,X,O,O,X,O,O,X
JLTZOIS,X,X,X,X,O,O,X,O,X,X
JLTZOSI,X,O,O,X,O,O,X,O,X,X
JLTOISZ,X,O,X,O,X,O,O,X,X,X
JLTOIZS,X,X,X,X,O,O,O,O,X,X
JLTOSIZ,X,O,X,O,X,O,O,X,X,X
JLTOSZI,X,O,X,O,X,O,O,X,X,X
JLTOZIS,X,X,X,X,O,O,O,O,X,X
JLTOZSI,X,O,X,O,O,O,O,O,X,X
JLITSZO,X,O,X,X,O,O,O,O,O,X
JLITSOZ,X,O,X,X,O,O,O,X,O,X
JLITZSO,X,X,X,X,O,O,O,O,O,X
JLITZOS,X,X,X,X,O,O,X,O,X,X
JLITOSZ,X,O,X,X,X,O,O,X,X,X
JLITOZS,X,X,X,X,O,O,X,O,X,X
JLISTZO,X,O,O,X,X,O,O,O,O,X
JLISTOZ,X,O,X,O,X,O,O,X,O,X
JLISZTO,X,O,O,X,O,X,O,X,O,X
JLISZOT,X,O,O,X,O,O,O,X,X,X
JLISOTZ,X,O,X,O,X,O,O,X,O,X
JLISOZT,X,O,X,O,O,O,O,X,X,X
JLIZTSO,X,X,O,X,O,X,X,O,X,X
JLIZTOS,X,X,X,X,O,X,X,O,X,X
JLIZSTO,X,O,O,X,O,X,X,X,X,X
JLIZSOT,X,O,O,X,O,X,X,X,X,X
JLIZOTS,X,X,X,X,O,X,X,X,X,X
JLIZOST,X,O,O,X,O,X,X,X,X,X
JLIOTSZ,X,O,X,O,X,O,X,X,X,X
JLIOTZS,X,X,X,X,X,O,X,O,X,X
JLIOSTZ,X,O,X,O,X,O,X,X,X,X
JLIOSZT,X,O,X,O,X,O,X,X,X,X
JLIOZTS,X,X,X,X,O,X,X,X,X,X
JLIOZST,X,O,X,O,O,X,X,X,X,X
JLSTIZO,X,O,O,X,O,O,O,O,O,X
JLSTIOZ,O,O,X,O,O,O,O,X,O,X
JLSTZIO,X,O,O,X,O,O,O,O,O,X
JLSTZOI,X,O,O,X,O,O,X,O,O,X
JLSTOIZ,X,O,X,O,O,O,O,X,O,X
JLSTOZI,X,O,X,O,O,O,O,X,O,X
JLSITZO,X,O,O,X,X,O,O,O,O,X
JLSITOZ,O,O,X,O,X,O,O,X,O,X
JLSIZTO,O,O,O,X,O,X,O,X,O,X
JLSIZOT,O,O,O,X,O,O,O,X,X,X
JLSIOTZ,O,O,X,O,X,O,O,X,O,X
JLSIOZT,O,O,X,O,O,O,O,X,X,X
JLSZTIO,O,O,O,X,O,O,O,O,O,X
JLSZTOI,X,O,O,X,O,O,X,O,O,X
JLSZITO,O,O,O,X,O,X,O,X,O,X
JLSZIOT,O,O,O,X,O,O,O,X,X,X
JLSZOTI,X,O,O,X,O,O,X,X,O,O
JLSZOIT,X,O,O,X,O,O,X,X,X,O
JLSOTIZ,X,O,X,O,O,O,O,X,O,X
JLSOTZI,X,O,X,O,O,O,O,X,O,O
JLSOITZ,X,O,X,O,X,O,O,X,O,X
JLSOIZT,X,O,X,O,O,O,O,X,X,O
JLSOZTI,X,O,X,O,O,O,O,X,O,O
JLSOZIT,X,O,X,O,O,O,O,X,X,O
JLZTISO,X,X,O,X,O,O,O,O,O,X
JLZTIOS,X,X,X,X,O,O,X,O,X,X
JLZTSIO,O,O,O,X,O,O,O,O,O,X
JLZTSOI,X,O,O,X,O,O,X,O,O,X
JLZTOIS,X,X,X,X,O,O,X,O,X,X
JLZTOSI,X,O,O,X,O,O,X,O,X,X
JLZITSO,X,X,O,X,O,X,X,O,X,X
JLZITOS,X,X,X,X,O,X,X,O,X,X
JLZISTO,X,O,O,X,O,X,X,X,X,X
JLZISOT,X,O,O,X,O,X,X,X,X,X
JLZIOTS,X,X,X,X,O,X,X,X,X,X
JLZIOST,X,O,O,X,O,X,X,X,X,X
JLZSTIO,O,O,O,X,O,O,O,O,O,X
JLZSTOI,X,O,O,X,O,O,X,O,O,X
JLZSITO,O,O,O,X,O,X,O,X,O,X
JLZSIOT,O,O,O,X,O,O,O,X,X,X
JLZSOTI,X,O,O,X,O,O,X,X,O,O
JLZSOIT,X,O,O,X,O,O,X,X,X,O
JLZOTIS,X,X,X,X,O,O,X,O,X,O
JLZOTSI,X,O,O,X,O,O,X,O,X,O
JLZOITS,X,X,X,X,O,X,X,X,X,O
JLZOIST,X,O,O,X,O,X,X,X,X,O
JLZOSTI,X,O,O,X,O,O,X,X,X,O
JLZOSIT,X,O,O,X,O,O,X,X,X,O
JLOTISZ,X,O,X,O,X,O,O,X,X,X
JLOTIZS,X,X,X,X,O,O,O,O,X,X
JLOTSIZ,X,O,X,O,X,O,O,X,X,X
JLOTSZI,X,O,X,O,X,O,O,X,X,O
JLOTZIS,X,X,X,X,O,O,O,O,X,O
JLOTZSI,X,O,X,O,O,O,O,O,X,O
JLOITSZ,X,O,X,O,X,O,O,X,X,X
JLOITZS,X,X,X,X,X,O,O,O,X,X
JLOISTZ,X,O,X,O,X,O,O,X,X,X
JLOISZT,X,O,X,O,X,O,O,X,X,O
JLOIZTS,X,X,X,X,O,X,X,X,X,O
JLOIZST,X,O,X,O,O,X,X,X,X,O
JLOSTIZ,X,O,X,O,X,O,O,X,X,X
JLOSTZI,X,O,X,O,X,O,O,X,X,O
JLOSITZ,X,O,X,O,X,O,O,X,X,X
JLOSIZT,X,O,X,O,X,O,O,X,X,O
JLOSZTI,X,O,X,O,X,O,O,X,X,O
JLOSZIT,X,O,X,O,X,O,O,X,X,O
JLOZTIS,X,X,X,X,O,O,O,O,X,O
JLOZTSI,X,O,X,O,O,O,O,O,X,O
JLOZITS,X,X,X,X,O,X,X,X,X,O
JLOZIST,X,O,X,O,O,X,X,X,X,O
JLOZSTI,X,O,X,O,O,O,O,X,X,O
JLOZSIT,X,O,X,O,O,O,O,X,X,O
JSTILZO,X,O,X,X,X,O,O,O,O,X
JSTILOZ,O,O,X,X,X,O,O,X,O,X
JSTIZLO,O,O,O,X,X,O,X,O,O,X
JSTIZOL,O,X,O,X,X,X,O,O,O,X
JSTIOLZ,O,O,X,O,X,O,O,X,O,X
JSTIOZL,O,X,X,O,X,X,O,X,O,X
JSTLIZO,X,O,X,X,X,O,O,O,O,X
JSTLIOZ,O,O,X,X,X,O,O,X,O,X
JSTLZIO,X,O,X,X,X,O,O,O,O,X
JSTLZOI,X,O,X,X,X,O,X,O,O,X
JSTLOIZ,X,O,X,X,X,O,O,X,O,X
JSTLOZI,X,O,X,X,X,O,X,X,O,X
JSTZILO,O,O,O,X,X,O,X,O,O,X
JSTZIOL,O,X,O,X,X,X,O,O,O,X
JSTZLIO,O,O,O,X,X,O,X,O,O,X
JSTZLOI,X,O,O,X,X,O,X,O,O,X
JSTZOIL,O,X,O,X,X,X,X,O,O,X
JSTZOLI,X,X,O,X,X,X,X,O,O,X
JSTOILZ,O,O,X,O,X,O,O,X,O,X
JSTOIZL,O,X,X,O,X,X,O,X,O,X
JSTOLIZ,O,O,X,O,X,O,O,X,O,X
JSTOLZI,O,O,X,O,X,O,O,X,O,X
JSTOZIL,O,X,X,O,X,X,O,X,O,X
JSTOZLI,O,X,X,O,X,X,O,X,O,X
JSITLZO,X,O,X,X,X,O,O,O,O,X
JSITLOZ,O,O,X,X,X,O,O,X,O,X
JSITZLO,O,O,O,X,X,O,X,O,O,X
JSITZOL,O,X,O,X,X,X,O,O,O,X
JSITOLZ,O,O,X,O,X,O,O,X,O,X
JSITOZL,O,X,X,O,X,X,O,X,O,X
JSILTZO,X,O,O,X,X,O,O,O,O,X
JSILTOZ,O,O,X,O,X,O,O,X,O,X
JSILZTO,O,O,O,X,X,X,O,X,O,X
JSILZOT,O,O,O,X,X,O,O,X,X,X
JSILOTZ,O,O,X,O,X,O,O,X,O,X
JSILOZT,O,O,X,O,X,O,O,X,X,X
JSIZTLO,O,O,O,X,X,X,X,X,O,X
JSIZTOL,O,X,O,X,X,X,O,X,O,X
JSIZLTO,O,O,O,X,X,X,O,X,O,X
JSIZLOT,O,O,O,X,X,O,O,X,X,X
JSIZOTL,O,X,O,X,X,X,O,X,X,X
JSIZOLT,O,X,O,X,X,X,O,X,X,X
JSIOTLZ,O,O,X,O,X,X,O,X,O,X
JSIOTZL,O,X,X,O,X,X,O,X,O,X
JSIOLTZ,O,O,X,O,X,O,O,X,O,X
JSIOLZT,O,O,X,O,X,O,O,X,X,X
JSIOZTL,O,X,X,O,X,X,O,X,X,X
JSIOZLT,O,X,X,O,X,X,O,X,X,X
JSLTIZO,X,O,O,X,X,O,O,O,O,X
JSLTIOZ,O,O,X,O,X,O,O,X,O,X
JSLTZIO,X,O,O,X,X,O,O,O,O,X
JSLTZOI,X,O,O,X,X,O,X,O,O,X
JSLTOIZ,X,O,X,O,X,O,O,X,O,X
JSLTOZI,X,O,X,O,X,O,O,X,O,X
JSLITZO,X,O,O,X,X,O,O,O,O,X
JSLITOZ,O,O,X,O,X,O,O,X,O,X
JSLIZTO,O,O,O,X,X,X,O,X,O,X
JSLIZOT,O,O,O,X,X,O,O,X,X,X
JSLIOTZ,O,O,X,O,X,O,O,X,O,X
JSLIOZT,O,O,X,O,X,O,O,X,X,X
JSLZTIO,O,O,O,X,X,O,O,O,O,X
JSLZTOI,X,O,O,X,X,O,X,O,O,X
JSLZITO,O,O,O,X,X,X,O,X,O,X
JSLZIOT,O,O,O,X,X,O,O,X,X,X
JSLZOTI,X,O,O,X,X,O,X,X,O,O
JSLZOIT,X,O,O,X,X,O,X,X,X,O
JSLOTIZ,X,O,X,O,X,O,O,X,O,X
JSLOTZI,X,O,X,O,X,O,O,X,O,O
JSLOITZ,X,O,X,O,X,O,O,X,O,X
JSLOIZT,X,O,X,O,X,O,O,X,X,O
JSLOZTI,X,O,X,O,X,O,O,X,O,O
JSLOZIT,X,O,X,O,X,O,O,X,X,O
JSZTILO,O,O,O,X,X,O,X,O,O,X
JSZTIOL,O,X,O,X,X,X,O,O,O,X
JSZTLIO,O,O,O,X,X,O,X,O,O,X
JSZTLOI,X,O,O,X,X,O,X,O,O,X
JSZTOIL,O,X,O,X,X,X,X,O,O,X
JSZTOLI,O,X,O,X,X,X,X,O,O,X
JSZITLO,O,O,O,X,X,X,X,X,O,X
JSZITOL,O,X,O,X,X,X,O,X,O,X
JSZILTO,O,O,O,X,X,X,O,X,O,X
JSZILOT,O,O,O,X,X,O,O,X,X,X
JSZIOTL,O,X,O,X,X,X,O,X,X,X
JSZIOLT,O,X,O,X,X,X,O,X,X,X
JSZLTIO,O,O,O,X,X,O,O,X,O,X
JSZLTOI,X,O,O,X,X,O,X,X,O,X
JSZLITO,O,O,O,X,X,X,O,X,O,X
JSZLIOT,O,O,O,X,X,O,O,X,X,X
JSZLOTI,X,O,O,X,X,O,X,X,O,X
JSZLOIT,X,O,O,X,X,O,X,X,X,X
JSZOTIL,O,X,O,X,X,X,X,X,O,X
JSZOTLI,O,X,O,X,X,X,X,X,O,X
JSZOITL,O,X,O,X,X,X,X,X,X,X
JSZOILT,O,X,O,X,X,X,X,X,X,X
JSZOLTI,O,X,O,X,X,X,X,X,O,X
JSZOLIT,O,X,O,X,X,X,X,X,X,X
JSOTILZ,O,O,X,O,X,O,O,X,O,X
JSOTIZL,O,X,X,O,X,X,O,X,O,X
JSOTLIZ,O,O,X,O,X,O,O,X,O,X
JSOTLZI,O,O,X,O,X,O,O,X,O,O
JSOTZIL,O,X,X,O,X,X,O,X,O,X
JSOTZLI,O,X,X,O,X,X,O,X,O,X
JSOITLZ,O,O,X,O,X,X,O,X,O,X
JSOITZL,O,X,X,O,X,X,O,X,O,X
JSOILTZ,O,O,X,O,X,O,O,X,O,X
JSOILZT,O,O,X,O,X,O,O,X,X,O
JSOIZTL,O,X,X,O,X,X,O,X,X,X
JSOIZLT,O,X,X,O,X,X,O,X,X,X
JSOLTIZ,O,O,X,O,X,O,O,X,O,X
JSOLTZI,O,O,X,O,X,O,O,X,O,O
JSOLITZ,O,O,X,O,X,O,O,X,O,X
JSOLIZT,O,O,X,O,X,O,O,X,X,O
JSOLZTI,O,O,X,O,X,O,O,X,O,O
JSOLZIT,O,O,X,O,X,O,O,X,X,O
JSOZTIL,O,X,X,O,X,X,O,X,O,X
JSOZTLI,O,X,X,O,X,X,O,X,O,X
JSOZITL,O,X,X,O,X,X,O,X,X,X
JSOZILT,O,X,X,O,X,X,O,X,X,X
JSOZLTI,O,X,X,O,X,X,O,X,O,O
JSOZLIT,O,X,X,O,X,X,O,X,X,O
JZTILSO,X,X,O,X,O,O,X,O,O,X
JZTILOS,X,X,X,X,O,O,X,O,X,X
JZTISLO,O,X,O,X,O,O,X,O,O,X
JZTISOL,O,X,O,X,O,X,O,O,O,X
JZTIOLS,X,X,X,X,O,X,X,X,X,X
JZTIOSL,X,X,X,X,O,X,X,O,O,X
JZTLISO,X,X,O,X,O,O,X,O,O,X
JZTLIOS,X,X,X,X,O,O,X,O,X,X
JZTLSIO,O,O,O,X,O,O,X,O,O,X
JZTLSOI,X,O,O,X,O,O,X,O,O,X
JZTLOIS,X,X,X,X,O,O,X,O,X,X
JZTLOSI,X,O,O,X,O,O,X,O,X,X
JZTSILO,O,O,O,X,O,O,X,O,O,X
JZTSIOL,O,X,O,X,O,X,O,O,O,X
JZTSLIO,O,O,O,X,O,O,X,O,O,X
JZTSLOI,X,O,O,X,O,O,X,O,O,X
JZTSOIL,O,X,O,X,O,X,X,O,O,X
JZTSOLI,O,X,O,X,X,X,X,O,O,X
JZTOILS,O,X,X,X,O,X,X,X,X,X
JZTOISL,O,X,X,X,O,X,X,O,O,X
JZTOLIS,O,X,X,X,O,X,X,X,X,X
JZTOLSI,O,X,X,X,O,X,X,X,X,X
JZTOSIL,O,X,O,X,O,X,X,O,O,X
JZTOSLI,O,X,O,X,X,X,X,O,O,X
JZITLSO,X,X,O,X,O,X,X,O,O,X
JZITLOS,X,X,X,X,O,X,X,O,X,X
JZITSLO,O,X,O,X,O,X,X,O,O,X
JZITSOL,O,X,O,X,O,X,X,O,O,X
JZITOLS,X,X,X,X,O,X,X,X,X,X
JZITOSL,X,X,X,X,O,X,X,O,O,X
JZILTSO,X,X,O,X,O,X,X,O,X,X
JZILTOS,X,X,X,X,O,X,X,O,X,X
JZILSTO,X,O,O,X,O,X,X,X,X,X
JZILSOT,X,O,O,X,O,X,X,X,X,X
JZILOTS,X,X,X,X,O,X,X,X,X,X
JZILOST,X,O,O,X,O,X,X,X,X,X
JZISTLO,O,O,O,X,O,X,X,X,O,X
JZISTOL,O,X,O,X,O,X,X,X,O,X
JZISLTO,O,O,O,X,O,X,X,X,O,X
JZISLOT,O,O,O,X,O,X,X,X,X,X
JZISOTL,O,X,O,X,O,X,X,X,X,X
JZISOLT,O,X,O,X,X,X,X,X,X,X
JZIOTLS,X,X,X,X,O,X,X,X,X,X
JZIOTSL,X,X,X,X,O,X,X,X,X,X
JZIOLTS,X,X,X,X,O,X,X,X,X,X
JZIOLST,X,X,O,X,O,X,X,X,X,X
JZIOSTL,X,X,O,X,O,X,X,X,X,X
JZIOSLT,X,X,O,X,X,X,X,X,X,X
JZLTISO,X,X,O,X,O,O,O,O,O,X
JZLTIOS,X,X,X,X,O,O,X,O,X,X
JZLTSIO,O,O,O,X,O,O,O,O,O,X
JZLTSOI,X,O,O,X,O,O,X,O,O,X
JZLTOIS,X,X,X,X,O,O,X,O,X,X
JZLTOSI,X,O,O,X,O,O,X,O,X,X
JZLITSO,X,X,O,X,O,X,X,O,X,X
JZLITOS,X,X,X,X,O,X,X,O,X,X
JZLISTO,X,O,O,X,O,X,X,X,X,X
JZLISOT,X,O,O,X,O,X,X,X,X,X
JZLIOTS,X,X,X,X,O,X,X,X,X,X
JZLIOST,X,O,O,X,O,X,X,X,X,X
JZLSTIO,O,O,O,X,O,O,O,O,O,X
JZLSTOI,X,O,O,X,O,O,X,O,O,X
JZLSITO,O,O,O,X,O,X,O,X,O,X
JZLSIOT,O,O,O,X,O,O,O,X,X,X
JZLSOTI,X,O,O,X,O,O,X,X,O,X
JZLSOIT,X,O,O,X,O,O,X,X,X,X
JZLOTIS,X,X,X,X,O,O,X,O,X,X
JZLOTSI,X,O,O,X,O,O,X,O,X,X
JZLOITS,X,X,X,X,O,X,X,X,X,X
JZLOIST,X,O,O,X,O,X,X,X,X,X
JZLOSTI,X,O,O,X,O,O,X,X,X,X
JZLOSIT,X,O,O,X,O,O,X,X,X,X
JZSTILO,O,O,O,X,O,O,X,O,O,X
JZSTIOL,O,X,O,X,O,X,O,O,O,X
JZSTLIO,O,O,O,X,O,O,X,O,O,X
JZSTLOI,X,O,O,X,O,O,X,O,O,X
JZSTOIL,O,X,O,X,O,X,X,O,O,X
JZSTOLI,O,X,O,X,X,X,X,O,O,X
JZSITLO,O,O,O,X,O,X,X,X,O,X
JZSITOL,O,X,O,X,O,X,O,X,O,X
JZSILTO,O,O,O,X,O,X,O,X,O,X
JZSILOT,O,O,O,X,O,O,O,X,X,X
JZSIOTL,O,X,O,X,O,X,O,X,X,X
JZSIOLT,O,X,O,X,X,X,O,X,X,X
JZSLTIO,O,O,O,X,O,O,O,X,O,X
JZSLTOI,X,O,O,X,O,O,X,X,O,X
JZSLITO,O,O,O,X,O,X,O,X,O,X
JZSLIOT,O,O,O,X,O,O,O,X,X,X
JZSLOTI,X,O,O,X,O,O,X,X,O,X
JZSLOIT,X,O,O,X,O,O,X,X,X,X
JZSOTIL,O,X,O,X,O,X,X,X,O,X
JZSOTLI,O,X,O,X,X,X,X,X,O,X
JZSOITL,O,X,O,X,O,X,X,X,X,X
JZSOILT,O,X,O,X,X,X,X,X,X,X
JZSOLTI,O,X,O,X,X,X,X,X,O,X
JZSOLIT,O,X,O,X,X,X,X,X,X,X
JZOTILS,O,X,X,X,O,X,X,X,X,X
JZOTISL,O,X,X,X,O,X,X,O,O,X
JZOTLIS,O,X,X,X,O,X,X,X,X,X
JZOTLSI,O,X,X,X,O,X,X,X,X,X
JZOTSIL,O,X,O,X,O,X,X,O,O,X
JZOTSLI,O,X,O,X,X,X,X,O,O,X
JZOITLS,O,X,X,X,O,X,X,X,X,X
JZOITSL,O,X,X,X,O,X,X,X,X,X
JZOILTS,X,X,X,X,O,X,X,X,X,X
JZOILST,X,X,O,X,O,X,X,X,X,X
JZOISTL,O,X,O,X,O,X,X,X,X,X
JZOISLT,O,X,O,X,X,X,X,X,X,X
JZOLTIS,O,X,X,X,O,X,X,X,X,X
JZOLTSI,O,X,O,X,O,X,X,X,X,X
JZOLITS,X,X,X,X,O,X,X,X,X,X
JZOLIST,X,X,O,X,O,X,X,X,X,X
JZOLSTI,O,X,O,X,O,X,X,X,X,X
JZOLSIT,O,X,O,X,O,X,X,X,X,X
JZOSTIL,O,X,O,X,O,X,X,X,O,X
JZOSTLI,O,X,O,X,X,X,X,X,O,X
JZOSITL,O,X,O,X,O,X,X,X,X,X
JZOSILT,O,X,O,X,X,X,X,X,X,X
JZOSLTI,O,X,O,X,X,X,X,X,O,X
JZOSLIT,O,X,O,X,X,X,X,X,X,X
JOTILSZ,X,X,X,O,X,O,O,X,X,X
JOTILZS,X,X,X,X,X,O,O,O,X,X
JOTISLZ,O,X,X,O,X,O,O,X,O,X
JOTISZL,O,X,X,O,X,X,O,X,O,X
JOTIZLS,O,X,X,X,O,X,X,X,X,X
JOTIZSL,O,X,X,X,O,X,O,O,O,X
JOTLISZ,X,O,X,O,X,O,O,X,X,X
JOTLIZS,X,X,X,X,X,O,O,O,X,X
JOTLSIZ,O,O,X,O,X,O,O,X,X,X
JOTLSZI,O,O,X,O,X,O,O,X,X,O
JOTLZIS,O,X,X,X,X,O,O,O,X,O
JOTLZSI,O,O,X,O,X,O,O,O,X,O
JOTSILZ,O,O,X,O,X,O,O,X,O,X
JOTSIZL,O,X,X,O,X,X,O,X,O,X
JOTSLIZ,O,O,X,O,X,O,O,X,O,X
JOTSLZI,O,O,X,O,X,O,O,X,O,O
JOTSZIL,O,X,X,O,X,X,O,X,O,X
JOTSZLI,O,X,X,O,X,X,O,X,O,X
JOTZILS,O,X,X,X,O,X,X,X,X,X
JOTZISL,O,X,X,X,O,X,O,O,O,X
JOTZLIS,O,X,X,X,O,X,O,X,X,X
JOTZLSI,O,X,X,X,X,X,O,X,X,X
JOTZSIL,O,X,X,O,O,X,O,O,O,X
JOTZSLI,O,X,X,O,X,X,O,O,O,X
JOITLSZ,X,X,X,O,X,X,O,X,X,X
JOITLZS,X,X,X,X,X,X,O,O,X,X
JOITSLZ,O,X,X,O,X,X,O,X,O,X
JOITSZL,O,X,X,O,X,X,O,X,O,X
JOITZLS,O,X,X,X,X,X,X,X,X,X
JOITZSL,O,X,X,X,X,X,O,O,O,X
JOILTSZ,X,O,X,O,X,X,O,X,X,X
JOILTZS,X,X,X,X,X,X,O,O,X,X
JOILSTZ,X,O,X,O,X,X,O,X,X,X
JOILSZT,X,O,X,O,X,X,O,X,X,O
JOILZTS,X,X,X,X,X,X,X,X,X,O
JOILZST,X,O,X,O,X,X,X,X,X,O
JOISTLZ,O,O,X,O,X,X,O,X,O,X
JOISTZL,O,X,X,O,X,X,O,X,O,X
JOISLTZ,O,O,X,O,X,X,O,X,O,X
JOISLZT,O,O,X,O,X,X,O,X,X,O
JOISZTL,O,X,X,O,X,X,O,X,X,X
JOISZLT,O,X,X,O,X,X,O,X,X,X
JOIZTLS,O,X,X,X,O,X,X,X,X,X
JOIZTSL,O,X,X,X,O,X,X,X,X,X
JOIZLTS,X,X,X,X,O,X,X,X,X,X
JOIZLST,X,X,X,O,X,X,X,X,X,X
JOIZSTL,O,X,X,O,O,X,X,X,X,X
JOIZSLT,O,X,X,O,X,X,X,X,X,X
JOLTISZ,X,O,X,O,X,O,O,X,X,X
JOLTIZS,X,X,X,X,X,O,O,O,X,X
JOLTSIZ,O,O,X,O,X,O,O,X,X,X
JOLTSZI,O,O,X,O,X,O,O,X,X,O
JOLTZIS,O,X,X,X,X,O,O,O,X,O
JOLTZSI,O,O,X,O,X,O,O,O,X,O
JOLITSZ,X,O,X,O,X,O,O,X,X,X
JOLITZS,X,X,X,X,X,O,O,O,X,X
JOLISTZ,X,O,X,O,X,O,O,X,X,X
JOLISZT,X,O,X,O,X,O,O,X,X,O
JOLIZTS,X,X,X,X,X,X,X,X,X,O
JOLIZST,X,O,X,O,X,X,X,X,X,O
JOLSTIZ,O,O,X,O,X,O,O,X,X,X
JOLSTZI,O,O,X,O,X,O,O,X,X,O
JOLSITZ,O,O,X,O,X,O,O,X,X,X
JOLSIZT,O,O,X,O,X,O,O,X,X,O
JOLSZTI,O,O,X,O,X,O,O,X,X,O
JOLSZIT,O,O,X,O,X,O,O,X,X,O
JOLZTIS,O,X,X,X,X,O,O,O,X,O
JOLZTSI,O,O,X,O,X,O,O,O,X,O
JOLZITS,X,X,X,X,X,X,X,X,X,O
JOLZIST,X,O,X,O,X,X,X,X,X,O
JOLZSTI,O,O,X,O,X,O,O,X,X,O
JOLZSIT,O,O,X,O,X,O,O,X,X,O
JOSTILZ,O,O,X,O,X,O,O,X,O,X
JOSTIZL,O,X,X,O,X,X,O,X,O,X
JOSTLIZ,O,O,X,O,X,O,O,X,O,X
JOSTLZI,O,O,X,O,X,O,O,X,O,O
JOSTZIL,O,X,X,O,X,X,O,X,O,X
JOSTZLI,O,X,X,O,X,X,O,X,O,X
JOSITLZ,O,O,X,O,X,X,O,X,O,X
JOSITZL,O,X,X,O,X,X,O,X,O,X
JOSILTZ,O,O,X,O,X,O,O,X,O,X
JOSILZT,O,O,X,O,X,O,O,X,X,O
JOSIZTL,O,X,X,O,X,X,O,X,X,X
JOSIZLT,O,X,X,O,X,X,O,X,X,X
JOSLTIZ,O,O,X,O,X,O,O,X,O,X
