sequence,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgBxcBTfBU?iBKrBfsB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jei6IvhFtgBxcB3fBU?iBOrBzrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeK/IvhFzaBtgBXdBx?mB0mB2wB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jei6IvhFtgBxcB3fBU?iBmrBTrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgBXdBTfBx?mBirB0rB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeK/IvhFzaBtgB0cBx?mBXnB2wB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgB0cBTfBx?mBirBXsB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeO/IvhF8fBtgBXdBx?mBTmBywB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jei6IvhFtgB0cB3fBx?mBOsBTrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgBxcBTfBc?mBXnBywB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jex6IvhF/hBTfB0gBN?nBCnB2wB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFxcBTfBSmBN?nB0rBfrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeK/IvhFzaBxcBGhBN?nB0rBfrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jey/IvhFxcBGhBNnBT?fB0rBfrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jex/IvhFXhBNnBTfBC?iB0rBmqB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeN/IvhF/hB0gBZnBC?gBGiBTrB
LTOZISJ,X,O,O,X,O,O,O,O,X,X,O,O,X,X,X,O
LTOZJIS,O,X,O,X,O,O,O,O,X,X,X,O,O,O,X,X
LTOZJSI,O,X,O,X,O,O,O,O,X,X,X,O,O,O,X,X
LTOZSIJ,O,O,O,X,X,O,X,X,O,X,O,O,X,X,X,O
LTOZSJI,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,X
LITJSZO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LITJSOZ,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LITJZSO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LITJZOS,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
LITJOSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LITJOZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LITSJZO,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
LITSJOZ,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
LITSZJO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
LITSZOJ,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
LITSOJZ,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
LITSOZJ,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
LITZJSO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
LITZJOS,O,X,O,X,X,O,O,O,X,X,X,X,O,O,X,X
LITZSJO,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O
LITZSOJ,X,X,O,X,O,O,O,O,O,X,X,X,X,X,O,O
LITZOJS,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X
LITZOSJ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X
LITOJSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LITOJZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LITOSJZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LITOSZJ,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X
LITOZJS,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X
LITOZSJ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O
LIJTSZO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LIJTSOZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LIJTZSO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LIJTZOS,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
LIJTOSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LIJTOZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LIJSTZO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LIJSTOZ,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LIJSZTO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LIJSZOT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJSOTZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LIJSOZT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LIJZTSO,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LIJZTOS,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
LIJZSTO,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LIJZSOT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJZOTS,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
LIJZOST,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJOTSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LIJOTZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LIJOSTZ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LIJOSZT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LIJOZTS,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LIJOZST,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LISTJZO,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LISTJOZ,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X
LISTZJO,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LISTZOJ,O,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X
LISTOJZ,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X
LISTOZJ,O,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X
LISJTZO,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LISJTOZ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
LISJZTO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LISJZOT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LISJOTZ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LISJOZT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LISZTJO,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
LISZTOJ,O,X,O,X,O,O,O,O,O,O,X,X,X,X,X,X
LISZJTO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LISZJOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LISZOTJ,O,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X
LISZOJT,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LISOTJZ,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X
LISOTZJ,O,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X
LISOJTZ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LISOJZT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LISOZTJ,O,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X
LISOZJT,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LIZTJSO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
LIZTJOS,O,X,O,X,X,O,O,O,X,X,X,X,O,O,X,X
LIZTSJO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,O,O
LIZTSOJ,X,O,O,O,O,O,O,O,O,X,X,X,X,X,O,O
LIZTOJS,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X
LIZTOSJ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X
LIZJTSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LIZJTOS,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LIZJSTO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LIZJSOT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LIZJOTS,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LIZJOST,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LIZSTJO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
LIZSTOJ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O
LIZSJTO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LIZSJOT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LIZSOTJ,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
LIZSOJT,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LIZOTJS,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X
LIZOTSJ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X
LIZOJTS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LIZOJST,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LIZOSTJ,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
LIZOSJT,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LIOTJSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LIOTJZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LIOTSJZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LIOTSZJ,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X
LIOTZJS,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X
LIOTZSJ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O
LIOJTSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LIOJTZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LIOJSTZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LIOJSZT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LIOJZTS,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LIOJZST,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LIOSTJZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LIOSTZJ,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X
LIOSJTZ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LIOSJZT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LIOSZTJ,O,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X
LIOSZJT,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LIOZTJS,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X
LIOZTSJ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O
LIOZJTS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LIOZJST,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LIOZSTJ,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O
LIOZSJT,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LJTISZO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LJTISOZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LJTIZSO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LJTIZOS,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
LJTIOSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LJTIOZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LJTSIZO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJTSIOZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJTSZIO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
LJTSZOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LJTSOIZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LJTSOZI,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LJTZISO,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
LJTZIOS,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
LJTZSIO,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
LJTZSOI,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X
LJTZOIS,X,X,O,X,X,O,O,O,X,X,O,X,O,O,X,X
LJTZOSI,X,X,O,X,X,O,O,O,X,X,O,X,O,O,X,X
LJTOISZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LJTOIZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
LJTOSIZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LJTOSZI,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LJTOZIS,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X
LJTOZSI,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X
LJITSZO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LJITSOZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LJITZSO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LJITZOS,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
LJITOSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LJITOZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LJISTZO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LJISTOZ,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LJISZTO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LJISZOT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LJISOTZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LJISOZT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LJIZTSO,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LJIZTOS,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
LJIZSTO,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LJIZSOT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LJIZOTS,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
LJIZOST,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LJIOTSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LJIOTZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LJIOSTZ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LJIOSZT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LJIOZTS,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LJIOZST,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LJSTIZO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJSTIOZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJSTZIO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
LJSTZOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LJSTOIZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LJSTOZI,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LJSITZO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LJSITOZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJSIZTO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LJSIZOT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LJSIOTZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJSIOZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LJSZTIO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
LJSZTOI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LJSZITO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LJSZIOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LJSZOTI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LJSZOIT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LJSOTIZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LJSOTZI,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LJSOITZ,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LJSOIZT,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LJSOZTI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LJSOZIT,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LJZTISO,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
LJZTIOS,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
LJZTSIO,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
LJZTSOI,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X
LJZTOIS,X,X,O,X,X,O,X,O,X,X,O,X,O,O,X,X
LJZTOSI,X,X,O,X,X,O,X,O,X,X,O,X,O,O,X,X
LJZITSO,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LJZITOS,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LJZISTO,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LJZISOT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LJZIOTS,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LJZIOST,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LJZSTIO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LJZSTOI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LJZSITO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LJZSIOT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LJZSOTI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LJZSOIT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LJZOTIS,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X
LJZOTSI,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X
LJZOITS,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X
LJZOIST,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LJZOSTI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LJZOSIT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LJOTISZ,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LJOTIZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
LJOTSIZ,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LJOTSZI,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LJOTZIS,O,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X
LJOTZSI,O,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X
LJOITSZ,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LJOITZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
LJOISTZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LJOISZT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LJOIZTS,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
LJOIZST,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LJOSTIZ,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LJOSTZI,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LJOSITZ,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LJOSIZT,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LJOSZTI,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LJOSZIT,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LJOZTIS,O,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X
LJOZTSI,O,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X
LJOZITS,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X
LJOZIST,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LJOZSTI,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LJOZSIT,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LSTIJZO,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
LSTIJOZ,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
LSTIZJO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
LSTIZOJ,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
LSTIOJZ,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
LSTIOZJ,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
LSTJIZO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LSTJIOZ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LSTJZIO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
LSTJZOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LSTJOIZ,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
LSTJOZI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
LSTZIJO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
LSTZIOJ,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
LSTZJIO,O,O,X,O,X,X,X,O,O,O,X,X,X,O,X,X
LSTZJOI,O,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X
LSTZOIJ,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X
LSTZOJI,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X
LSTOIJZ,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
LSTOIZJ,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
LSTOJIZ,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
LSTOJZI,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
LSTOZIJ,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X
LSTOZJI,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X
LSITJZO,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
LSITJOZ,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
LSITZJO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
LSITZOJ,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
LSITOJZ,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
LSITOZJ,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
LSIJTZO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
LSIJTOZ,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
LSIJZTO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LSIJZOT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LSIJOTZ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LSIJOZT,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LSIZTJO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
LSIZTOJ,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X
LSIZJTO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LSIZJOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LSIZOTJ,O,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X
LSIZOJT,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LSIOTJZ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
LSIOTZJ,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X
LSIOJTZ,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
LSIOJZT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LSIOZTJ,O,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X
LSIOZJT,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LSJTIZO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LSJTIOZ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LSJTZIO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
LSJTZOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LSJTOIZ,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
LSJTOZI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
LSJITZO,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
LSJITOZ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LSJIZTO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LSJIZOT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LSJIOTZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LSJIOZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LSJZTIO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
LSJZTOI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LSJZITO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LSJZIOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LSJZOTI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LSJZOIT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LSJOTIZ,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
LSJOTZI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
LSJOITZ,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
LSJOIZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LSJOZTI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LSJOZIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LSZTIJO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
LSZTIOJ,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
LSZTJIO,O,O,X,O,X,X,X,O,O,O,X,X,X,O,X,X
LSZTJOI,O,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X
LSZTOIJ,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X
LSZTOJI,O,O,O,O,O,X,X,O,O,O,X,X,O,X,X,X
LSZITJO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
LSZITOJ,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
LSZIJTO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LSZIJOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
