sequence,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFahBRdBumBz?iBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhFTdBejB6lB0?hBNrBXsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFNhBRdBXiB8?nBWrBywB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFahB5hBTdBe?jBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFxcBdjBihBW?rBcsB3rB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFxcBdjBmhBf?rBSsB0rB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhF8hBajBmgB9?nBfrBzrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhFXdBdjB6lB2?mBcsBTrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFUdBajBWrBx?mBXsBNrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFzdBihBRnBG?mBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFahBzdBRnBu?mBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFmdB0iBRmB6?mBdrBXsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhFdiBzdB0gBS?rB3nB2wB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFRdB2nBCmB3?nB0rBNrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFNhBmiB5mBi?iBfrBcsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFXhBRnB8nBe?sBdrBCsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je2AJvhFzdB9mB3nBU?rBZnBCrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFRcBThBynBu?nBdsBUrB
LITZOSJ,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LITOJSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LITOJZS,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LITOSJZ,X,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X
LITOSZJ,X,O,X,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X
LITOZJS,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LITOZSJ,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LIJTSZO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LIJTSOZ,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LIJTZSO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJTZOS,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LIJTOSZ,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LIJTOZS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJSTZO,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LIJSTOZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LIJSZTO,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LIJSZOT,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LIJSOTZ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LIJSOZT,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
LIJZTSO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJZTOS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJZSTO,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LIJZSOT,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LIJZOTS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJZOST,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LIJOTSZ,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LIJOTZS,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LIJOSTZ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LIJOSZT,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
LIJOZTS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJOZST,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LISTJZO,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LISTJOZ,X,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
LISTZJO,X,O,X,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X
LISTZOJ,X,O,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X
LISTOJZ,X,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
LISTOZJ,X,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
LISJTZO,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LISJTOZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LISJZTO,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LISJZOT,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
LISJOTZ,X,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
LISJOZT,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X
LISZTJO,X,O,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X
LISZTOJ,X,O,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X
LISZJTO,X,O,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X
LISZJOT,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X
LISZOTJ,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O
LISZOJT,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X
LISOTJZ,X,O,X,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X
LISOTZJ,X,O,X,X,X,O,O,O,X,O,O,X,O,X,X,X,X,X
LISOJTZ,X,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
LISOJZT,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X
LISOZTJ,X,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
LISOZJT,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X
LIZTJSO,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
LIZTJOS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIZTSJO,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
LIZTSOJ,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
LIZTOJS,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIZTOSJ,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
LIZJTSO,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
LIZJTOS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIZJSTO,X,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
LIZJSOT,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
LIZJOTS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIZJOST,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
LIZSTJO,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X
LIZSTOJ,X,O,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X
LIZSJTO,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X
LIZSJOT,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LIZSOTJ,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O
LIZSOJT,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LIZOTJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIZOTSJ,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
LIZOJTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIZOJST,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
LIZOSTJ,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,O
LIZOSJT,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LIOTJSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LIOTJZS,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LIOTSJZ,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LIOTSZJ,X,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
LIOTZJS,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LIOTZSJ,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LIOJTSZ,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LIOJTZS,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LIOJSTZ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LIOJSZT,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
LIOJZTS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIOJZST,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LIOSTJZ,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
LIOSTZJ,X,O,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X
LIOSJTZ,X,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
LIOSJZT,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LIOSZTJ,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
LIOSZJT,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
LIOZTJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIOZTSJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LIOZJTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIOZJST,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
LIOZSTJ,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LIOZSJT,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LJTISZO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJTISOZ,X,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
LJTIZSO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LJTIZOS,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJTIOSZ,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LJTIOZS,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LJTSIZO,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LJTSIOZ,X,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
LJTSZIO,X,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
LJTSZOI,X,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
LJTSOIZ,X,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
LJTSOZI,X,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
LJTZISO,X,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X
LJTZIOS,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJTZSIO,X,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X
LJTZSOI,X,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X
LJTZOIS,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJTZOSI,X,O,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
LJTOISZ,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LJTOIZS,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJTOSIZ,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LJTOSZI,X,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X
LJTOZIS,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LJTOZSI,X,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X
LJITSZO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJITSOZ,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LJITZSO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LJITZOS,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJITOSZ,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LJITOZS,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LJISTZO,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LJISTOZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJISZTO,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LJISZOT,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LJISOTZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJISOZT,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LJIZTSO,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LJIZTOS,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LJIZSTO,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LJIZSOT,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LJIZOTS,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LJIZOST,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LJIOTSZ,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LJIOTZS,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJIOSTZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJIOSZT,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LJIOZTS,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LJIOZST,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LJSTIZO,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LJSTIOZ,X,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
LJSTZIO,X,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
LJSTZOI,X,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
LJSTOIZ,X,O,O,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X
LJSTOZI,X,O,O,O,O,O,O,X,X,X,X,X,O,O,O,X,X,X
LJSITZO,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LJSITOZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJSIZTO,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LJSIZOT,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LJSIOTZ,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LJSIOZT,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LJSZTIO,X,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X
LJSZTOI,X,O,O,O,O,O,O,X,X,X,X,X,O,O,O,X,O,X
LJSZITO,X,O,O,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X
LJSZIOT,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
LJSZOTI,X,O,O,O,O,O,O,X,X,X,X,X,O,O,O,X,O,O
LJSZOIT,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
LJSOTIZ,X,O,O,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X
LJSOTZI,X,O,O,O,O,O,O,X,X,X,X,X,O,O,O,X,X,X
LJSOITZ,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LJSOIZT,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LJSOZTI,X,O,O,O,O,O,O,X,X,X,X,X,O,O,O,X,O,X
LJSOZIT,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
LJZTISO,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X
LJZTIOS,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJZTSIO,X,O,O,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X
LJZTSOI,X,O,O,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X
LJZTOIS,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJZTOSI,X,O,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
LJZITSO,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
LJZITOS,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LJZISTO,X,O,O,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
LJZISOT,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LJZIOTS,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LJZIOST,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LJZSTIO,X,O,O,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X
LJZSTOI,X,O,O,O,O,X,X,O,X,X,X,X,O,O,O,X,O,X
LJZSITO,X,O,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X
LJZSIOT,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
LJZSOTI,X,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,O,O
LJZSOIT,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
LJZOTIS,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJZOTSI,X,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
LJZOITS,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LJZOIST,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LJZOSTI,X,O,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,O
LJZOSIT,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X
LJOTISZ,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LJOTIZS,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJOTSIZ,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LJOTSZI,X,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X
LJOTZIS,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LJOTZSI,X,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X
LJOITSZ,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LJOITZS,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJOISTZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LJOISZT,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LJOIZTS,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LJOIZST,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LJOSTIZ,X,O,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X
LJOSTZI,X,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X
LJOSITZ,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LJOSIZT,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LJOSZTI,X,O,O,X,O,O,O,X,X,X,X,X,X,O,O,X,X,X
LJOSZIT,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
LJOZTIS,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LJOZTSI,X,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
LJOZITS,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LJOZIST,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LJOZSTI,X,O,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
LJOZSIT,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X
LSTIJZO,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LSTIJOZ,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
LSTIZJO,X,O,X,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X
LSTIZOJ,X,O,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X
LSTIOJZ,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LSTIOZJ,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LSTJIZO,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LSTJIOZ,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
LSTJZIO,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
LSTJZOI,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
LSTJOIZ,O,O,X,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X
LSTJOZI,O,O,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X
LSTZIJO,O,O,X,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X
LSTZIOJ,O,O,X,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X
LSTZJIO,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LSTZJOI,O,O,X,O,X,O,O,O,X,X,X,X,O,X,O,X,X,X
LSTZOIJ,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,O
LSTZOJI,O,O,X,O,X,O,O,O,X,X,X,X,O,X,O,X,X,O
LSTOIJZ,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
LSTOIZJ,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LSTOJIZ,O,O,X,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X
LSTOJZI,O,O,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X
LSTOZIJ,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LSTOZJI,O,O,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X
LSITJZO,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LSITJOZ,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
LSITZJO,X,O,X,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X
LSITZOJ,X,O,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X
LSITOJZ,O,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
LSITOZJ,O,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
LSIJTZO,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LSIJTOZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LSIJZTO,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LSIJZOT,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LSIJOTZ,X,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
LSIJOZT,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LSIZTJO,O,O,X,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
LSIZTOJ,O,O,X,O,X,O,X,O,X,X,O,O,O,X,X,X,X,X
LSIZJTO,X,O,X,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
LSIZJOT,X,O,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X
LSIZOTJ,O,X,X,O,X,O,X,X,X,O,O,O,O,X,X,X,X,O
LSIZOJT,O,X,X,X,X,O,X,X,O,O,O,O,X,X,X,X,X,X
LSIOTJZ,O,O,X,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X
LSIOTZJ,O,O,X,X,X,O,O,O,X,O,O,X,O,X,X,X,X,X
LSIOJTZ,O,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
LSIOJZT,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LSIOZTJ,O,X,X,X,X,O,X,O,X,O,O,O,O,X,X,X,X,X
LSIOZJT,O,X,X,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X
LSJTIZO,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LSJTIOZ,O,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
LSJTZIO,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
LSJTZOI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
LSJTOIZ,O,O,O,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X
LSJTOZI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X
LSJITZO,X,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X
LSJITOZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LSJIZTO,X,O,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X
LSJIZOT,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
LSJIOTZ,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LSJIOZT,X,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X
LSJZTIO,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,O,X
LSJZTOI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,O,X,O,X
LSJZITO,X,O,O,O,X,O,X,X,O,X,O,X,O,O,X,X,X,X
LSJZIOT,X,O,O,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X
LSJZOTI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,O,X,O,O
LSJZOIT,O,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
LSJOTIZ,O,O,O,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X
LSJOTZI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X
LSJOITZ,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LSJOIZT,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LSJOZTI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,O,X,O,X
LSJOZIT,O,O,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X
