sequence,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBOhBTeBt?mB0nBXsB,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBdiBGeB/?mBznB0rB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFdiBqiBTeBO?kB/mB0rB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFNhBCeBOkB8?mBXoBzrB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFNhB3dBcjBO?kBCnBzrB,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBNhBWjB8?mBXoBzrB
SZILOJT,X,O,X,X,X,X
SZIJTLO,X,X,X,O,O,O
SZIJTOL,X,X,X,O,O,X
SZIJLTO,X,X,X,O,O,O
SZIJLOT,X,X,X,O,O,X
SZIJOTL,X,X,X,O,O,X
SZIJOLT,X,X,X,O,O,X
SZIOTLJ,O,O,X,X,X,X
SZIOTJL,O,O,X,X,X,X
SZIOLTJ,O,O,X,X,X,X
SZIOLJT,X,O,X,X,X,X
SZIOJTL,X,O,X,X,X,X
SZIOJLT,X,O,X,X,X,X
SZLTIJO,O,X,X,O,O,O
SZLTIOJ,O,O,X,X,X,X
SZLTJIO,O,X,O,O,O,O
SZLTJOI,O,X,O,O,O,X
SZLTOIJ,O,O,X,X,X,X
SZLTOJI,O,O,O,O,O,X
SZLITJO,O,X,X,O,O,O
SZLITOJ,O,O,X,X,X,X
SZLIJTO,X,X,X,O,O,O
SZLIJOT,X,X,X,O,O,X
SZLIOTJ,O,O,X,X,X,X
SZLIOJT,X,O,X,X,X,X
SZLJTIO,X,X,O,O,O,O
SZLJTOI,X,X,O,O,O,X
SZLJITO,X,X,O,O,O,O
SZLJIOT,X,X,O,O,O,X
SZLJOTI,X,X,O,O,O,X
SZLJOIT,X,X,O,O,O,X
SZLOTIJ,O,O,X,X,X,X
SZLOTJI,O,O,O,O,O,X
SZLOITJ,O,O,X,X,X,X
SZLOIJT,X,O,X,X,X,X
SZLOJTI,X,O,O,O,O,X
SZLOJIT,X,O,O,O,O,X
SZJTILO,X,X,O,O,O,O
SZJTIOL,X,X,X,O,O,X
SZJTLIO,X,X,O,O,O,O
SZJTLOI,X,X,O,O,O,X
SZJTOIL,X,X,X,O,O,X
SZJTOLI,X,X,X,O,O,X
SZJITLO,X,X,O,O,O,O
SZJITOL,X,X,X,O,O,X
SZJILTO,X,X,O,O,O,O
SZJILOT,X,X,O,O,O,X
SZJIOTL,X,X,X,O,O,X
SZJIOLT,X,X,O,O,O,X
SZJLTIO,X,X,O,O,O,O
SZJLTOI,X,X,O,O,O,X
SZJLITO,X,X,O,O,O,O
SZJLIOT,X,X,O,O,O,X
SZJLOTI,X,X,O,O,O,X
SZJLOIT,X,X,O,O,O,X
SZJOTIL,X,X,X,O,O,X
SZJOTLI,X,X,X,O,O,X
SZJOITL,X,X,X,O,O,X
SZJOILT,X,X,O,O,O,X
SZJOLTI,X,X,O,O,O,X
SZJOLIT,X,X,O,O,O,X
SZOTILJ,O,O,X,X,X,X
SZOTIJL,O,O,X,X,X,X
SZOTLIJ,O,O,X,X,X,X
SZOTLJI,O,O,X,O,X,X
SZOTJIL,O,O,X,O,O,X
SZOTJLI,O,O,X,O,O,X
SZOITLJ,O,O,X,X,X,X
SZOITJL,O,O,X,X,X,X
SZOILTJ,O,O,X,X,X,X
SZOILJT,X,O,X,X,X,X
SZOIJTL,X,O,X,X,X,X
SZOIJLT,X,O,X,X,X,X
SZOLTIJ,O,O,X,X,X,X
SZOLTJI,O,O,O,O,O,X
SZOLITJ,O,O,X,X,X,X
SZOLIJT,X,O,X,X,X,X
SZOLJTI,X,O,O,O,O,X
SZOLJIT,X,O,O,O,O,X
SZOJTIL,X,O,X,O,O,X
SZOJTLI,X,O,X,O,O,X
SZOJITL,X,O,X,O,O,X
SZOJILT,X,O,O,O,O,X
SZOJLTI,X,O,O,O,O,X
SZOJLIT,X,O,O,O,O,X
SOTILJZ,O,O,X,X,X,X
SOTILZJ,X,O,X,X,X,X
SOTIJLZ,O,O,X,X,X,X
SOTIJZL,O,O,X,X,X,X
SOTIZLJ,X,O,X,X,X,X
SOTIZJL,X,O,X,X,X,X
SOTLIJZ,O,O,O,X,X,X
SOTLIZJ,X,O,X,X,X,X
SOTLJIZ,O,O,O,O,X,X
SOTLJZI,O,O,O,O,X,X
SOTLZIJ,X,O,X,X,X,X
SOTLZJI,X,O,O,O,X,X
SOTJILZ,O,O,O,O,X,X
SOTJIZL,O,O,X,O,X,X
SOTJLIZ,O,O,O,O,X,X
SOTJLZI,O,O,O,O,X,X
SOTJZIL,O,O,X,O,X,X
SOTJZLI,O,O,X,O,X,X
SOTZILJ,X,O,X,X,X,X
SOTZIJL,X,O,X,X,X,X
SOTZLIJ,X,O,X,X,X,X
SOTZLJI,X,O,X,O,X,X
SOTZJIL,X,O,X,O,X,X
SOTZJLI,X,O,X,O,X,X
SOITLJZ,O,O,X,X,X,X
SOITLZJ,X,O,X,X,X,X
SOITJLZ,O,O,X,X,X,X
SOITJZL,O,O,X,X,X,X
SOITZLJ,X,O,X,X,X,X
SOITZJL,X,O,X,X,X,X
SOILTJZ,O,O,O,X,X,X
SOILTZJ,X,O,X,X,X,X
SOILJTZ,O,O,O,X,X,X
SOILJZT,X,O,O,X,X,X
SOILZTJ,O,O,X,X,X,X
SOILZJT,X,O,X,X,X,X
SOIJTLZ,O,O,O,X,X,X
SOIJTZL,O,O,X,X,X,X
SOIJLTZ,O,O,O,X,X,X
SOIJLZT,X,O,O,X,X,X
SOIJZTL,X,O,X,X,X,X
SOIJZLT,X,O,O,X,X,X
SOIZTLJ,O,O,X,X,X,X
SOIZTJL,O,O,X,X,X,X
SOIZLTJ,O,O,X,X,X,X
SOIZLJT,X,O,X,X,X,X
SOIZJTL,X,O,X,X,X,X
SOIZJLT,X,O,X,X,X,X
SOLTIJZ,O,O,O,X,X,X
SOLTIZJ,X,O,X,X,X,X
SOLTJIZ,O,O,O,O,X,X
SOLTJZI,O,O,O,O,X,X
SOLTZIJ,X,O,X,X,X,X
SOLTZJI,X,O,O,O,X,X
SOLITJZ,O,O,O,X,X,X
SOLITZJ,X,O,X,X,X,X
SOLIJTZ,O,O,O,X,X,X
SOLIJZT,X,O,O,X,X,X
SOLIZTJ,O,O,X,X,X,X
SOLIZJT,X,O,X,X,X,X
SOLJTIZ,O,O,O,O,X,X
SOLJTZI,O,O,O,O,X,X
SOLJITZ,O,O,O,O,X,X
SOLJIZT,X,O,O,O,X,X
SOLJZTI,X,O,O,O,X,X
SOLJZIT,X,O,O,O,X,X
SOLZTIJ,O,O,X,X,X,X
SOLZTJI,O,O,O,O,X,X
SOLZITJ,O,O,X,X,X,X
SOLZIJT,X,O,X,X,X,X
SOLZJTI,X,O,O,O,X,X
SOLZJIT,X,O,O,O,X,X
SOJTILZ,O,O,O,O,X,X
SOJTIZL,O,O,X,O,X,X
SOJTLIZ,O,O,O,O,X,X
SOJTLZI,O,O,O,O,X,X
SOJTZIL,O,O,X,O,X,X
SOJTZLI,O,O,X,O,X,X
SOJITLZ,O,O,O,O,X,X
SOJITZL,O,O,X,O,X,X
SOJILTZ,O,O,O,O,X,X
SOJILZT,X,O,O,O,X,X
SOJIZTL,X,O,X,O,X,X
SOJIZLT,X,O,O,O,X,X
SOJLTIZ,O,O,O,O,X,X
SOJLTZI,O,O,O,O,X,X
SOJLITZ,O,O,O,O,X,X
SOJLIZT,X,O,O,O,X,X
SOJLZTI,X,O,O,O,X,X
SOJLZIT,X,O,O,O,X,X
SOJZTIL,X,O,X,O,X,X
SOJZTLI,X,O,X,O,X,X
SOJZITL,X,O,X,O,X,X
SOJZILT,X,O,O,O,X,X
SOJZLTI,X,O,O,O,X,X
SOJZLIT,X,O,O,O,X,X
SOZTILJ,O,O,X,X,X,X
SOZTIJL,O,O,X,X,X,X
SOZTLIJ,O,O,X,X,X,X
SOZTLJI,O,O,X,O,X,X
SOZTJIL,O,O,X,O,X,X
SOZTJLI,O,O,X,O,X,X
SOZITLJ,O,O,X,X,X,X
SOZITJL,O,O,X,X,X,X
SOZILTJ,O,O,X,X,X,X
SOZILJT,X,O,X,X,X,X
SOZIJTL,X,O,X,X,X,X
SOZIJLT,X,O,X,X,X,X
SOZLTIJ,O,O,X,X,X,X
SOZLTJI,O,O,O,O,X,X
SOZLITJ,O,O,X,X,X,X
SOZLIJT,X,O,X,X,X,X
SOZLJTI,X,O,O,O,X,X
SOZLJIT,X,O,O,O,X,X
SOZJTIL,X,O,X,O,X,X
SOZJTLI,X,O,X,O,X,X
SOZJITL,X,O,X,O,X,X
SOZJILT,X,O,O,O,X,X
SOZJLTI,X,O,O,O,X,X
SOZJLIT,X,O,O,O,X,X
ZTILJSO,O,X,X,X,O,O
ZTILJOS,O,X,X,X,O,O
ZTILSJO,O,X,X,X,O,O
ZTILSOJ,O,O,X,X,X,X
ZTILOJS,O,O,X,X,X,O
ZTILOSJ,O,O,X,X,X,X
ZTIJLSO,O,X,X,O,O,O
ZTIJLOS,O,X,X,X,O,O
ZTIJSLO,O,X,X,O,O,O
ZTIJSOL,O,X,X,O,O,X
ZTIJOLS,O,X,X,X,O,O
ZTIJOSL,O,X,X,O,O,X
ZTISLJO,O,X,X,O,X,O
ZTISLOJ,O,O,X,X,X,X
ZTISJLO,O,X,X,O,O,O
ZTISJOL,O,X,X,O,O,X
ZTISOLJ,O,O,X,X,X,X
ZTISOJL,O,O,X,X,X,X
ZTIOLJS,O,O,X,X,X,O
ZTIOLSJ,O,O,X,X,X,X
ZTIOJLS,O,O,X,X,X,O
ZTIOJSL,O,O,X,X,X,X
ZTIOSLJ,O,O,X,X,X,X
ZTIOSJL,O,O,X,X,X,X
ZTLIJSO,O,X,X,X,O,O
ZTLIJOS,O,X,X,X,O,O
ZTLISJO,O,X,X,X,O,O
ZTLISOJ,O,O,X,X,X,X
ZTLIOJS,O,O,X,X,X,O
ZTLIOSJ,O,O,X,X,X,X
ZTLJISO,O,X,O,O,O,O
ZTLJIOS,O,X,O,X,O,O
ZTLJSIO,O,X,O,O,O,O
ZTLJSOI,O,X,O,O,O,X
ZTLJOIS,O,X,O,X,O,O
ZTLJOSI,O,X,O,X,O,X
ZTLSIJO,O,X,X,O,O,O
ZTLSIOJ,O,O,X,X,X,X
ZTLSJIO,O,X,O,O,O,O
ZTLSJOI,O,X,O,O,O,X
ZTLSOIJ,O,O,X,X,X,X
ZTLSOJI,O,O,O,O,O,X
ZTLOIJS,O,O,X,X,X,O
ZTLOISJ,O,O,X,X,X,X
ZTLOJIS,O,O,O,X,O,O
ZTLOJSI,O,O,O,X,O,X
ZTLOSIJ,O,O,X,X,X,X
ZTLOSJI,O,O,O,X,O,X
ZTJILSO,O,X,O,O,O,O
ZTJILOS,O,X,O,X,O,O
ZTJISLO,O,X,O,O,O,O
ZTJISOL,O,X,X,O,O,X
ZTJIOLS,O,X,X,X,O,O
ZTJIOSL,O,X,X,O,O,X
ZTJLISO,O,X,O,O,O,O
ZTJLIOS,O,X,O,X,O,O
ZTJLSIO,O,X,O,O,O,O
ZTJLSOI,O,X,O,O,O,X
ZTJLOIS,O,X,O,X,O,O
ZTJLOSI,O,X,O,X,O,X
ZTJSILO,O,X,O,O,O,O
ZTJSIOL,O,X,X,O,O,X
ZTJSLIO,O,X,O,O,O,O
ZTJSLOI,O,X,O,O,O,X
ZTJSOIL,O,X,X,O,O,X
ZTJSOLI,O,X,X,O,O,X
ZTJOILS,O,X,X,X,O,O
ZTJOISL,O,X,X,O,O,X
ZTJOLIS,O,X,X,X,O,O
ZTJOLSI,O,X,X,X,O,X
ZTJOSIL,O,X,X,O,O,X
ZTJOSLI,O,X,X,O,O,X
ZTSILJO,O,X,X,O,X,O
ZTSILOJ,O,O,X,X,X,X
ZTSIJLO,O,X,X,O,O,O
ZTSIJOL,O,X,X,O,O,X
ZTSIOLJ,O,O,X,X,X,X
ZTSIOJL,O,O,X,X,X,X
ZTSLIJO,O,X,X,O,O,O
ZTSLIOJ,O,O,X,X,X,X
ZTSLJIO,O,X,O,O,O,O
ZTSLJOI,O,X,O,O,O,X
ZTSLOIJ,O,O,X,X,X,X
ZTSLOJI,O,O,O,O,O,X
ZTSJILO,O,X,O,O,O,O
ZTSJIOL,O,X,X,O,O,X
ZTSJLIO,O,X,O,O,O,O
ZTSJLOI,O,X,O,O,O,X
ZTSJOIL,O,X,X,O,O,X
ZTSJOLI,O,X,X,O,O,X
ZTSOILJ,O,O,X,X,X,X
ZTSOIJL,O,O,X,X,X,X
ZTSOLIJ,O,O,X,X,X,X
ZTSOLJI,O,O,X,O,X,X
ZTSOJIL,O,O,X,O,O,X
ZTSOJLI,O,O,X,O,O,X
ZTOILJS,O,O,X,X,X,O
ZTOILSJ,O,O,X,X,X,X
ZTOIJLS,O,O,X,X,X,O
ZTOIJSL,O,O,X,X,X,X
ZTOISLJ,O,O,X,X,X,X
ZTOISJL,O,O,X,X,X,X
ZTOLIJS,O,O,X,X,X,O
ZTOLISJ,O,O,X,X,X,X
ZTOLJIS,O,O,X,X,O,O
ZTOLJSI,O,O,X,X,O,X
ZTOLSIJ,O,O,X,X,X,X
ZTOLSJI,O,O,X,X,O,X
ZTOJILS,O,O,X,X,O,O
ZTOJISL,O,O,X,O,O,X
ZTOJLIS,O,O,X,X,O,O
ZTOJLSI,O,O,X,X,O,X
ZTOJSIL,O,O,X,O,O,X
ZTOJSLI,O,O,X,O,O,X
ZTOSILJ,O,O,X,X,X,X
ZTOSIJL,O,O,X,X,X,X
ZTOSLIJ,O,O,X,X,X,X
ZTOSLJI,O,O,X,O,X,X
ZTOSJIL,O,O,X,O,O,X
ZTOSJLI,O,O,X,O,O,X
ZITLJSO,O,X,X,X,O,O
ZITLJOS,O,X,X,X,O,O
ZITLSJO,O,X,X,X,O,O
ZITLSOJ,O,O,X,X,X,X
ZITLOJS,O,O,X,X,X,O
ZITLOSJ,O,O,X,X,X,X
ZITJLSO,O,X,X,O,O,O
ZITJLOS,O,X,X,X,O,O
ZITJSLO,O,X,X,O,O,O
ZITJSOL,O,X,X,O,O,X
ZITJOLS,O,X,X,X,O,O
ZITJOSL,O,X,X,O,O,X
ZITSLJO,O,X,X,O,X,O
ZITSLOJ,O,O,X,X,X,X
ZITSJLO,O,X,X,O,O,O
ZITSJOL,O,X,X,O,O,X
ZITSOLJ,O,O,X,X,X,X
ZITSOJL,O,O,X,X,X,X
ZITOLJS,O,O,X,X,X,O
ZITOLSJ,O,O,X,X,X,X
ZITOJLS,O,O,X,X,X,O
ZITOJSL,O,O,X,X,X,X
ZITOSLJ,O,O,X,X,X,X
ZITOSJL,O,O,X,X,X,X
ZILTJSO,O,X,X,X,O,O
ZILTJOS,O,X,X,X,O,O
ZILTSJO,O,X,X,X,O,O
ZILTSOJ,O,O,X,X,X,X
ZILTOJS,O,O,X,X,X,O
ZILTOSJ,O,O,X,X,X,X
ZILJTSO,O,X,X,X,O,O
ZILJTOS,O,X,X,X,O,O
ZILJSTO,X,X,X,X,O,O
ZILJSOT,X,X,X,X,O,X
ZILJOTS,O,O,X,X,O,O
ZILJOST,X,O,X,X,O,X
ZILSTJO,O,X,X,X,O,O
ZILSTOJ,O,O,X,X,X,X
ZILSJTO,X,X,X,X,O,O
ZILSJOT,X,X,X,X,O,X
ZILSOTJ,O,O,X,X,X,X
ZILSOJT,X,O,X,X,X,X
ZILOTJS,O,O,X,X,X,O
ZILOTSJ,O,O,X,X,X,X
ZILOJTS,O,O,X,X,X,O
ZILOJST,X,O,X,X,X,X
ZILOSTJ,O,O,X,X,X,X
ZILOSJT,X,O,X,X,X,X
ZIJTLSO,O,X,X,O,O,O
ZIJTLOS,O,X,X,X,O,O
ZIJTSLO,O,X,X,O,O,O
ZIJTSOL,O,X,X,O,O,X
ZIJTOLS,O,X,X,X,O,O
ZIJTOSL,O,X,X,O,O,X
ZIJLTSO,O,X,X,O,O,O
ZIJLTOS,O,X,X,X,O,O
ZIJLSTO,X,X,X,O,O,O
ZIJLSOT,X,X,X,O,O,X
ZIJLOTS,O,O,X,X,O,O
ZIJLOST,X,O,X,X,O,X
ZIJSTLO,X,X,X,O,O,O
ZIJSTOL,X,X,X,O,O,X
ZIJSLTO,X,X,X,O,O,O
ZIJSLOT,X,X,X,O,O,X
ZIJSOTL,X,X,X,O,O,X
ZIJSOLT,X,X,X,O,O,X
ZIJOTLS,O,O,X,X,O,O
ZIJOTSL,O,O,X,O,O,X
ZIJOLTS,O,O,X,X,O,O
ZIJOLST,X,O,X,X,O,X
ZIJOSTL,X,O,X,O,O,X
ZIJOSLT,X,O,X,O,O,X
ZISTLJO,O,X,X,O,X,O
ZISTLOJ,O,O,X,X,X,X
ZISTJLO,O,X,X,O,O,O
ZISTJOL,O,X,X,O,O,X
ZISTOLJ,O,O,X,X,X,X
ZISTOJL,O,O,X,X,X,X
ZISLTJO,O,X,X,O,O,O
ZISLTOJ,O,O,X,X,X,X
ZISLJTO,X,X,X,O,O,O
ZISLJOT,X,X,X,O,O,X
ZISLOTJ,O,O,X,X,X,X
ZISLOJT,X,O,X,X,X,X
ZISJTLO,X,X,X,O,O,O
ZISJTOL,X,X,X,O,O,X
ZISJLTO,X,X,X,O,O,O
ZISJLOT,X,X,X,O,O,X
ZISJOTL,X,X,X,O,O,X
ZISJOLT,X,X,X,O,O,X
ZISOTLJ,O,O,X,X,X,X
ZISOTJL,O,O,X,X,X,X
ZISOLTJ,O,O,X,X,X,X
ZISOLJT,X,O,X,X,X,X
ZISOJTL,X,O,X,X,X,X
ZISOJLT,X,O,X,X,X,X
ZIOTLJS,O,O,X,X,X,O
ZIOTLSJ,O,O,X,X,X,X
ZIOTJLS,O,O,X,X,X,O
ZIOTJSL,O,O,X,X,X,X
ZIOTSLJ,O,O,X,X,X,X
ZIOTSJL,O,O,X,X,X,X
ZIOLTJS,O,O,X,X,X,O
ZIOLTSJ,O,O,X,X,X,X
ZIOLJTS,O,O,X,X,X,O
ZIOLJST,X,O,X,X,X,X
ZIOLSTJ,O,O,X,X,X,X
ZIOLSJT,X,O,X,X,X,X
ZIOJTLS,O,O,X,X,X,O
ZIOJTSL,O,O,X,X,X,X
ZIOJLTS,O,O,X,X,X,O
ZIOJLST,X,O,X,X,X,X
ZIOJSTL,X,O,X,X,X,X
ZIOJSLT,X,O,X,X,X,X
ZIOSTLJ,O,O,X,X,X,X
ZIOSTJL,O,O,X,X,X,X
ZIOSLTJ,O,O,X,X,X,X
ZIOSLJT,X,O,X,X,X,X
ZIOSJTL,X,O,X,X,X,X
ZIOSJLT,X,O,X,X,X,X
ZLTIJSO,O,X,X,X,O,O
ZLTIJOS,O,X,X,X,O,O
ZLTISJO,O,X,X,X,O,O
ZLTISOJ,O,O,X,X,X,X
ZLTIOJS,O,O,X,X,X,O
ZLTIOSJ,O,O,X,X,X,X
ZLTJISO,O,X,O,O,O,O
ZLTJIOS,O,X,O,X,O,O
ZLTJSIO,O,X,O,O,O,O
ZLTJSOI,O,X,O,O,O,X
ZLTJOIS,O,X,O,X,O,O
ZLTJOSI,O,X,O,X,O,X
ZLTSIJO,O,X,X,O,O,O
ZLTSIOJ,O,O,X,X,X,X
ZLTSJIO,O,X,O,O,O,O
ZLTSJOI,O,X,O,O,O,X
ZLTSOIJ,O,O,X,X,X,X
ZLTSOJI,O,O,O,O,O,X
ZLTOIJS,O,O,X,X,X,O
ZLTOISJ,O,O,X,X,X,X
ZLTOJIS,O,O,O,X,O,O
ZLTOJSI,O,O,O,X,O,X
ZLTOSIJ,O,O,X,X,X,X
ZLTOSJI,O,O,O,X,O,X
ZLITJSO,O,X,X,X,O,O
ZLITJOS,O,X,X,X,O,O
ZLITSJO,O,X,X,X,O,O
ZLITSOJ,O,O,X,X,X,X
ZLITOJS,O,O,X,X,X,O
ZLITOSJ,O,O,X,X,X,X
ZLIJTSO,O,X,X,X,O,O
ZLIJTOS,O,X,X,X,O,O
ZLIJSTO,X,X,X,X,O,O
ZLIJSOT,X,X,X,X,O,X
ZLIJOTS,O,O,X,X,O,O
ZLIJOST,X,O,X,X,O,X
ZLISTJO,O,X,X,X,O,O
ZLISTOJ,O,O,X,X,X,X
ZLISJTO,X,X,X,X,O,O
ZLISJOT,X,X,X,X,O,X
ZLISOTJ,O,O,X,X,X,X
ZLISOJT,X,O,X,X,X,X
ZLIOTJS,O,O,X,X,X,O
ZLIOTSJ,O,O,X,X,X,X
ZLIOJTS,O,O,X,X,X,O
ZLIOJST,X,O,X,X,X,X
ZLIOSTJ,O,O,X,X,X,X
ZLIOSJT,X,O,X,X,X,X
ZLJTISO,O,X,O,O,O,O
ZLJTIOS,O,X,O,X,O,O
ZLJTSIO,O,X,O,O,O,O
ZLJTSOI,O,X,O,O,O,X
ZLJTOIS,O,X,O,X,O,O
ZLJTOSI,O,X,O,X,O,X
ZLJITSO,O,X,O,O,O,O
ZLJITOS,O,X,O,X,O,O
ZLJISTO,X,X,O,O,O,O
ZLJISOT,X,X,O,O,O,X
ZLJIOTS,O,O,O,X,O,O
ZLJIOST,X,O,O,X,O,X
ZLJSTIO,X,X,O,O,O,O
ZLJSTOI,X,X,O,O,O,X
ZLJSITO,X,X,O,O,O,O
ZLJSIOT,X,X,O,O,O,X
ZLJSOTI,X,X,O,O,O,X
ZLJSOIT,X,X,O,O,O,X
ZLJOTIS,O,O,O,X,O,O
ZLJOTSI,O,O,O,X,O,X
ZLJOITS,O,O,O,X,O,O
ZLJOIST,X,O,O,X,O,X
ZLJOSTI,X,O,O,X,O,X
ZLJOSIT,X,O,O,X,O,X
ZLSTIJO,O,X,X,O,O,O
ZLSTIOJ,O,O,X,X,X,X
ZLSTJIO,O,X,O,O,O,O
ZLSTJOI,O,X,O,O,O,X
ZLSTOIJ,O,O,X,X,X,X
ZLSTOJI,O,O,O,O,O,X
ZLSITJO,O,X,X,O,O,O
ZLSITOJ,O,O,X,X,X,X
ZLSIJTO,X,X,X,O,O,O
ZLSIJOT,X,X,X,O,O,X
ZLSIOTJ,O,O,X,X,X,X
ZLSIOJT,X,O,X,X,X,X
ZLSJTIO,X,X,O,O,O,O
ZLSJTOI,X,X,O,O,O,X
ZLSJITO,X,X,O,O,O,O
ZLSJIOT,X,X,O,O,O,X
ZLSJOTI,X,X,O,O,O,X
ZLSJOIT,X,X,O,O,O,X
ZLSOTIJ,O,O,X,X,X,X
ZLSOTJI,O,O,O,O,O,X
ZLSOITJ,O,O,X,X,X,X
ZLSOIJT,X,O,X,X,X,X
ZLSOJTI,X,O,O,O,O,X
ZLSOJIT,X,O,O,O,O,X
ZLOTIJS,O,O,X,X,X,O
ZLOTISJ,O,O,X,X,X,X
ZLOTJIS,O,O,O,X,O,O
ZLOTJSI,O,O,O,X,O,X
ZLOTSIJ,O,O,X,X,X,X
ZLOTSJI,O,O,O,X,O,X
ZLOITJS,O,O,X,X,X,O
ZLOITSJ,O,O,X,X,X,X
ZLOIJTS,O,O,X,X,X,O
ZLOIJST,X,O,X,X,X,X
ZLOISTJ,O,O,X,X,X,X
ZLOISJT,X,O,X,X,X,X
ZLOJTIS,O,O,O,X,O,O
ZLOJTSI,O,O,O,X,O,X
ZLOJITS,O,O,O,X,O,O
ZLOJIST,X,O,O,X,O,X
ZLOJSTI,X,O,O,X,O,X
ZLOJSIT,X,O,O,X,O,X
ZLOSTIJ,O,O,X,X,X,X
ZLOSTJI,O,O,O,X,O,X
ZLOSITJ,O,O,X,X,X,X
ZLOSIJT,X,O,X,X,X,X
ZLOSJTI,X,O,O,X,O,X
ZLOSJIT,X,O,O,X,O,X
ZJTILSO,O,X,O,O,O,O
ZJTILOS,O,X,O,X,O,O
ZJTISLO,O,X,O,O,O,O
ZJTISOL,O,X,X,O,O,X
ZJTIOLS,O,X,X,X,O,O
ZJTIOSL,O,X,X,O,O,X
ZJTLISO,O,X,O,O,O,O
ZJTLIOS,O,X,O,X,O,O
ZJTLSIO,O,X,O,O,O,O
ZJTLSOI,O,X,O,O,O,X
ZJTLOIS,O,X,O,X,O,O
ZJTLOSI,O,X,O,X,O,X
ZJTSILO,O,X,O,O,O,O
ZJTSIOL,O,X,X,O,O,X
ZJTSLIO,O,X,O,O,O,O
ZJTSLOI,O,X,O,O,O,X
ZJTSOIL,O,X,X,O,O,X
ZJTSOLI,O,X,X,O,O,X
ZJTOILS,O,X,X,X,O,O
ZJTOISL,O,X,X,O,O,X
ZJTOLIS,O,X,X,X,O,O
ZJTOLSI,O,X,X,X,O,X
ZJTOSIL,O,X,X,O,O,X
ZJTOSLI,O,X,X,O,O,X
ZJITLSO,O,X,O,O,O,O
ZJITLOS,O,X,O,X,O,O
ZJITSLO,O,X,O,O,O,O
ZJITSOL,O,X,X,O,O,X
ZJITOLS,O,X,X,X,O,O
ZJITOSL,O,X,X,O,O,X
ZJILTSO,O,X,O,O,O,O
ZJILTOS,O,X,O,X,O,O
ZJILSTO,X,X,O,O,O,O
ZJILSOT,X,X,O,O,O,X
ZJILOTS,O,O,O,X,O,O
ZJILOST,X,O,O,X,O,X
ZJISTLO,X,X,O,O,O,O
ZJISTOL,X,X,X,O,O,X
ZJISLTO,X,X,O,O,O,O
ZJISLOT,X,X,O,O,O,X
ZJISOTL,X,X,X,O,O,X
ZJISOLT,X,X,O,O,O,X
ZJIOTLS,O,O,X,X,O,O
ZJIOTSL,O,O,X,O,O,X
ZJIOLTS,O,O,O,X,O,O
ZJIOLST,X,O,O,X,O,X
ZJIOSTL,X,O,X,O,O,X
ZJIOSLT,X,O,O,O,O,X
ZJLTISO,O,X,O,O,O,O
ZJLTIOS,O,X,O,X,O,O
ZJLTSIO,O,X,O,O,O,O
ZJLTSOI,O,X,O,O,O,X
ZJLTOIS,O,X,O,X,O,O
ZJLTOSI,O,X,O,X,O,X
ZJLITSO,O,X,O,O,O,O
ZJLITOS,O,X,O,X,O,O
ZJLISTO,X,X,O,O,O,O
ZJLISOT,X,X,O,O,O,X
ZJLIOTS,O,O,O,X,O,O
ZJLIOST,X,O,O,X,O,X
ZJLSTIO,X,X,O,O,O,O
ZJLSTOI,X,X,O,O,O,X
ZJLSITO,X,X,O,O,O,O
ZJLSIOT,X,X,O,O,O,X
ZJLSOTI,X,X,O,O,O,X
ZJLSOIT,X,X,O,O,O,X
ZJLOTIS,O,O,O,X,O,O
ZJLOTSI,O,O,O,X,O,X
ZJLOITS,O,O,O,X,O,O
ZJLOIST,X,O,O,X,O,X
ZJLOSTI,X,O,O,X,O,X
ZJLOSIT,X,O,O,X,O,X
ZJSTILO,X,X,O,O,O,O
ZJSTIOL,X,X,X,O,O,X
ZJSTLIO,X,X,O,O,O,O
ZJSTLOI,X,X,O,O,O,X
ZJSTOIL,X,X,X,O,O,X
ZJSTOLI,X,X,X,O,O,X
ZJSITLO,X,X,O,O,O,O
ZJSITOL,X,X,X,O,O,X
ZJSILTO,X,X,O,O,O,O
ZJSILOT,X,X,O,O,O,X
ZJSIOTL,X,X,X,O,O,X
ZJSIOLT,X,X,O,O,O,X
ZJSLTIO,X,X,O,O,O,O
ZJSLTOI,X,X,O,O,O,X
ZJSLITO,X,X,O,O,O,O
ZJSLIOT,X,X,O,O,O,X
ZJSLOTI,X,X,O,O,O,X
ZJSLOIT,X,X,O,O,O,X
ZJSOTIL,X,X,X,O,O,X
ZJSOTLI,X,X,X,O,O,X
ZJSOITL,X,X,X,O,O,X
ZJSOILT,X,X,O,O,O,X
ZJSOLTI,X,X,O,O,O,X
ZJSOLIT,X,X,O,O,O,X
ZJOTILS,O,O,X,X,O,O
ZJOTISL,O,O,X,O,O,X
ZJOTLIS,O,O,X,X,O,O
ZJOTLSI,O,O,X,X,O,X
ZJOTSIL,O,O,X,O,O,X
