sequence,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFxcB6jBcmBm?iBXnBFtB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFlcB3dBimBG?oBRsBctB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhF6hBxdB/nBF?jB2rBctB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFlcBWjBymBX?jBctBxwB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFViBajB5jB0?hB2rBftB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFxcBcmBXnBO?tB6tBlsB
SZIJLTO,O,X,X,O,O,O
SZIJLOT,O,X,O,O,O,O
SZIJOTL,O,X,X,X,O,O
SZIJOLT,O,X,O,O,O,O
SZIOTLJ,O,X,O,O,O,X
SZIOTJL,O,X,O,X,X,O
SZIOLTJ,O,X,O,O,O,X
SZIOLJT,O,X,O,O,O,O
SZIOJTL,O,X,X,X,O,O
SZIOJLT,O,X,O,O,O,O
SZLTIJO,O,X,O,X,X,X
SZLTIOJ,O,X,O,X,O,X
SZLTJIO,O,X,O,X,X,X
SZLTJOI,O,X,O,X,X,X
SZLTOIJ,O,X,O,X,O,X
SZLTOJI,O,X,O,X,X,X
SZLITJO,O,X,O,X,X,X
SZLITOJ,O,X,O,X,O,X
SZLIJTO,O,X,X,X,O,O
SZLIJOT,O,X,O,X,O,O
SZLIOTJ,O,X,O,X,O,X
SZLIOJT,O,X,O,X,O,O
SZLJTIO,O,X,O,X,O,O
SZLJTOI,O,X,O,X,O,O
SZLJITO,O,X,O,X,O,O
SZLJIOT,O,X,O,X,O,O
SZLJOTI,O,X,O,X,O,O
SZLJOIT,O,X,O,X,O,O
SZLOTIJ,O,X,O,X,O,X
SZLOTJI,O,X,O,X,X,X
SZLOITJ,O,X,O,X,O,X
SZLOIJT,O,X,O,X,O,O
SZLOJTI,O,X,O,X,O,O
SZLOJIT,O,X,O,X,O,O
SZJTILO,O,X,O,X,O,O
SZJTIOL,O,X,O,X,O,O
SZJTLIO,O,X,O,X,O,O
SZJTLOI,O,X,O,X,O,O
SZJTOIL,O,X,O,X,O,O
SZJTOLI,O,X,O,X,O,O
SZJITLO,O,X,O,X,O,O
SZJITOL,O,X,O,X,O,O
SZJILTO,O,X,O,O,O,O
SZJILOT,O,X,O,O,O,O
SZJIOTL,O,X,O,X,O,O
SZJIOLT,O,X,O,O,O,O
SZJLTIO,O,X,O,X,O,O
SZJLTOI,O,X,O,X,O,O
SZJLITO,O,X,O,X,O,O
SZJLIOT,O,X,O,X,O,O
SZJLOTI,O,X,O,X,O,O
SZJLOIT,O,X,O,X,O,O
SZJOTIL,O,X,O,X,O,O
SZJOTLI,O,X,O,X,O,O
SZJOITL,O,X,O,X,O,O
SZJOILT,O,X,O,O,O,O
SZJOLTI,O,X,O,X,O,O
SZJOLIT,O,X,O,X,O,O
SZOTILJ,O,X,O,O,O,X
SZOTIJL,O,X,O,X,X,O
SZOTLIJ,O,X,O,X,O,X
SZOTLJI,O,X,O,X,X,X
SZOTJIL,O,X,O,X,X,O
SZOTJLI,O,X,O,X,X,O
SZOITLJ,O,X,O,O,O,X
SZOITJL,O,X,O,X,X,O
SZOILTJ,O,X,O,O,O,X
SZOILJT,O,X,O,O,O,O
SZOIJTL,O,X,X,X,O,O
SZOIJLT,O,X,O,O,O,O
SZOLTIJ,O,X,O,X,O,X
SZOLTJI,O,X,O,X,X,X
SZOLITJ,O,X,O,X,O,X
SZOLIJT,O,X,O,X,O,O
SZOLJTI,O,X,O,X,O,O
SZOLJIT,O,X,O,X,O,O
SZOJTIL,O,X,O,X,O,O
SZOJTLI,O,X,O,X,O,O
SZOJITL,O,X,O,X,O,O
SZOJILT,O,X,O,O,O,O
SZOJLTI,O,X,O,X,O,O
SZOJLIT,O,X,O,X,O,O
SOTILJZ,O,O,X,X,O,X
SOTILZJ,O,X,O,O,O,X
SOTIJLZ,O,X,X,X,O,X
SOTIJZL,O,X,X,X,O,X
SOTIZLJ,O,X,X,O,O,X
SOTIZJL,O,X,X,X,X,X
SOTLIJZ,O,O,X,X,O,X
SOTLIZJ,O,X,O,X,O,X
SOTLJIZ,O,O,X,X,O,X
SOTLJZI,O,X,X,X,O,X
SOTLZIJ,O,X,O,X,O,X
SOTLZJI,O,X,O,X,X,X
SOTJILZ,O,X,X,X,O,X
SOTJIZL,O,X,X,X,O,X
SOTJLIZ,O,X,X,X,O,X
SOTJLZI,O,X,X,X,O,X
SOTJZIL,O,X,X,X,O,O
SOTJZLI,O,X,X,X,O,O
SOTZILJ,O,X,O,O,O,X
SOTZIJL,O,X,O,X,X,O
SOTZLIJ,O,X,O,X,O,X
SOTZLJI,O,X,O,X,X,X
SOTZJIL,O,X,O,X,X,O
SOTZJLI,O,X,O,X,X,O
SOITLJZ,O,O,X,X,O,X
SOITLZJ,O,X,O,O,O,X
SOITJLZ,O,X,X,X,O,X
SOITJZL,O,X,X,X,O,X
SOITZLJ,O,X,X,O,O,X
SOITZJL,O,X,X,X,X,X
SOILTJZ,X,O,X,X,O,X
SOILTZJ,X,X,O,O,O,X
SOILJTZ,X,O,X,X,O,X
SOILJZT,X,O,O,X,O,X
SOILZTJ,X,X,O,O,O,X
SOILZJT,X,X,O,O,O,X
SOIJTLZ,X,X,X,X,O,X
SOIJTZL,X,X,X,X,O,X
SOIJLTZ,X,X,X,X,O,X
SOIJLZT,O,X,O,X,O,X
SOIJZTL,O,X,X,X,O,O
SOIJZLT,O,X,X,X,O,O
SOIZTLJ,O,X,O,O,O,X
SOIZTJL,O,X,O,X,X,O
SOIZLTJ,O,X,O,O,O,X
SOIZLJT,O,X,O,O,O,O
SOIZJTL,O,X,X,X,O,O
SOIZJLT,O,X,O,O,O,O
SOLTIJZ,O,O,X,X,O,X
SOLTIZJ,O,X,O,X,O,X
SOLTJIZ,O,O,X,X,O,X
SOLTJZI,O,X,X,X,O,X
SOLTZIJ,O,X,O,X,O,X
SOLTZJI,O,X,O,X,X,X
SOLITJZ,X,O,X,X,O,X
SOLITZJ,X,X,O,X,O,X
SOLIJTZ,X,O,X,X,O,X
SOLIJZT,X,O,O,X,O,X
SOLIZTJ,X,X,O,X,O,X
SOLIZJT,X,X,O,X,O,X
SOLJTIZ,X,O,O,X,O,X
SOLJTZI,O,X,O,X,O,X
SOLJITZ,X,O,O,X,O,X
SOLJIZT,O,O,O,X,O,X
SOLJZTI,O,X,O,X,O,O
SOLJZIT,O,X,O,X,O,O
SOLZTIJ,O,X,O,X,O,X
SOLZTJI,O,X,O,X,X,X
SOLZITJ,O,X,O,X,O,X
SOLZIJT,O,X,O,X,O,O
SOLZJTI,O,X,O,X,O,O
SOLZJIT,O,X,O,X,O,O
SOJTILZ,O,X,O,X,O,X
SOJTIZL,O,X,X,X,O,X
SOJTLIZ,O,X,O,X,O,X
SOJTLZI,O,X,O,X,O,X
SOJTZIL,O,X,O,X,O,O
SOJTZLI,O,X,O,X,O,O
SOJITLZ,X,X,O,X,O,X
SOJITZL,X,X,X,X,O,X
SOJILTZ,X,X,O,X,O,X
SOJILZT,O,X,O,X,O,X
SOJIZTL,O,X,O,X,O,O
SOJIZLT,O,X,O,X,O,O
SOJLTIZ,X,O,O,X,O,X
SOJLTZI,O,X,O,X,O,X
SOJLITZ,X,O,O,X,O,X
SOJLIZT,O,O,O,X,O,X
SOJLZTI,O,X,O,X,O,O
SOJLZIT,O,X,O,X,O,O
SOJZTIL,O,X,O,X,O,O
SOJZTLI,O,X,O,X,O,O
SOJZITL,O,X,O,X,O,O
SOJZILT,O,X,O,X,O,O
SOJZLTI,O,X,O,X,O,O
SOJZLIT,O,X,O,X,O,O
SOZTILJ,O,X,O,O,O,X
SOZTIJL,O,X,O,X,X,O
SOZTLIJ,O,X,O,X,O,X
SOZTLJI,O,X,O,X,X,X
SOZTJIL,O,X,O,X,X,O
SOZTJLI,O,X,O,X,X,O
SOZITLJ,O,X,O,O,O,X
SOZITJL,O,X,O,X,X,O
SOZILTJ,O,X,O,O,O,X
SOZILJT,O,X,O,O,O,O
SOZIJTL,O,X,X,X,O,O
SOZIJLT,O,X,O,O,O,O
SOZLTIJ,O,X,O,X,O,X
SOZLTJI,O,X,O,X,X,X
SOZLITJ,O,X,O,X,O,X
SOZLIJT,O,X,O,X,O,O
SOZLJTI,O,X,O,X,O,O
SOZLJIT,O,X,O,X,O,O
SOZJTIL,O,X,O,X,O,O
SOZJTLI,O,X,O,X,O,O
SOZJITL,O,X,O,X,O,O
SOZJILT,O,X,O,O,O,O
SOZJLTI,O,X,O,X,O,O
SOZJLIT,O,X,O,X,O,O
ZTILJSO,O,O,X,O,X,X
ZTILJOS,O,O,X,O,X,X
ZTILSJO,X,X,O,O,X,X
ZTILSOJ,O,X,O,O,X,X
ZTILOJS,O,O,X,O,X,X
ZTILOSJ,O,X,O,O,X,X
ZTIJLSO,O,X,X,O,X,X
ZTIJLOS,O,X,X,O,X,X
ZTIJSLO,O,X,O,X,X,X
ZTIJSOL,O,X,O,X,X,X
ZTIJOLS,O,X,X,O,X,X
ZTIJOSL,O,X,O,X,X,X
ZTISLJO,O,X,O,O,X,X
ZTISLOJ,O,X,O,O,X,X
ZTISJLO,O,X,O,X,X,O
ZTISJOL,O,X,O,X,X,O
ZTISOLJ,O,X,O,O,X,X
ZTISOJL,O,X,O,X,X,O
ZTIOLJS,O,O,X,O,X,X
ZTIOLSJ,O,X,O,O,X,X
ZTIOJLS,O,X,X,O,X,X
ZTIOJSL,O,X,O,X,X,X
ZTIOSLJ,O,X,O,O,X,X
ZTIOSJL,O,X,O,X,X,O
ZTLIJSO,O,O,X,O,X,X
ZTLIJOS,O,O,X,O,X,X
ZTLISJO,X,X,O,O,X,X
ZTLISOJ,O,X,O,O,X,X
ZTLIOJS,O,O,X,O,X,X
ZTLIOSJ,O,X,O,O,X,X
ZTLJISO,O,O,X,X,X,X
ZTLJIOS,O,O,X,X,X,X
ZTLJSIO,O,X,O,X,X,X
ZTLJSOI,O,X,O,X,X,X
ZTLJOIS,O,O,X,X,X,X
ZTLJOSI,O,X,O,X,X,X
ZTLSIJO,O,X,O,X,X,X
ZTLSIOJ,O,X,O,X,X,X
ZTLSJIO,O,X,O,X,X,X
ZTLSJOI,O,X,O,X,X,X
ZTLSOIJ,O,X,O,X,X,X
ZTLSOJI,O,X,O,X,X,X
ZTLOIJS,O,O,X,O,X,X
ZTLOISJ,O,X,O,O,X,X
ZTLOJIS,O,O,X,X,X,X
ZTLOJSI,O,X,O,X,X,X
ZTLOSIJ,O,X,O,X,X,X
ZTLOSJI,O,X,O,X,X,X
ZTJILSO,O,X,X,O,X,X
ZTJILOS,O,X,X,O,X,X
ZTJISLO,O,X,O,X,X,X
ZTJISOL,O,X,O,X,X,X
ZTJIOLS,O,X,X,O,X,X
ZTJIOSL,O,X,O,X,X,X
ZTJLISO,O,X,X,X,X,X
ZTJLIOS,O,X,X,X,X,X
ZTJLSIO,O,X,O,X,X,X
ZTJLSOI,O,X,O,X,X,X
ZTJLOIS,O,X,X,X,X,X
ZTJLOSI,O,X,O,X,X,X
ZTJSILO,O,X,O,X,X,O
ZTJSIOL,O,X,O,X,X,O
ZTJSLIO,O,X,O,X,X,O
ZTJSLOI,O,X,O,X,X,O
ZTJSOIL,O,X,O,X,X,O
ZTJSOLI,O,X,O,X,X,O
ZTJOILS,O,X,X,O,X,X
ZTJOISL,O,X,O,X,X,X
ZTJOLIS,O,X,X,X,X,X
ZTJOLSI,O,X,O,X,X,X
ZTJOSIL,O,X,O,X,X,O
ZTJOSLI,O,X,O,X,X,O
ZTSILJO,O,X,O,O,X,X
ZTSILOJ,O,X,O,O,X,X
ZTSIJLO,O,X,O,X,X,O
ZTSIJOL,O,X,O,X,X,O
ZTSIOLJ,O,X,O,O,X,X
ZTSIOJL,O,X,O,X,X,O
ZTSLIJO,O,X,O,X,X,X
ZTSLIOJ,O,X,O,X,X,X
ZTSLJIO,O,X,O,X,X,X
ZTSLJOI,O,X,O,X,X,X
ZTSLOIJ,O,X,O,X,X,X
ZTSLOJI,O,X,O,X,X,X
ZTSJILO,O,X,O,X,X,O
ZTSJIOL,O,X,O,X,X,O
ZTSJLIO,O,X,O,X,X,O
ZTSJLOI,O,X,O,X,X,O
ZTSJOIL,O,X,O,X,X,O
ZTSJOLI,O,X,O,X,X,O
ZTSOILJ,O,X,O,O,X,X
ZTSOIJL,O,X,O,X,X,O
ZTSOLIJ,O,X,O,X,X,X
ZTSOLJI,O,X,O,X,X,X
ZTSOJIL,O,X,O,X,X,O
ZTSOJLI,O,X,O,X,X,O
ZTOILJS,O,O,X,O,X,X
ZTOILSJ,O,X,O,O,X,X
ZTOIJLS,O,X,X,O,X,X
ZTOIJSL,O,X,O,X,X,X
ZTOISLJ,O,X,O,O,X,X
ZTOISJL,O,X,O,X,X,O
ZTOLIJS,O,O,X,O,X,X
ZTOLISJ,O,X,O,O,X,X
ZTOLJIS,O,O,X,X,X,X
ZTOLJSI,O,X,O,X,X,X
ZTOLSIJ,O,X,O,X,X,X
ZTOLSJI,O,X,O,X,X,X
ZTOJILS,O,X,X,O,X,X
ZTOJISL,O,X,O,X,X,X
ZTOJLIS,O,X,X,X,X,X
ZTOJLSI,O,X,O,X,X,X
ZTOJSIL,O,X,O,X,X,O
ZTOJSLI,O,X,O,X,X,O
ZTOSILJ,O,X,O,O,X,X
ZTOSIJL,O,X,O,X,X,O
ZTOSLIJ,O,X,O,X,X,X
ZTOSLJI,O,X,O,X,X,X
ZTOSJIL,O,X,O,X,X,O
ZTOSJLI,O,X,O,X,X,O
ZITLJSO,O,O,X,O,X,X
ZITLJOS,O,O,X,O,X,X
ZITLSJO,X,X,O,O,X,X
ZITLSOJ,O,X,O,O,X,X
ZITLOJS,O,O,X,O,X,X
ZITLOSJ,O,X,O,O,X,X
ZITJLSO,O,X,X,O,X,X
ZITJLOS,O,X,X,O,X,X
ZITJSLO,O,X,O,X,X,X
ZITJSOL,O,X,O,X,X,X
ZITJOLS,O,X,X,O,X,X
ZITJOSL,O,X,O,X,X,X
ZITSLJO,O,X,O,O,X,X
ZITSLOJ,O,X,O,O,X,X
ZITSJLO,O,X,O,X,X,O
ZITSJOL,O,X,O,X,X,O
ZITSOLJ,O,X,O,O,X,X
ZITSOJL,O,X,O,X,X,O
ZITOLJS,O,O,X,O,X,X
ZITOLSJ,O,X,O,O,X,X
ZITOJLS,O,X,X,O,X,X
ZITOJSL,O,X,O,X,X,X
ZITOSLJ,O,X,O,O,X,X
ZITOSJL,O,X,O,X,X,O
ZILTJSO,O,O,X,O,X,X
ZILTJOS,O,O,X,O,X,X
ZILTSJO,X,X,X,O,X,X
ZILTSOJ,O,X,X,O,X,X
ZILTOJS,O,O,X,O,X,X
ZILTOSJ,O,X,X,O,X,X
ZILJTSO,X,O,X,O,X,X
ZILJTOS,X,O,X,O,X,X
ZILJSTO,X,O,O,O,X,X
ZILJSOT,X,O,O,O,X,X
ZILJOTS,X,O,X,O,X,X
ZILJOST,X,O,O,O,X,X
ZILSTJO,O,X,O,O,X,X
ZILSTOJ,O,X,O,O,X,X
ZILSJTO,O,X,X,O,X,O
ZILSJOT,O,X,O,O,X,O
ZILSOTJ,O,X,O,O,X,X
ZILSOJT,O,X,O,O,X,O
ZILOTJS,O,O,X,O,X,X
ZILOTSJ,O,X,X,O,X,X
ZILOJTS,X,O,X,O,X,X
ZILOJST,X,O,O,O,X,X
ZILOSTJ,O,X,O,O,X,X
ZILOSJT,O,X,O,O,X,O
ZIJTLSO,O,X,X,O,X,X
ZIJTLOS,O,X,X,O,X,X
ZIJTSLO,O,X,X,X,X,X
ZIJTSOL,O,X,X,X,X,X
ZIJTOLS,O,X,X,O,X,X
ZIJTOSL,O,X,X,X,X,X
ZIJLTSO,X,X,X,O,X,X
ZIJLTOS,X,X,X,O,X,X
ZIJLSTO,X,X,O,O,X,X
ZIJLSOT,X,X,O,O,X,X
ZIJLOTS,X,X,X,O,X,X
ZIJLOST,X,X,O,O,X,X
ZIJSTLO,O,X,O,X,O,O
ZIJSTOL,O,X,O,X,O,O
ZIJSLTO,O,X,O,O,O,O
ZIJSLOT,O,X,O,O,O,O
ZIJSOTL,O,X,O,X,O,O
ZIJSOLT,O,X,O,O,O,O
ZIJOTLS,O,X,X,O,X,X
ZIJOTSL,O,X,X,X,X,X
ZIJOLTS,X,X,X,O,X,X
ZIJOLST,X,X,O,O,X,X
ZIJOSTL,O,X,O,X,O,O
ZIJOSLT,O,X,O,O,O,O
ZISTLJO,O,X,O,O,X,X
ZISTLOJ,O,X,O,O,O,X
ZISTJLO,O,X,O,X,X,O
ZISTJOL,O,X,O,X,X,O
ZISTOLJ,O,X,O,O,O,X
ZISTOJL,O,X,O,X,X,O
ZISLTJO,O,X,O,O,X,X
ZISLTOJ,O,X,O,O,O,X
ZISLJTO,O,X,X,O,O,O
ZISLJOT,O,X,O,O,O,O
ZISLOTJ,O,X,O,O,O,X
ZISLOJT,O,X,O,O,O,O
ZISJTLO,O,X,X,X,O,O
ZISJTOL,O,X,X,X,O,O
ZISJLTO,O,X,X,O,O,O
ZISJLOT,O,X,O,O,O,O
ZISJOTL,O,X,X,X,O,O
ZISJOLT,O,X,O,O,O,O
ZISOTLJ,O,X,O,O,O,X
ZISOTJL,O,X,O,X,X,O
ZISOLTJ,O,X,O,O,O,X
ZISOLJT,O,X,O,O,O,O
ZISOJTL,O,X,X,X,O,O
ZISOJLT,O,X,O,O,O,O
ZIOTLJS,O,O,X,O,X,X
ZIOTLSJ,O,X,O,O,X,X
ZIOTJLS,O,X,X,O,X,X
ZIOTJSL,O,X,O,X,X,X
ZIOTSLJ,O,X,O,O,X,X
ZIOTSJL,O,X,O,X,X,O
ZIOLTJS,O,O,X,O,X,X
ZIOLTSJ,O,X,X,O,X,X
ZIOLJTS,X,O,X,O,X,X
ZIOLJST,X,O,O,O,X,X
ZIOLSTJ,O,X,O,O,X,X
ZIOLSJT,O,X,O,O,X,O
ZIOJTLS,O,X,X,O,X,X
ZIOJTSL,O,X,X,X,X,X
ZIOJLTS,X,X,X,O,X,X
ZIOJLST,X,X,O,O,X,X
ZIOJSTL,O,X,O,X,O,O
ZIOJSLT,O,X,O,O,O,O
ZIOSTLJ,O,X,O,O,O,X
ZIOSTJL,O,X,O,X,X,O
ZIOSLTJ,O,X,O,O,O,X
ZIOSLJT,O,X,O,O,O,O
ZIOSJTL,O,X,X,X,O,O
ZIOSJLT,O,X,O,O,O,O
ZLTIJSO,O,O,X,O,X,X
ZLTIJOS,O,O,X,O,X,X
ZLTISJO,X,X,O,O,X,X
ZLTISOJ,O,X,O,O,X,X
ZLTIOJS,O,O,X,O,X,X
ZLTIOSJ,O,X,O,O,X,X
ZLTJISO,O,O,X,X,X,X
ZLTJIOS,O,O,X,X,X,X
ZLTJSIO,O,X,O,X,X,X
ZLTJSOI,O,X,O,X,X,X
ZLTJOIS,O,O,X,X,X,X
ZLTJOSI,O,X,O,X,X,X
ZLTSIJO,X,X,O,X,X,X
ZLTSIOJ,O,X,O,X,X,X
ZLTSJIO,O,X,O,X,X,X
ZLTSJOI,O,X,O,X,X,X
ZLTSOIJ,O,X,O,X,X,X
ZLTSOJI,O,X,O,X,X,X
ZLTOIJS,O,O,X,O,X,X
ZLTOISJ,O,X,O,O,X,X
ZLTOJIS,O,O,X,X,X,X
ZLTOJSI,O,X,O,X,X,X
ZLTOSIJ,O,X,O,X,X,X
ZLTOSJI,O,X,O,X,X,X
ZLITJSO,O,O,X,O,X,X
ZLITJOS,O,O,X,O,X,X
ZLITSJO,X,X,X,O,X,X
ZLITSOJ,O,X,X,O,X,X
ZLITOJS,O,O,X,O,X,X
ZLITOSJ,O,X,X,O,X,X
ZLIJTSO,X,O,X,O,X,X
ZLIJTOS,X,O,X,O,X,X
ZLIJSTO,X,O,O,O,X,X
ZLIJSOT,X,O,O,O,X,X
ZLIJOTS,X,O,X,O,X,X
ZLIJOST,X,O,O,O,X,X
ZLISTJO,O,X,O,O,X,X
ZLISTOJ,O,X,O,O,X,X
ZLISJTO,O,X,X,O,X,O
ZLISJOT,O,X,O,O,X,O
ZLISOTJ,O,X,O,O,X,X
ZLISOJT,O,X,O,O,X,O
ZLIOTJS,O,O,X,O,X,X
ZLIOTSJ,O,X,X,O,X,X
ZLIOJTS,X,O,X,O,X,X
ZLIOJST,X,O,O,O,X,X
ZLIOSTJ,O,X,O,O,X,X
ZLIOSJT,O,X,O,O,X,O
ZLJTISO,X,O,X,X,X,X
ZLJTIOS,X,O,X,X,X,X
ZLJTSIO,X,X,O,X,X,X
ZLJTSOI,X,X,O,X,X,X
ZLJTOIS,X,O,X,X,X,X
ZLJTOSI,X,X,O,X,X,X
ZLJITSO,X,O,X,O,X,X
ZLJITOS,X,O,X,O,X,X
ZLJISTO,X,O,O,O,X,X
ZLJISOT,X,O,O,O,X,X
ZLJIOTS,X,O,X,O,X,X
ZLJIOST,X,O,O,O,X,X
ZLJSTIO,X,X,O,X,X,O
ZLJSTOI,X,X,O,X,X,O
ZLJSITO,X,X,O,X,X,O
ZLJSIOT,X,X,O,X,X,O
ZLJSOTI,X,X,O,X,X,O
ZLJSOIT,X,X,O,X,X,O
ZLJOTIS,X,O,X,X,X,X
ZLJOTSI,X,X,O,X,X,X
ZLJOITS,X,O,X,O,X,X
ZLJOIST,X,O,O,O,X,X
ZLJOSTI,X,X,O,X,X,O
ZLJOSIT,X,X,O,X,X,O
ZLSTIJO,O,X,O,X,X,X
ZLSTIOJ,O,X,O,X,X,X
ZLSTJIO,O,X,O,X,X,X
ZLSTJOI,O,X,O,X,X,X
ZLSTOIJ,O,X,O,X,X,X
ZLSTOJI,O,X,O,X,X,X
ZLSITJO,O,X,O,X,X,X
ZLSITOJ,O,X,O,X,X,X
ZLSIJTO,O,X,X,X,X,O
ZLSIJOT,O,X,O,X,X,O
ZLSIOTJ,O,X,O,X,X,X
ZLSIOJT,O,X,O,X,X,O
ZLSJTIO,O,X,O,X,X,O
ZLSJTOI,O,X,O,X,X,O
ZLSJITO,O,X,O,X,X,O
ZLSJIOT,O,X,O,X,X,O
ZLSJOTI,O,X,O,X,X,O
ZLSJOIT,O,X,O,X,X,O
ZLSOTIJ,O,X,O,X,X,X
ZLSOTJI,O,X,O,X,X,X
ZLSOITJ,O,X,O,X,X,X
ZLSOIJT,O,X,O,X,X,O
ZLSOJTI,O,X,O,X,X,O
ZLSOJIT,O,X,O,X,X,O
ZLOTIJS,O,O,X,O,X,X
ZLOTISJ,O,X,O,O,X,X
ZLOTJIS,O,O,X,X,X,X
ZLOTJSI,O,X,O,X,X,X
ZLOTSIJ,O,X,O,X,X,X
ZLOTSJI,O,X,O,X,X,X
ZLOITJS,O,O,X,O,X,X
ZLOITSJ,O,X,X,O,X,X
ZLOIJTS,X,O,X,O,X,X
ZLOIJST,X,O,O,O,X,X
ZLOISTJ,O,X,O,O,X,X
ZLOISJT,O,X,O,O,X,O
ZLOJTIS,X,O,X,X,X,X
ZLOJTSI,X,X,O,X,X,X
ZLOJITS,X,O,X,O,X,X
ZLOJIST,X,O,O,O,X,X
ZLOJSTI,X,X,O,X,X,O
ZLOJSIT,X,X,O,X,X,O
ZLOSTIJ,O,X,O,X,X,X
ZLOSTJI,O,X,O,X,X,X
ZLOSITJ,O,X,O,X,X,X
ZLOSIJT,O,X,O,X,X,O
ZLOSJTI,O,X,O,X,X,O
ZLOSJIT,O,X,O,X,X,O
ZJTILSO,O,X,X,O,X,X
ZJTILOS,O,X,X,O,X,X
ZJTISLO,O,X,O,X,X,X
ZJTISOL,O,X,O,X,X,X
ZJTIOLS,O,X,X,O,X,X
ZJTIOSL,O,X,O,X,X,X
ZJTLISO,O,X,X,X,X,X
ZJTLIOS,O,X,X,X,X,X
ZJTLSIO,O,X,O,X,X,X
ZJTLSOI,O,X,O,X,X,X
ZJTLOIS,O,X,X,X,X,X
ZJTLOSI,O,X,O,X,X,X
ZJTSILO,O,X,O,X,X,O
ZJTSIOL,O,X,O,X,X,O
ZJTSLIO,O,X,O,X,X,O
ZJTSLOI,O,X,O,X,X,O
ZJTSOIL,O,X,O,X,X,O
ZJTSOLI,O,X,O,X,X,O
ZJTOILS,O,X,X,O,X,X
ZJTOISL,O,X,O,X,X,X
ZJTOLIS,O,X,X,X,X,X
ZJTOLSI,O,X,O,X,X,X
ZJTOSIL,O,X,O,X,X,O
ZJTOSLI,O,X,O,X,X,O
ZJITLSO,O,X,X,O,X,X
ZJITLOS,O,X,X,O,X,X
ZJITSLO,O,X,X,X,X,X
ZJITSOL,O,X,X,X,X,X
ZJITOLS,O,X,X,O,X,X
ZJITOSL,O,X,X,X,X,X
ZJILTSO,X,X,X,O,X,X
ZJILTOS,X,X,X,O,X,X
ZJILSTO,X,X,O,O,X,X
ZJILSOT,X,X,O,O,X,X
ZJILOTS,X,X,X,O,X,X
ZJILOST,X,X,O,O,X,X
ZJISTLO,O,X,O,X,O,O
ZJISTOL,O,X,O,X,O,O
ZJISLTO,O,X,O,O,O,O
ZJISLOT,O,X,O,O,O,O
ZJISOTL,O,X,O,X,O,O
ZJISOLT,O,X,O,O,O,O
ZJIOTLS,O,X,X,O,X,X
ZJIOTSL,O,X,X,X,X,X
ZJIOLTS,X,X,X,O,X,X
ZJIOLST,X,X,O,O,X,X
ZJIOSTL,O,X,O,X,O,O
ZJIOSLT,O,X,O,O,O,O
ZJLTISO,X,O,X,X,X,X
ZJLTIOS,X,O,X,X,X,X
ZJLTSIO,X,X,O,X,X,X
ZJLTSOI,X,X,O,X,X,X
ZJLTOIS,X,O,X,X,X,X
ZJLTOSI,X,X,O,X,X,X
ZJLITSO,X,O,X,O,X,X
ZJLITOS,X,O,X,O,X,X
ZJLISTO,X,O,O,O,X,X
ZJLISOT,X,O,O,O,X,X
ZJLIOTS,X,O,X,O,X,X
ZJLIOST,X,O,O,O,X,X
ZJLSTIO,X,X,O,X,X,O
ZJLSTOI,X,X,O,X,X,O
ZJLSITO,X,X,O,X,X,O
ZJLSIOT,X,X,O,X,X,O
ZJLSOTI,X,X,O,X,X,O
ZJLSOIT,X,X,O,X,X,O
ZJLOTIS,X,O,X,X,X,X
ZJLOTSI,X,X,O,X,X,X
ZJLOITS,X,O,X,O,X,X
ZJLOIST,X,O,O,O,X,X
ZJLOSTI,X,X,O,X,X,O
ZJLOSIT,X,X,O,X,X,O
ZJSTILO,O,X,O,X,O,O
ZJSTIOL,O,X,O,X,O,O
ZJSTLIO,O,X,O,X,O,O
ZJSTLOI,O,X,O,X,O,O
ZJSTOIL,O,X,O,X,O,O
ZJSTOLI,O,X,O,X,O,O
ZJSITLO,O,X,O,X,O,O
ZJSITOL,O,X,O,X,O,O
ZJSILTO,O,X,O,O,O,O
ZJSILOT,O,X,O,O,O,O
ZJSIOTL,O,X,O,X,O,O
ZJSIOLT,O,X,O,O,O,O
ZJSLTIO,O,X,O,X,O,O
ZJSLTOI,O,X,O,X,O,O
ZJSLITO,O,X,O,X,O,O
ZJSLIOT,O,X,O,X,O,O
ZJSLOTI,O,X,O,X,O,O
ZJSLOIT,O,X,O,X,O,O
ZJSOTIL,O,X,O,X,O,O
ZJSOTLI,O,X,O,X,O,O
ZJSOITL,O,X,O,X,O,O
ZJSOILT,O,X,O,O,O,O
ZJSOLTI,O,X,O,X,O,O
ZJSOLIT,O,X,O,X,O,O
ZJOTILS,O,X,X,O,X,X
ZJOTISL,O,X,O,X,X,X
ZJOTLIS,O,X,X,X,X,X
ZJOTLSI,O,X,O,X,X,X
ZJOTSIL,O,X,O,X,X,O
ZJOTSLI,O,X,O,X,X,O
ZJOITLS,O,X,X,O,X,X
ZJOITSL,O,X,X,X,X,X
