sequence,v115@vhH39IcjBOpByrBtsB+tBzpBRwB,v115@vhH//IUbBKpBdqBWrBToBWyBRwB,v115@vhH/BJcjBOpByrBtsB+tBzpBRwB,v115@vhH//IchBKpBdqBWrBToBWyBRwB,v115@vhH6+IZjBXiB9sB+tBTpB2vB0rB,v115@vhHK6IcjB/lBOpBtsB+tBzpBRwB,v115@vhH++I/fBcnBKpBdqBToBWyBRwB,v115@vhHO6I3dBcjBTkBtsB+tByuBRwB,v115@vhHX5IcjBOpByrBtsB+tBzpBRwB,v115@vhH01I/fBKpBdqBWrBToBWyBRwB,v115@vhHT1IcjB/kBalBtsB+tB2uBRwB,v115@vhHT5I/fBGjBKpBdqBUoBWyBRwB,v115@vhHO6IfgBcjBTkBtsB+tByuBRwB,v115@vhHO6IXZBcjBTkBtsB+tByuBRwB,v115@vhHi1I+eBcfBdlB+tBTpB3qBRsB,v115@vhHK6IXZBcjBOpBtsB+tBzpBRwB,v115@vhH01I+eB/fBKpBdqBToBWyBRwB,v115@vhH+7IXhBKoB9rBTnB2uB0qBxxB,v115@vhHK6I3dBcjBOpBtsB+tBzpBRwB,v115@vhH++I/fBUbBKpBdqBToBWyBRwB,v115@vhHT1I3dBcjBifBtsB+tB2uBRwB,v115@vhHT1IXZBcjBifBtsB+tB2uBRwB,v115@vhHK6IOpBTlBNrBUnB/tBWvBRxB,v115@vhHT1I/kBalBtqB0mB+tB2uBxwB,v115@vhHq6IUhB+oBzkBtqB2uB3rBxxB,v115@vhHe+IZkB3hBdsBznBWvBUrBSyB,v115@vhH01ITZB/fB+oBKpBdqBWyBRwB,v115@vhHO/IUhB5oBzkBtqB2uB3rByxB,v115@vhH38I0fBtlB2pBasBTrBGtBxuB,v115@vhHU8IymBTjBtqBWtB2uB3rBxxB,v115@vhHi1IcfBdlB5oB+rBTpB3qBmsB,v115@vhHG5I/jBZkBtnBKrBGqBUsBTtB,v115@vhHX5IcjBifBzkBtsB+tB2uBRwB,v115@vhH01I/fBziB+oBKpBdqBWyBRwB,v115@vhHX5IcjBmfBTkBtsB+tByuBRwB,v115@vhH37IWlBTjBKpBdrBUqBGtBRxB,v115@vhHX5IKfBcjBOqBtsB+tBTpBRwB,v115@vhHu6IzkBtqB0mBftB6tB2uBxwB,v115@vhHT1IdgB/kBRmB+sB6tB2uB0qB,v115@vhHq7IcjB/lBOpBtsB+tBzpBRwB,v115@vhHe9I/fBcnBKpBdqBToBWyBRwB,v115@vhHeAJaoBcqB3mB9sB+tBTpBRwB,v115@vhHq7IcjB/kBTlBtsB+tB2uBRwB,v115@vhHi3IzcBUhB+oBtqB2uB3rBxxB,v115@vhHT3IedBUhB5oBtqB2uB3rByxB,v115@vhHG3IzbBZkB3hBdsBWvBUrBSyB,v115@vhH01I/fB+jBKpBdqBGsBTtBRwB,v115@vhH+DJanBcpB3lB9rB+sBTtBRvB,v115@vhHi1IcfBGeBdlB+tBTpB3qBRsB,v115@vhHKDJThBmkBtqB0nB2uB3rBxxB,v115@vhHKDJThBmkBtqBXnB2uBUtBxwB,v115@vhH+/IaoBcqB3mB9sB+tBTpBRwB,v115@vhHK/IOoBcqB3mB9sB+tBTpBRwB,v115@vhH/DJZkBCgBtnB2qBWvBUsBTtB,v115@vhHe+IOpB8pBXmBdsBznBSyBxvB,v115@vhHK6IXZBcjBTkBtsB+tB2wBxuB,v115@vhHX5IcjBZkBzkBtsB+tBSvB2wB,v115@vhHX5IcjB2kBtsB+tBTpBiqBRwB,v115@vhHT5I2mB8nB5oBtqB2uB3rByxB,v115@vhHT2I/kBalBtqB0mB+tB2uBxwB,v115@vhHX5IcjBTfBypBtsB+tB2wBxuB,v115@vhHG+I/kBNnBUjB2uBxqBSxBTtB,v115@vhHx3I3cBdnBcqBerBStBTpBWxB,v115@vhH/6I2kB8lB5oB9rBTpB2vByxB,v115@vhH++I8fBZkB9lB+tBzpBXrBisB,v115@vhHi3IUhB+oBzkBtqB2uB3rBxxB,v115@vhHG3IZkB3hBdsBznBWvBUrBSyB
LISJOZT,X,O,X,X,X,X,O,X,X,O,O,X,X,X,O,X,O,X,X,O,O,O,O,X,X,X,O,X,X,O,O,X,O,O,X,X,X,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,O,O,O,O,X,X,O,X,X
LISZTJO,X,O,X,O,X,X,O,O,X,O,X,O,X,O,X,X,O,O,X,O,X,X,O,X,O,O,O,O,X,O,X,X,X,O,O,X,X,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,O,O
LISZTOJ,X,O,X,O,X,X,O,O,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,X,O,O,O,O,X,O,X,X,X,O,O,X,X,O,O,O,O,X,X,O,O,O,O,X,X,O,O,X,X,X,O,X,O,O,O,O,O,X,X,X,X,O,O
LISZJTO,X,O,X,X,X,X,O,O,X,O,O,O,X,O,X,X,O,O,X,O,X,X,O,O,O,O,O,O,X,O,X,X,X,O,O,O,X,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,O,O
LISZJOT,X,O,X,X,X,X,O,O,X,O,O,O,X,O,X,X,O,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,O,O,X,X,O,O,O,X,X,O,O,O,O,X,X,O,O,X,X,O,X,X,O,O,O,O,O,X,X,X,O,O,O
LISZOTJ,X,O,X,O,X,X,O,O,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X,O,O,X,X,O,O,O,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O
LISZOJT,X,O,X,X,X,O,O,O,X,O,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,O,X,X,O,X,O,X,O,O,O,X,X,O,O,O,O,X,O,O,O,O,O,X,O,O,O,O,O,X,X,O,O,O,O,O,O,X,O,O,O,O
LISOTJZ,X,O,X,O,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X
LISOTZJ,X,O,X,O,X,X,O,X,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X
LISOJTZ,X,O,X,O,X,O,O,X,X,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,O,X,X
LISOJZT,X,O,X,X,X,O,O,O,X,O,O,X,O,O,O,X,O,X,X,O,O,O,O,X,X,X,O,X,O,O,O,O,O,O,O,X,X,X,O,O,O,X,O,X,X,X,O,O,O,X,X,O,O,O,X,X,O,O,O,O,O,O,X,O,O,X,X
LISOZTJ,X,O,X,O,X,X,O,O,X,O,X,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,O,O,X,O,O,O,X,O,O,X,X,O,O,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,X,O,O,X,X
LISOZJT,X,O,X,X,X,O,O,O,X,O,O,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,O,X,O,O,O,O,X,O,O,O,X,X,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,X,O,O,X,X
LIZTJSO,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LIZTJOS,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LIZTSJO,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,O
LIZTSOJ,X,X,X,X,X,X,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,O,O,O,X,O,X,X,X,X,X,O
LIZTOJS,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,O,X,X,X
LIZTOSJ,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,O,X,X,O,X,X,X
LIZJTSO,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
LIZJTOS,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X
LIZJSTO,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,O,X,X,O,O,O,O,X,O,O,X,X,X,X,X,O,O,O,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,O,O,O,X,O,X,X,X,O
LIZJSOT,X,X,X,X,O,X,O,O,X,X,O,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O,O,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,O,O,X,X,O,X,O,O,O,O,O,O,X,O,X,O,X,O
LIZJOTS,X,X,X,X,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,O,O,X,X
LIZJOST,X,X,X,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,O,X,O,O,O,X,X
LIZSTJO,X,O,X,O,X,X,O,O,X,O,X,O,X,O,X,X,O,O,X,O,X,X,O,X,X,O,O,O,X,X,X,X,X,O,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X,O
LIZSTOJ,X,O,X,O,X,X,O,O,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,O,X,X,O,O,O,O,X,X,X,O,O,O,X,X,O,O,X,X,X,O,X,O,O,O,O,O,X,X,X,X,X,O
LIZSJTO,X,O,X,X,X,X,O,O,X,O,X,O,X,O,X,X,O,O,X,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,O,X,O,O,O,X,X,X,X,X,O
LIZSJOT,X,O,X,X,O,X,O,O,X,O,X,O,X,O,X,X,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,O,O,O,O,O,X,O,O,O,X,X,X,O,O,O,X,X,O,O,X,X,O,X,O,O,O,O,O,O,X,X,X,O,X,O
LIZSOTJ,X,O,X,O,X,X,O,O,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,X,X,O,X,O,O,X,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O
LIZSOJT,O,O,X,X,O,O,O,O,O,O,X,O,O,O,X,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X,O,O,O,O,X,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,X,O
LIZOTJS,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,O,X,O,O,X,X
LIZOTSJ,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O,O,O,X,O,O,X,O,O,X,X
LIZOJTS,O,X,O,X,X,O,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,O,X,O,O,X,X
LIZOJST,O,X,X,X,O,O,O,O,O,X,X,O,O,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,O,O,O,O,O,X,X,X,O,O,X,X,X,O,O,O,X,O,O,O,O,X,O,O,O,O,O,X,X
LIZOSTJ,X,O,X,O,X,X,O,O,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,O,O,O,O,X,X,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O,O,X,O
LIZOSJT,O,O,X,X,O,O,O,O,O,O,X,O,O,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,O,O,O,O,O,X,X,O,O,O,X,O,O,O,O,O,X,O,O,O,O,X,O,O,X,O,O,X,O
LIOTJSZ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X
LIOTJZS,X,X,X,X,X,O,O,O,X,X,X,X,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,O,O,X,X
LIOTSJZ,X,O,X,O,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X
LIOTSZJ,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X
LIOTZJS,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,O,X,O,O,X,X
LIOTZSJ,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O,O,O,X,O,O,X,O,O,X,X
LIOJTSZ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X
LIOJTZS,X,X,X,X,X,O,O,O,X,X,X,X,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,O,O,X,X
LIOJSTZ,X,O,X,O,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X
LIOJSZT,X,O,X,X,X,O,O,O,X,O,X,X,O,O,O,O,O,X,O,O,O,O,O,X,X,X,O,X,O,X,O,O,O,O,O,X,O,X,X,O,O,X,O,X,X,X,O,O,O,X,X,O,O,O,X,O,O,O,O,X,O,O,O,O,O,X,X
LIOJZTS,O,X,O,X,X,O,O,O,O,X,X,X,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,O,O,X,X,O,O,X,O,O,X,X
LIOJZST,O,X,X,X,O,O,O,O,O,X,X,X,O,O,O,O,O,X,O,O,O,O,O,X,X,X,O,X,O,X,O,O,O,O,O,O,O,X,X,O,O,X,O,X,X,X,O,O,O,X,X,O,O,O,X,O,O,O,O,X,O,O,O,O,O,X,X
LIOSTJZ,X,O,X,O,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X
LIOSTZJ,X,O,X,O,X,X,O,X,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X
LIOSJTZ,X,O,X,O,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X
LIOSJZT,X,O,X,X,X,O,O,O,X,O,X,X,O,O,O,O,O,X,O,O,O,O,O,X,X,X,O,X,O,X,O,O,O,O,O,X,O,X,X,O,O,X,O,X,X,X,O,O,O,X,X,O,O,O,X,O,O,O,O,X,O,O,X,O,O,X,X
LIOSZTJ,X,O,X,O,X,X,O,O,X,O,X,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,O,O,X,O,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O,O,O,X,O,O,O,O,X,O,O,X,O,O,X,X
LIOSZJT,X,O,X,X,X,O,O,O,X,O,X,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,O,X,O,X,O,O,X,O,O,O,O,X,X,O,O,O,O,X,O,X,O,O,O,X,X,O,O,O,X,O,O,O,O,X,O,O,X,O,O,X,X
LIOZTJS,X,X,X,X,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,O,O,X,X,O,O,X,O,O,X,X
LIOZTSJ,X,X,X,X,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,O,O,O,X,O,O,X,O,O,X,X
LIOZJTS,O,X,O,X,X,O,O,O,O,X,X,O,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,O,O,X,X,O,O,X,O,O,X,X
LIOZJST,O,X,X,X,O,O,O,O,O,X,X,O,O,O,O,O,O,X,O,O,O,O,O,X,X,X,X,X,O,X,O,O,O,X,O,O,O,X,X,O,O,O,O,X,X,X,O,O,O,X,X,O,O,O,X,O,O,O,O,X,O,O,O,O,O,X,X
LIOZSTJ,X,O,X,O,X,X,O,O,X,O,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,O,X,X,O,O,O,X,X,X,O,O,O,O,X,X,O,O,O,X,O,O,O,O,X,O,O,X,O,O,X,O
LIOZSJT,O,O,X,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,O,O,X,X,O,O,O,X,X,O,O,O,O,X,X,O,O,O,O,X,X,O,O,O,X,O,O,O,O,X,O,O,X,O,O,X,O
LJTISZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LJTISOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LJTIZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LJTIZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LJTIOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LJTIOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X
LJTSIZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LJTSIOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LJTSZIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LJTSZOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LJTSOIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LJTSOZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LJTZISO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LJTZIOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LJTZSIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LJTZSOI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LJTZOIS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LJTZOSI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
LJTOISZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LJTOIZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X
LJTOSIZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
LJTOSZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
LJTOZIS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X
